#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,31.0,7.9, ,2.6, , , , ,-2.9, , ,10.3, , ,3,6
2,Martin Perez,TEX,30.0,6.8, ,1.0, , ,9.9, ,-4.1, , ,8.4, , ,3,6
3,Jordan Montgomery,NYY,32.0,6.8, ,0.6, , ,10.5, ,-1.2, , ,6.9, , ,3,6
4,Shane McClanahan,TBR,33.0,6.5, , , , , ,-1.9,-4.7, , ,9.7, , ,3,6
5,Jeffrey Springs,TBR,26.2,6.5, , , , ,9.4,-1.9, , , ,7.8, , ,3,6
6,Eric Lauer,MIL,27.2,6.2, ,2.7, , , ,-0.8,-3.2, , ,7.7, , ,3,6
7,Tarik Skubal,DET,32.1,6.0, , , , ,9.6,1.0, ,-2.7, ,8.2, , ,3,6
8,Cole Irvin,OAK,35.1,5.8, ,2.1, , ,8.3, ,-3.6, , ,7.9, , ,3,6
9,Madison Bumgarner,ARI,31.0,5.5, ,-0.7, , , , ,-4.8, , ,8.5, , ,3,6
10,Patrick Corbin,WSN,27.1,5.5, , , , ,8.7,-0.9, , , ,7.8, , ,3,6
11,Rich Hill,BOS,27.0,5.0, ,-0.2, , ,10.4,-11.9,-9.8, , ,9.4, , ,3,6
12,Framber Valdez,HOU,32.0,4.8, ,-1.8, , ,8.6, ,-6.4, , ,8.8, , ,3,6
13,Robbie Ray,SEA,37.0,4.7, , , , ,9.4,0.0, ,-0.7, ,6.8, , ,3,6
14,Tyler Anderson,LAD,28.1,4.6, ,-0.7, , ,9.5, ,-0.5, , ,7.8, , ,3,6
15,Ranger Suarez,PHI,31.0,4.3, ,-0.2, , ,9.7,-2.8,-3.9, , ,9.2, , ,3,6
16,Kyle Freeland,COL,33.0,3.8, , , , ,7.7,0.0,-2.4, , ,6.7, , ,3,6
17,Carlos Rodon,SFG,36.0,3.4, , , , , ,-3.9,-2.7, , ,7.5, , ,3,6
18,Jose Quintana,PIT,30.0,1.7, , , , ,7.0, ,-4.2, , ,6.8, , ,3,6
19,Julio Urias,LAD,28.2,1.5, , , , ,4.5, ,-8.9, , ,7.6, , ,3,6
20,Max Fried,ATL,33.1,1.4, , , , ,5.8,-1.6,-4.4, , ,7.0, , ,3,6
21,Adam Wainwright,STL,32.0,-0.3, ,3.1, , ,-7.8, ,9.0, , ,-7.9, , ,3,6
22,Justin Steele,CHC,29.2,-0.5, , , , ,5.3,-7.3,-8.6, , ,7.0, , ,3,6
23,Chris Flexen,SEA,33.0,-1.7, ,3.3, , , ,3.5,4.4, , ,-7.1, , ,3,6
24,Dylan Cease,CHW,27.1,-2.1, , , , , ,1.7, ,1.4, ,-5.0, , ,3,6
25,Antonio Senzatela,COL,28.1,-2.2, , , , ,-6.2,2.1,3.1, , ,-4.6, , ,3,6
26,Triston McKenzie,CLE,29.1,-2.3, , , , , ,2.3,3.2, , , , , ,3,6
27,Pablo Lopez,MIA,28.2,-2.3, ,0.8, , ,-8.2, ,6.5, , ,-10.2, , ,3,6
28,Andre Pallante,STL,30.1,-2.4, , , , ,-7.6,2.8,4.9, , , , , ,3,6
29,Shohei Ohtani,LAA,29.2,-2.4, ,1.5,-3.4, , ,6.6,5.5, , , , , ,3,6
30,Zac Gallen,ARI,25.2,-2.5, ,2.5, , , ,3.1, ,3.0, ,-7.5, , ,3,6
