#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
61,Jacob deGrom,NYM,36.1,-5.8, , , , , ,1.5,3.3, , ,-7.5, , ,5,8
62,Dean Kremer,BAL,32.0,-5.9, ,1.9, , ,-9.5, ,6.0, , ,-8.9, , ,5,8
63,Logan Webb,SFG,35.0,-6.0, , , , ,-8.8,5.3, , , ,-4.1, , ,5,8
64,Justin Verlander,HOU,28.0,-6.1, , , , , ,1.8,3.6, , ,-9.3, , ,5,8
65,Edward Cabrera,MIA,28.1,-6.1, , , , ,-9.4,1.5,4.6, , ,-9.6, , ,5,8
66,Kevin Gausman,TOR,36.2,-6.2, , ,-9.3, , ,0.0, , , ,-5.8, , ,5,8
67,Gerrit Cole,NYY,39.1,-6.4, ,-1.1, , , ,2.2, ,5.2, ,-8.4, , ,5,8
68,Kyle Wright,ATL,32.0,-6.4, , , , ,-9.6,-1.2,3.5, , ,-9.5, , ,5,8
69,Domingo German,NYY,34.2,-6.6, , , , ,-10.1, ,0.3, , ,-10.3, , ,5,8
70,Jose Urena,COL,29.0,-6.7, , , , ,-8.6,0.2, , , ,-6.4, , ,5,8
71,Adam Oller,OAK,29.2,-6.7, ,-1.3, , , ,0.9,1.6, , ,-8.2, , ,5,8
72,Kutter Crawford,BOS,29.2,-6.7, ,1.6, , , ,2.3,5.0, , ,-6.7, , ,5,8
73,Joe Ryan,MIN,32.2,-6.8, , , , , ,1.0,6.0, , ,-10.2, , ,5,8
74,Charlie Morton,ATL,30.1,-6.9, ,0.0, , ,-10.2, ,7.9, , ,-10.3, , ,5,8
75,Max Scherzer,NYM,40.2,-7.3, ,-0.8, , , ,0.7,9.2, , ,-8.8, , ,5,8
76,Luis Castillo,SEA,31.2,-7.7, , , , ,-11.3,-0.4, , , ,-11.0, , ,5,8
77,Johnny Cueto,CHW,35.2,-8.0, ,-2.8, , ,-10.3,0.4,0.4, , ,-7.5, , ,5,8
78,Sandy Alcantara,MIA,36.1,-8.2, , , , ,-10.8,-0.9,1.6, , ,-10.1, , ,5,8
79,Aaron Nola,PHI,32.0,-8.4, ,-0.2, , ,-10.4, , ,7.7, ,-9.1, , ,5,8
80,Alex Cobb,SFG,29.0, , , ,-7.4, ,-9.2, , ,1.9, , , , ,5,8
81,Drew Smyly,CHC,30.0, , ,2.7, , ,5.1, , ,2.1, , , , ,5,8
82,Zach Davies,ARI,28.1, , ,-2.5, , ,-8.5,8.6,6.0, , ,-7.9, , ,5,8
83,Alex Wood,SFG,30.0, , , , , ,9.4,-1.6, , , ,8.3, , ,5,8
