#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,31.1,7.5, ,2.3, , , , ,-3.0, , ,10.1, , ,4,7
2,Martin Perez,TEX,31.2,7.0, ,0.7, , ,9.5,-2.1,-3.3, , ,7.9, , ,4,7
3,Braxton Garrett,MIA,30.0,6.6, , , , ,10.1,-3.2,-5.3, , ,10.2, , ,4,7
4,Reid Detmers,LAA,24.0,6.5, , , , ,9.2,-0.4,-6.0, , ,8.0, , ,4,7
5,Shane McClanahan,TBR,30.2,6.5, , , , , ,-1.6,-4.2, , ,8.9, , ,4,7
6,Jordan Montgomery,NYY,29.1,6.3, ,1.9, , ,10.3, ,-1.0, , ,6.6, , ,4,7
7,Cole Irvin,OAK,34.0,6.2, , , , ,9.0, ,-4.2, , ,7.9, , ,4,7
8,Eric Lauer,MIL,27.1,6.2, ,0.5, , , ,-1.4,-2.8, , ,8.8, , ,4,7
9,Madison Bumgarner,ARI,31.0,5.6, ,-1.0, , , , ,-4.1, , ,9.1, , ,4,7
10,Kris Bubic,KCR,35.2,5.4, , , , , , ,-4.0, , ,8.9, , ,4,7
11,Robbie Ray,SEA,25.0,5.0, , , , ,9.6,-0.2, ,-0.7, ,7.9, , ,4,7
12,Aaron Ashby,MIL,25.2,4.9, , , , ,8.6,-4.8,-4.3, , ,8.5, , ,4,7
13,Tyler Anderson,LAD,32.1,4.9, ,-0.6, , ,10.6, ,-0.5, , ,7.8, , ,4,7
14,Framber Valdez,HOU,33.2,4.7, ,-1.5, , ,8.8, ,-6.4, , ,9.1, , ,4,7
15,Austin Gomber,COL,27.1,4.6, , , , , ,-1.8, ,-2.9, ,5.9, , ,4,7
16,Carlos Rodon,SFG,37.0,4.0, , , , , ,-4.0,-2.9, , ,8.7, , ,4,7
17,Kyle Freeland,COL,29.0,3.6, , , , ,7.7,-0.2,-1.6, , ,7.3, , ,4,7
18,Blake Snell,SDP,25.2,3.5, , , , , ,-1.4,-5.8, , ,7.4, , ,4,7
19,Patrick Sandoval,LAA,24.2,3.0, , , , ,8.3,-3.1,-4.6, , ,8.4, , ,4,7
20,Nestor Cortes,NYY,27.2,2.5, ,-1.8, , ,6.8,-7.5,-3.7, , ,6.9, , ,4,7
21,Jose Quintana,PIT,27.0,2.3, , , , ,7.1, ,-3.6, , ,6.7, , ,4,7
22,Julio Urias,LAD,28.0,2.3, , , , ,5.3, ,-8.8, , ,7.9, , ,4,7
23,Max Fried,ATL,38.0,1.9, , , , ,6.6,-1.3,-4.8, , ,7.0, , ,4,7
24,Brad Keller,KCR,28.2,0.8, , , , ,-6.4,3.0, , , ,-5.8, , ,4,7
25,Clayton Kershaw,LAD,32.1,-0.2, , , , ,8.8,-2.3,-2.3, , ,5.9, , ,4,7
26,Sonny Gray,MIN,24.1,-1.3, ,3.7, , ,-8.0,8.9,8.1, , , , , ,4,7
27,Zach Thompson,PIT,27.0,-1.3, ,1.1, , ,-5.6, ,2.5, , ,-6.7, , ,4,7
28,Adam Wainwright,STL,32.1,-1.3, ,3.1, , ,-7.8, ,8.7, , ,-7.9, , ,4,7
29,Chris Flexen,SEA,27.2,-1.6, ,3.4, , , ,4.8,3.9, , ,-7.4, , ,4,7
30,Dylan Cease,CHW,35.2,-2.1, , , , , ,1.6, ,2.0, ,-4.0, , ,4,7
