#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
61,Merrill Kelly,ARI,30.0,-5.0, ,-1.7, , ,-9.7, ,5.0, , ,-9.6, , ,3,6
62,Chad Kuhl,COL,29.1,-5.3, , , , ,-8.8,0.3, ,6.3, ,-8.5, , ,3,6
63,Adrian Houser,MIL,30.0,-5.4, , , , ,-9.6,3.2,3.3, , ,-8.5, , ,3,6
64,Dean Kremer,BAL,28.0,-5.7, ,2.4, , , , ,5.0, , ,-9.2, , ,3,6
65,Justin Verlander,HOU,39.2,-5.7, , , , , ,2.0,3.1, , ,-9.3, , ,3,6
66,JT Brubaker,PIT,34.1,-5.7, , , , ,-9.7,-0.4,3.4, , ,-9.2, , ,3,6
67,Zack Wheeler,PHI,29.2,-5.7, , , , ,-9.5,0.7,5.0, , ,-8.3, , ,3,6
68,German Marquez,COL,34.0,-5.8, , , , ,-8.9,-0.7, ,-0.6, ,-6.2, , ,3,6
69,Logan Webb,SFG,30.1,-6.1, , , , ,-8.9,5.4, , , ,-4.3, , ,3,6
70,Tyler Mahle,CIN,33.2,-6.3, ,0.6,-8.2, , ,2.4, , , , , , ,3,6
71,Jose Berrios,TOR,28.2,-6.4, , , , ,-9.8, ,8.7, , ,-8.6, , ,3,6
72,Charlie Morton,ATL,30.2,-6.4, ,0.5, , ,-9.6, ,8.2, , ,-10.2, , ,3,6
73,Jon Gray,TEX,37.2,-6.5, , , , , ,5.5,8.2, , ,-8.0, , ,3,6
74,Taijuan Walker,NYM,37.2,-6.8, ,0.2,-6.8, ,-9.8,2.9,3.2, , , , , ,3,6
75,Gerrit Cole,NYY,29.2,-6.8, ,-0.7, , , ,2.2, ,4.9, ,-8.2, , ,3,6
76,Kyle Wright,ATL,38.1,-6.9, , , , ,-10.0,-0.9,5.4, , ,-9.6, , ,3,6
77,Luis Castillo,CIN,30.1,-6.9, , , , ,-10.6,-0.2, , , ,-10.5, , ,3,6
78,Rony Garcia,DET,25.1,-7.2, , , , ,-10.9, ,3.5, , ,-7.9, , ,3,6
79,Sandy Alcantara,MIA,47.2,-7.6, , , , ,-10.6,0.1,1.7, , ,-10.3, , ,3,6
80,Johnny Cueto,CHW,35.1,-7.7, ,-2.6, , ,-10.6,0.4, , , ,-8.0, , ,3,6
81,Aaron Nola,PHI,43.0,-8.0, ,-0.5, , ,-10.3, , ,7.4, ,-9.4, , ,3,6
82,Hunter Greene,CIN,29.2,-8.0, , , , , ,2.0, , , ,-6.9, , ,3,6
83,Jason Alexander,MIL,30.2,-8.4, , , , ,-10.4,6.4, , , ,-10.2, , ,3,6
84,Zach Davies,ARI,31.2, , ,-2.9, , ,-9.1,8.2,5.3, , ,-8.6, , ,3,6
85,Alex Wood,SFG,30.1, , , , , ,9.6,-1.0, , , ,8.5, , ,3,6
86,Sean Manaea,SDP,29.0, , , , , ,8.6,-0.2, , , ,8.7, , ,3,6
87,Corbin Burnes,MIL,28.2, , ,2.0, , ,-6.8,4.3,5.5, , ,-8.9, , ,3,6
88,Dane Dunning,TEX,33.2, , ,-0.1, , ,-9.1,3.9, , , ,-10.2, , ,3,6
89,Graham Ashcraft,CIN,33.0, , ,-0.6, , ,-7.1,5.1, , , ,-8.3, , ,3,6
