#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Jesus Luzardo,MIA,20.1,8.2, , , , ,10.6, ,0.4, , ,9.9, , ,1,2022-04-01
2,Eric Lauer,MIL,23.1,6.5, ,2.5, , , ,-0.8,-3.0, , ,9.5, , ,1,2022-04-01
3,Shane McClanahan,TBR,27.0,6.5, , , , , ,-2.0,-4.8, , ,10.0, , ,1,2022-04-01
4,Martin Perez,TEX,21.0,6.2, ,0.3, , ,9.2, ,-3.3, , ,8.2, , ,1,2022-04-01
5,Cole Irvin,OAK,27.2,5.6, ,1.5, , ,9.1,5.6,-3.6, , ,8.3, , ,1,2022-04-01
6,Madison Bumgarner,ARI,23.0,5.4, ,-0.3, , ,9.8, ,-5.2, , ,8.0, , ,1,2022-04-01
7,Tarik Skubal,DET,20.2,5.2, , , , ,9.7,-0.6, ,-3.6, ,8.9, , ,1,2022-04-01
8,Austin Gomber,COL,21.0,4.1, , , , , ,-2.4, ,-4.3, ,6.2, , ,1,2022-04-01
9,Robbie Ray,SEA,30.1,4.1, , , , , ,-0.4, ,-1.3, ,4.4, , ,1,2022-04-01
10,Carlos Rodon,SFG,23.0,4.1, , , , , ,-4.2,-3.3, , , , , ,1,2022-04-01
11,Brad Keller,KCR,24.2,1.1, , , , ,-6.8,2.6, , , ,-6.2, , ,1,2022-04-01
12,Max Fried,ATL,24.0,1.1, , , , ,6.8,-2.1,-5.3, , ,7.8, , ,1,2022-04-01
13,Clayton Kershaw,LAD,23.0,0.2, , , , ,4.9,-2.8,-2.9, , ,8.1, , ,1,2022-04-01
14,Zack Greinke,KCR,22.0,-1.1, ,2.2, , ,-6.9,3.5,7.2, , ,-7.4, , ,1,2022-04-01
15,Adam Wainwright,STL,27.0,-1.3, ,2.9, , ,-8.2, ,9.6, , ,-9.1, , ,1,2022-04-01
16,Chris Flexen,SEA,24.0,-1.8, ,2.9, , , ,6.7,5.4, , ,-7.4, , ,1,2022-04-01
17,Dylan Cease,CHW,22.0,-2.0, , , , ,-4.5,2.9, ,1.0, ,-6.0, , ,1,2022-04-01
18,Dylan Bundy,MIN,21.1,-2.8, , , , ,-7.3,2.0,4.6, , ,-6.8, , ,1,2022-04-01
19,Pablo Lopez,MIA,23.1,-3.2, ,0.5, , ,-8.7, ,6.7, , ,-10.7, , ,1,2022-04-01
20,Walker Buehler,LAD,24.2,-3.4, ,1.9, , ,-7.7,7.4, ,6.4, ,-7.8, , ,1,2022-04-01
21,Joe Musgrove,SDP,25.0,-3.4, ,0.4, , ,-8.7,7.1,5.0, , ,-6.9, , ,1,2022-04-01
22,Miles Mikolas,STL,29.2,-3.6, , , , ,-8.5,1.5,4.8, , ,-7.5, , ,1,2022-04-01
23,Alek Manoah,TOR,25.0,-3.7, , , , ,-9.0,8.4, , , ,-8.8, , ,1,2022-04-01
24,Chris Bassitt,NYM,24.0,-4.0, ,1.2, , ,-9.7,7.3,7.8, , ,-11.0, , ,1,2022-04-01
25,Kyle Gibson,PHI,27.2,-4.0, ,-0.1, , ,-9.0,1.6,2.2, , ,-9.3, , ,1,2022-04-01
26,Cal Quantrill,CLE,22.0,-4.1, ,1.6, , ,-7.5, ,2.6, , ,-7.3, , ,1,2022-04-01
27,Zach Plesac,CLE,21.1,-4.1, , , , ,-7.9,0.4,0.8, , ,-6.8, , ,1,2022-04-01
28,Yu Darvish,SDP,26.1,-4.2, ,2.7,-3.0, ,-8.3,8.3,5.1,4.8, , , , ,1,2022-04-01
29,Luis Garcia,HOU,21.2,-4.3, ,2.5, , , ,6.4,1.6, , ,-10.3, , ,1,2022-04-01
30,Kyle Hendricks,CHC,24.2,-4.3, , , , ,-8.1, ,7.3, , ,-8.1, , ,1,2022-04-01
