#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Miles Mikolas,STL,34.0,-3.5, , , , ,-8.7,1.1,3.8, , ,-7.2, , ,6,9
32,Lance Lynn,CHW,37.1,-3.7, ,-0.3, , ,-8.1,0.9,5.7, , ,-8.0, , ,6,9
33,Logan Gilbert,SEA,36.0,-3.7, , , , ,-8.1,3.0, ,3.0, ,-8.0, , ,6,9
34,Nick Pivetta,BOS,32.1,-3.8, , , , , ,2.8, ,4.0, ,-4.7, , ,6,9
35,Jameson Taillon,NYY,36.2,-3.9, ,0.9, , ,-8.4,2.6,4.9, , ,-8.2, , ,6,9
36,Pablo Lopez,MIA,34.0,-4.0, ,0.2, , ,-9.4, ,5.0, , ,-10.7, , ,6,9
37,Ross Stripling,TOR,33.1,-4.0, , , , ,-7.1,1.7, ,3.9, ,-6.6, , ,6,9
38,Brandon Woodruff,MIL,44.2,-4.1, , , , ,-8.3,1.2,0.3, , ,-9.5, , ,6,9
39,Hayden Wesneski,CHC,33.0,-4.2, ,1.7, , ,-10.2,9.7, , , ,-9.3, , ,6,9
40,Alek Manoah,TOR,41.0,-4.2, , , , ,-9.5,6.5, , , ,-9.3, , ,6,9
41,Luis Cessa,CIN,37.0,-4.7, , , , ,-8.4,2.8, , , ,-6.6, , ,6,9
42,Lucas Giolito,CHW,33.2,-4.7, , , , , ,1.1,3.5, , ,-7.7, , ,6,9
43,Michael Wacha,BOS,32.1,-4.7, ,-0.4, , ,-6.8, ,5.2, , ,-7.5, , ,6,9
44,Yu Darvish,SDP,39.0,-4.8, ,2.4,-5.0, ,-8.5,7.4,6.0, , , , , ,6,9
45,Mitch Keller,PIT,35.0,-5.1, , , , ,-9.2,10.3,6.3, , ,-9.3, , ,6,9
46,Jon Heasley,KCR,33.1,-5.2, , , , ,-7.4,1.6,3.4, , ,-7.3, , ,6,9
47,Bryse Wilson,PIT,33.1,-5.2, , , , ,-9.7,2.7,9.0, , ,-6.1, , ,6,9
48,Merrill Kelly,ARI,42.2,-5.4, ,-1.2, , ,-10.0,0.4,4.6, , ,-10.2, , ,6,9
49,Brayan Bello,BOS,31.1,-5.5, , , , ,-10.3,2.1,0.5, , ,-9.9, , ,6,9
50,Alex Cobb,SFG,38.2,-5.8, , ,-7.9, ,-9.8, , ,2.8, , , , ,6,9
51,Shane Bieber,CLE,48.0,-6.0, ,0.4, , , ,1.0, ,5.9, ,-7.9, , ,6,9
52,Taijuan Walker,NYM,34.2,-6.0, ,0.1,-6.7, ,-8.9,1.4,3.1, , , , , ,6,9
53,Jose Urena,COL,33.1,-6.1, , , , ,-9.1,0.6, , , ,-7.8, , ,6,9
54,German Marquez,COL,35.0,-6.2, , , , ,-8.7,-1.5, ,0.0, ,-7.6, , ,6,9
55,Gerrit Cole,NYY,36.0,-6.5, ,0.6, , , ,1.5, ,5.0, ,-9.2, , ,6,9
56,Dean Kremer,BAL,42.0,-6.5, ,1.0, , ,-10.3, ,5.4, , ,-9.9, , ,6,9
57,Kevin Gausman,TOR,34.1,-6.7, , ,-9.4, , ,-0.4, , , ,-5.6, , ,6,9
58,Adrian Sampson,CHC,38.2,-6.8, ,-0.7, , ,-8.9,4.3, , , ,-9.5, , ,6,9
59,Charlie Morton,ATL,31.2,-7.2, ,0.0, , ,-10.8, ,7.3, , ,-10.8, , ,6,9
60,Sandy Alcantara,MIA,43.0,-7.8, , , , ,-10.6,-0.8, , , ,-10.2, , ,6,9
