#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,36.2,7.9, ,2.7, , , , ,-2.8, , ,11.1, , ,2,2022-05-01
2,Martin Perez,TEX,42.1,6.4, ,0.2, , ,9.5, ,-3.4, , ,8.2, , ,2,2022-05-01
3,Shane McClanahan,TBR,31.1,6.4, , , , , ,-1.8,-4.4, , ,9.5, , ,2,2022-05-01
4,Yusei Kikuchi,TOR,26.2,6.2, ,0.8, , , ,-1.2, , , ,6.2, , ,2,2022-05-01
5,Jordan Montgomery,NYY,33.1,5.7, ,0.7, , ,10.2, ,-1.1, , ,6.8, , ,2,2022-05-01
6,Patrick Corbin,WSN,34.2,5.7, , , , ,8.7,-0.9, , , ,7.5, , ,2,2022-05-01
7,Tarik Skubal,DET,31.0,5.4, , , , ,9.4,0.3, ,-2.7, ,8.7, , ,2,2022-05-01
8,Robbie Ray,SEA,30.1,5.0, , , , , ,0.2, ,-0.5, , , , ,2,2022-05-01
9,Tyler Anderson,LAD,32.0,4.8, ,-0.7, , ,10.9, ,-1.6, , ,8.4, , ,2,2022-05-01
10,Bruce Zimmermann,BAL,32.1,4.8, , , , ,8.9,1.2,0.2, , ,9.9, , ,2,2022-05-01
11,Ranger Suarez,PHI,29.2,4.2, ,-0.9, , ,9.9,-2.9,-3.3, , ,9.3, , ,2,2022-05-01
12,Framber Valdez,HOU,43.0,3.9, ,-2.7, , ,7.8, ,-6.8, , ,8.6, , ,2,2022-05-01
13,Kyle Freeland,COL,33.2,3.8, , , , ,7.4,-0.5,-2.7, , ,6.5, , ,2,2022-05-01
14,Carlos Rodon,SFG,27.0,3.5, , , , , ,-4.5,-3.4, , , , , ,2,2022-05-01
15,Patrick Sandoval,LAA,28.1,2.7, , , , ,8.5,-3.9,-4.0, , ,9.0, , ,2,2022-05-01
16,Jose Quintana,PIT,27.0,2.0, , , , ,8.4, ,-3.8, , ,7.2, , ,2,2022-05-01
17,Julio Urias,LAD,35.0,2.0, , , , ,5.6, ,-8.6, , ,8.2, , ,2,2022-05-01
18,Nestor Cortes,NYY,32.1,1.9, ,-2.9, , ,7.5,-8.4, , , ,7.3, , ,2,2022-05-01
19,Max Fried,ATL,37.0,1.7, , , , ,7.2,-1.7,-5.0, , ,8.6, , ,2,2022-05-01
20,Brad Keller,KCR,30.0,1.2, , , , ,-6.2,2.6, , , ,-6.4, , ,2,2022-05-01
21,Zack Greinke,KCR,29.2,-0.1, ,3.4, , ,-6.6,3.5,6.9, , ,-7.0, , ,2,2022-05-01
22,Adam Wainwright,STL,32.0,-0.7, ,3.1, , ,-7.8, ,9.5, , ,-8.1, , ,2,2022-05-01
23,Erick Fedde,WSN,29.0,-0.9, ,1.0, , ,-5.3, ,8.0, , ,-9.4, , ,2,2022-05-01
24,Drew Rasmussen,TBR,28.2,-1.4, ,-0.6, , , ,6.0,1.4, , , , , ,2,2022-05-01
25,Pablo Lopez,MIA,35.2,-1.7, ,0.8, , ,-8.5, ,6.8, , ,-10.0, , ,2,2022-05-01
26,Dylan Cease,CHW,31.2,-2.1, , , , ,-5.3,2.9, ,2.1, ,-5.1, , ,2,2022-05-01
27,Triston McKenzie,CLE,34.0,-2.4, , , , , ,2.4,3.9, , , , , ,2,2022-05-01
28,Zac Gallen,ARI,35.1,-2.8, ,2.5, , ,-8.5,3.2, ,2.9, ,-7.9, , ,2,2022-05-01
29,Joe Musgrove,SDP,33.0,-2.8, ,0.5, , ,-7.0,7.2,5.1, , ,-5.4, , ,2,2022-05-01
30,Lucas Giolito,CHW,28.1,-2.9, , , , , ,1.8,4.5, , ,-5.8, , ,2,2022-05-01
