#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Corbin Burnes,MIL,33.2,-2.5, ,2.0, , ,-6.4,3.9,5.6, , ,-8.4, , ,5,2022-08-01
32,Lance Lynn,CHW,36.2,-2.7, ,0.4, , ,-6.7,1.5,6.8, , ,-7.4, , ,5,2022-08-01
33,Joe Musgrove,SDP,34.0,-2.8, ,0.4, , ,-7.4,6.9,5.2, , ,-7.3, , ,5,2022-08-01
34,Nick Pivetta,BOS,28.2,-2.9, , , , , ,2.9, ,4.0, ,-5.5, , ,5,2022-08-01
35,Alek Manoah,TOR,29.2,-3.3, , , , ,-8.3,7.1, , , ,-8.0, , ,5,2022-08-01
36,Chris Bassitt,NYM,33.1,-3.7, ,1.1, , ,-9.1,5.8,8.5, , ,-8.9, , ,5,2022-08-01
37,Jameson Taillon,NYY,31.2,-3.7, ,0.9, , ,-7.7,3.2,4.7, , ,-8.2, , ,5,2022-08-01
38,Miles Mikolas,STL,36.0,-3.7, , , , ,-8.4,1.0,3.3, , ,-7.2, , ,5,2022-08-01
39,Brandon Woodruff,MIL,30.0,-3.8, , , , ,-8.0,1.2,1.2, , ,-8.6, , ,5,2022-08-01
40,Lucas Giolito,CHW,31.2,-4.0, , , , , ,0.8,3.6, , ,-7.7, , ,5,2022-08-01
41,Marcus Stroman,CHC,34.0,-4.1, ,0.7,-7.3, ,-5.6,7.3,9.1, , , , , ,5,2022-08-01
42,Jordan Lyles,BAL,34.0,-4.1, ,2.4, , ,-8.0,8.4,3.4, , ,-8.7, , ,5,2022-08-01
43,Cal Quantrill,CLE,38.0,-4.3, ,0.9, , ,-7.4, ,1.6, , ,-7.5, , ,5,2022-08-01
44,Noah Syndergaard,PHI,30.2,-4.3, , , , ,-8.5,2.1,5.7, , ,-8.5, , ,5,2022-08-01
45,Ryan Feltner,COL,30.0,-4.4, , , , ,-7.2,2.8,3.9, , ,-2.8, , ,5,2022-08-01
46,Brady Singer,KCR,37.0,-4.6, , , , ,-9.2,1.4, , , ,-9.2, , ,5,2022-08-01
47,Kyle Gibson,PHI,31.1,-4.7, ,-0.9, , ,-8.7,1.4,3.9, , ,-9.0, , ,5,2022-08-01
48,Cristian Javier,HOU,32.0,-4.8, , , , , ,7.9, ,7.4, ,-7.9, , ,5,2022-08-01
49,James Kaprielian,OAK,29.0,-4.9, , , , ,-9.5,3.1,4.0, , ,-4.2, , ,5,2022-08-01
50,Jose Urquidy,HOU,31.2,-5.0, , , , , ,7.2,3.2, , ,-9.5, , ,5,2022-08-01
51,Corey Kluber,TBR,29.2,-5.0, ,0.7, , ,-10.0, ,8.7, , ,-8.0, , ,5,2022-08-01
52,Mike Clevinger,SDP,32.0,-5.3, ,2.8, , ,-8.2,8.9,4.2, , ,-7.6, , ,5,2022-08-01
53,Austin Voth,BAL,28.0,-5.3, ,0.3, , , ,5.9,8.3, , ,-7.6, , ,5,2022-08-01
54,George Kirby,SEA,29.1,-5.4, , , , ,-9.4,5.7,4.2, , ,-9.0, , ,5,2022-08-01
55,Yu Darvish,SDP,33.1,-5.4, ,2.3,-3.4, ,-8.8,8.5,6.2,6.6, , , , ,5,2022-08-01
56,Merrill Kelly,ARI,32.1,-5.5, ,-1.8, , ,-10.2, ,4.6, , ,-10.1, , ,5,2022-08-01
57,Luis Garcia,HOU,29.0,-5.5, ,1.8, , ,-10.5,8.0,3.0, , ,-10.2, , ,5,2022-08-01
58,Shane Bieber,CLE,33.1,-5.6, ,1.0, , , ,1.3, ,6.3, ,-8.0, , ,5,2022-08-01
59,Freddy Peralta,MIL,29.2,-5.8, , , , , ,3.5,2.4, , ,-8.8, , ,5,2022-08-01
60,German Marquez,COL,31.0,-5.8, , , , ,-9.2,-1.3, ,-0.5, ,-5.9, , ,5,2022-08-01
