#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Triston McKenzie,CLE,33.2,-2.4, , , , , ,2.4,4.0, , , , , ,4,7
32,Zac Gallen,ARI,29.2,-2.5, ,2.2, , , , , ,3.1, ,-7.0, , ,4,7
33,Lance Lynn,CHW,31.2,-2.6, ,0.5, , ,-6.8,0.5,1.9, , ,-7.0, , ,4,7
34,Shohei Ohtani,LAA,25.1,-2.9, ,1.6,-3.6, ,-11.4,8.0,6.1, , , , , ,4,7
35,Dylan Bundy,MIN,24.1,-3.0, , , , ,-6.9,1.8,4.4, , ,-7.5, , ,4,7
36,Lucas Giolito,CHW,27.0,-3.1, , , , , ,1.3,2.7, , ,-6.1, , ,4,7
37,Andre Pallante,STL,26.1,-3.3, , , , ,-7.7,2.1,4.4, , ,-6.8, , ,4,7
38,Glenn Otto,TEX,29.2,-3.3, , , , ,-8.3,8.3, ,3.1, ,-8.3, , ,4,7
39,Chris Bassitt,NYM,25.1,-3.4, ,1.0, , ,-9.3,6.3,8.5, , ,-7.1, , ,4,7
40,Miles Mikolas,STL,37.2,-3.5, , , , ,-8.4,1.2,4.3, , ,-7.3, , ,4,7
41,Corey Kluber,TBR,32.0,-3.5, ,0.8, , ,-9.9, ,8.5, , ,-8.1, , ,4,7
42,Logan Gilbert,SEA,28.1,-3.6, , , , , ,3.2, ,1.6, ,-9.3, , ,4,7
43,Pablo Lopez,MIA,31.0,-3.6, ,0.5, , ,-9.4, ,5.8, , ,-10.7, , ,4,7
44,Jordan Lyles,BAL,32.2,-3.7, ,2.5, , ,-7.8,8.5,4.1, , ,-7.9, , ,4,7
45,Kyle Gibson,PHI,27.1,-3.7, ,0.1, , ,-8.5,1.9,3.4, , ,-8.1, , ,4,7
46,Brandon Woodruff,MIL,30.0,-3.8, , , , ,-8.1,1.5,0.5, , ,-9.2, , ,4,7
47,Spencer Strider,ATL,26.2,-3.8, , , , , ,1.9, , , ,-9.3, , ,4,7
48,Tyler Wells,BAL,25.0,-3.8, , , , , ,2.3,6.1, , ,-8.9, , ,4,7
49,Alek Manoah,TOR,31.1,-4.1, , , , ,-8.9,6.7, , , ,-8.8, , ,4,7
50,Carlos Carrasco,NYM,30.0,-4.3, , , , ,-9.6,1.1,4.2, , ,-4.7, , ,4,7
51,Mitch Keller,PIT,31.0,-4.5, , , , ,-8.7,9.3,5.7, , ,-7.5, , ,4,7
52,Merrill Kelly,ARI,41.1,-4.8, ,-1.4, , ,-8.9,0.3,5.0, , ,-9.4, , ,4,7
53,Jose Urquidy,HOU,33.0,-4.9, , , , , ,7.8,3.6, , ,-9.8, , ,4,7
54,James Kaprielian,OAK,28.0,-5.2, , , , ,-9.2,1.6,3.0, , ,-4.5, , ,4,7
55,Brady Singer,KCR,30.2,-5.2, , , , ,-8.8,1.3, , , ,-8.8, , ,4,7
56,Yu Darvish,SDP,34.0,-5.2, ,2.1,-3.5, ,-8.9,8.0,6.7,5.6, , , , ,4,7
57,Zack Wheeler,PHI,32.2,-5.4, , , , ,-9.4,1.2,5.3, , ,-8.7, , ,4,7
58,Tony Gonsolin,LAD,30.2,-5.4, , ,-7.3, , ,1.5,1.4, , , , , ,4,7
59,Josiah Gray,WSN,26.2,-5.7, , , , , ,0.4,0.7, , ,-8.9, , ,4,7
60,German Marquez,COL,31.2,-5.8, , , , ,-8.2,-1.1, ,0.0, ,-5.5, , ,4,7
