#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
61,Freddy Peralta,MIL,29.2,92.3, , , , , ,79.6,74.8, , ,85.6, , ,5,2022-08-01
62,Kris Bubic,KCR,31.0,92.3, , , , , , ,79.9, , ,80.8, , ,5,2022-08-01
63,Shane Bieber,CLE,33.1,92.0, ,87.1, , , ,85.4, ,82.3, ,87.5, , ,5,2022-08-01
64,Kyle Gibson,PHI,31.1,91.9, ,89.8, , ,92.0,83.4,78.6, , ,84.8, , ,5,2022-08-01
65,Jeffrey Springs,TBR,27.2,91.6, , , , ,91.3,85.5, , , ,81.0, , ,5,2022-08-01
66,Jose Quintana,STL,29.1,91.6, , , , ,91.8, ,78.5, , ,86.2, , ,5,2022-08-01
67,Jordan Lyles,BAL,34.0,91.6, ,84.2, , ,90.6,80.2,79.3, , ,85.2, , ,5,2022-08-01
68,Tommy Henry,ARI,31.2,91.5, , , , ,91.3,85.8,80.4, , ,84.6, , ,5,2022-08-01
69,Spenser Watkins,BAL,30.2,91.5, ,87.3, , , ,78.0,76.8, , ,86.0, , ,5,2022-08-01
70,Logan Webb,SFG,35.0,91.4, , , , ,91.2,81.9, , , ,85.9, , ,5,2022-08-01
71,Johnny Cueto,CHW,35.2,91.1, ,87.2, , ,91.4,82.9,70.7, , ,82.7, , ,5,2022-08-01
72,Cole Irvin,OAK,38.1,90.9, , , , ,90.6, ,77.4, , ,83.5, , ,5,2022-08-01
73,Tyler Anderson,LAD,37.1,90.6, ,85.5, , ,88.6, ,71.6, , ,78.6, , ,5,2022-08-01
74,Mike Minor,CIN,33.0,90.5, , , , ,89.8,86.0, ,79.5, ,84.3, , ,5,2022-08-01
75,Tyler Alexander,DET,30.2,89.9, ,85.6, , ,90.0,77.2, , , ,82.3, , ,5,2022-08-01
76,Anibal Sanchez,WSN,30.2,89.7, ,87.3, , ,89.1,82.6,75.4, , ,81.3, , ,5,2022-08-01
77,Marco Gonzales,SEA,33.2,89.2, ,86.1, , , , ,77.0, , ,79.4, , ,5,2022-08-01
78,Corey Kluber,TBR,29.2,88.4, ,86.3, , ,89.0, ,80.5, , ,82.5, , ,5,2022-08-01
79,Adam Wainwright,STL,39.2,87.9, ,83.9, , ,88.7, ,73.1, , ,81.4, , ,5,2022-08-01
80,Alex Cobb,SFG,29.0, , , ,89.6, ,95.0, , ,84.4, , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, , ,89.8, , ,93.3, , ,80.0, , , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, , ,87.9, , ,89.9,76.0,74.2, , ,80.3, , ,5,2022-08-01
83,Alex Wood,SFG,30.0, , , , , ,92.1,83.9, , , ,85.2, , ,5,2022-08-01
