#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Jacob deGrom,NYM,36.1,99.3, , , , , ,93.0,83.4, , ,92.8, , ,5,2022-08-01
2,Sandy Alcantara,MIA,36.1,98.2, , , , ,97.9,90.5,88.0, , ,91.9, , ,5,2022-08-01
3,Gerrit Cole,NYY,39.1,97.6, ,90.3, , , ,89.0, ,82.9, ,89.2, , ,5,2022-08-01
4,Luis Castillo,SEA,31.2,97.2, , , , ,97.2,86.5, , , ,88.6, , ,5,2022-08-01
5,Dylan Cease,CHW,30.1,97.0, , , , , ,87.6, ,81.3, ,79.3, , ,5,2022-08-01
6,German Marquez,COL,31.0,96.7, , , , ,95.6,89.2, ,87.1, ,87.4, , ,5,2022-08-01
7,Jose Urena,COL,29.0,96.5, , , , ,95.8,87.0, , , ,90.5, , ,5,2022-08-01
8,Brandon Woodruff,MIL,30.0,96.4, , , , ,96.0,88.0,84.5, , ,86.5, , ,5,2022-08-01
9,Corbin Burnes,MIL,33.2,95.9, ,95.4, , ,96.4,88.9,81.0, , ,90.2, , ,5,2022-08-01
10,Blake Snell,SDP,32.0,95.8, , , , , ,88.2,81.1, , ,87.2, , ,5,2022-08-01
11,Edward Cabrera,MIA,28.1,95.7, , , , ,95.7,86.9,83.5, , ,92.3, , ,5,2022-08-01
12,Drew Rasmussen,TBR,34.1,95.6, ,89.0, , ,94.8,85.2,79.9, , , , , ,5,2022-08-01
13,George Kirby,SEA,29.1,95.5, , , , ,95.2,85.4,81.9, , ,86.9, , ,5,2022-08-01
14,Jesus Luzardo,MIA,36.1,95.4, , , , ,95.2, ,82.9, , ,86.7, , ,5,2022-08-01
15,Yu Darvish,SDP,33.1,95.2, ,87.1,89.4, ,94.9,82.7,71.9,78.7, , , , ,5,2022-08-01
16,Justin Verlander,HOU,28.0,95.1, , , , , ,87.7,79.4, , ,86.7, , ,5,2022-08-01
17,Kyle Bradish,BAL,28.2,94.8, , , , , ,87.4,83.9, , ,90.4, , ,5,2022-08-01
18,Carlos Rodon,SFG,28.1,94.8, , , , , ,85.0,79.7, , ,84.3, , ,5,2022-08-01
19,Charlie Morton,ATL,30.1,94.6, ,88.8, , ,94.6, ,81.5, , ,87.0, , ,5,2022-08-01
20,Kyle Wright,ATL,32.0,94.6, , , , ,94.3,90.7,85.2, , ,88.2, , ,5,2022-08-01
21,Kevin Gausman,TOR,36.2,94.6, , ,85.0, , ,84.4, , , ,84.5, , ,5,2022-08-01
22,Nick Lodolo,CIN,28.2,94.5, , , , ,94.1, ,81.1, , ,88.5, , ,5,2022-08-01
23,James Kaprielian,OAK,29.0,94.4, , , , ,93.8,83.6,79.7, , ,85.5, , ,5,2022-08-01
24,Ryan Feltner,COL,30.0,94.3, , , , ,93.4,84.1,77.6, , ,84.1, , ,5,2022-08-01
25,Framber Valdez,HOU,35.1,94.3, ,82.9, , ,93.9, ,79.2, , ,88.3, , ,5,2022-08-01
26,Daniel Lynch,KCR,32.0,94.2, , , , ,93.8,86.2, ,80.8, ,85.2, , ,5,2022-08-01
27,Zac Gallen,ARI,40.0,94.0, ,89.9, , , , , ,81.8, ,84.7, , ,5,2022-08-01
28,Cristian Javier,HOU,32.0,94.0, , , , , ,80.2, ,76.9, ,84.0, , ,5,2022-08-01
29,Alek Manoah,TOR,29.2,93.9, , , , ,93.7,82.1, , , ,86.9, , ,5,2022-08-01
30,Max Scherzer,NYM,40.2,93.9, ,89.2, , , ,84.5,74.1, , ,84.2, , ,5,2022-08-01
