#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,42.1,97.8, , , , ,97.2,89.7,85.1, , ,91.7, , ,2,5
2,Gerrit Cole,NYY,33.2,97.7, ,92.3, , , ,88.4, ,83.1, ,89.6, , ,2,5
3,Shane McClanahan,TBR,31.1,96.9, , , , , ,88.9,81.6, , ,87.7, , ,2,5
4,Nathan Eovaldi,BOS,28.2,96.8, ,92.8,88.7, , ,87.1,79.2, , , , , ,2,5
5,Dylan Cease,CHW,31.2,96.8, , , , ,96.6,86.8, ,80.6, ,76.7, , ,2,5
6,Carlos Rodon,SFG,27.0,96.3, , , , , ,85.6,79.9, , , , , ,2,5
7,Zack Wheeler,PHI,32.2,96.3, , , , ,95.6,91.1,81.8, , ,89.8, , ,2,5
8,Frankie Montas,OAK,35.0,96.1, ,89.0,86.4, ,95.6,87.0, , , , , , ,2,5
9,Luis Severino,NYY,29.0,96.1, ,89.0, , , ,85.1, , , ,88.9, , ,2,5
10,Logan Gilbert,SEA,36.2,95.9, , , , , ,87.6, ,80.8, ,86.6, , ,2,5
11,Kyle Wright,ATL,29.2,95.5, , , , ,94.7,89.6,84.0, , ,88.1, , ,2,5
12,Charlie Morton,ATL,31.1,95.3, ,87.7, , ,94.5, ,81.1, , ,87.2, , ,2,5
13,Walker Buehler,LAD,34.0,95.2, ,91.7, , ,95.4,83.7, ,79.0, ,90.5, , ,2,5
14,Drew Rasmussen,TBR,28.2,95.1, ,92.2, , , ,84.3,79.2, , , , , ,2,5
15,Alex Cobb,SFG,28.1,95.0, , ,89.5, ,94.5, , ,83.3, , , , ,2,5
16,Framber Valdez,HOU,43.0,94.9, ,84.2, , ,94.3, ,79.4, , ,89.6, , ,2,5
17,German Marquez,COL,29.0,94.9, , , , ,94.3,86.6, ,85.9, ,88.2, , ,2,5
18,Yusei Kikuchi,TOR,26.2,94.9, ,91.9, , , ,88.5, , , ,86.8, , ,2,5
19,Justin Verlander,HOU,31.2,94.7, , , , , ,87.1,78.5, , ,85.4, , ,2,5
20,Michael Lorenzen,LAA,32.2,94.6, ,90.8, , ,93.8,83.0, , , ,86.3, , ,2,5
21,Josiah Gray,WSN,31.1,94.5, , , , ,95.5,85.5,83.0, , ,88.0, , ,2,5
22,Kevin Gausman,TOR,36.1,94.4, , ,84.9, , ,83.3, , , ,83.4, , ,2,5
23,Zac Gallen,ARI,35.1,94.3, ,89.8, , ,94.7,87.0, ,81.4, ,87.2, , ,2,5
24,Tarik Skubal,DET,31.0,94.2, , , , ,95.0,89.9, ,77.3, ,84.3, , ,2,5
25,Max Fried,ATL,37.0,94.1, , , , ,93.6,87.3,74.3, , ,87.3, , ,2,5
26,Alek Manoah,TOR,31.0,94.0, , , , ,92.9,81.0, , , ,86.3, , ,2,5
27,Jameson Taillon,NYY,31.1,93.8, ,90.1, , ,93.9,85.9,81.1, , ,87.6, , ,2,5
28,Robbie Ray,SEA,30.1,93.7, , , , , ,87.1, ,80.0, , , , ,2,5
29,Ian Anderson,ATL,28.1,93.7, , , , , , ,81.8, , ,88.0, , ,2,5
30,Tyler Mahle,CIN,31.1,93.7, ,85.6,85.4, , ,84.1, , , , , , ,2,5
