#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Hunter Greene,CIN,29.2,98.5, , , , , ,87.6, , , ,89.8, , ,3,2022-06-01
2,Gerrit Cole,NYY,29.2,97.9, ,92.3, , , ,88.7, ,83.1, ,90.3, , ,3,2022-06-01
3,Sandy Alcantara,MIA,47.2,97.9, , , , ,97.8,89.5,86.3, , ,91.7, , ,3,2022-06-01
4,Shohei Ohtani,LAA,29.2,97.4, ,90.4,88.8, , ,85.0,77.1, , , , , ,3,2022-06-01
5,Dylan Cease,CHW,27.1,97.2, , , , , ,87.9, ,82.0, ,75.0, , ,3,2022-06-01
6,Luis Castillo,CIN,30.1,97.0, , , , ,97.2,86.7, , , ,88.8, , ,3,2022-06-01
7,Shane McClanahan,TBR,33.0,96.7, , , , , ,88.9,81.6, , ,87.7, , ,3,2022-06-01
8,Frankie Montas,OAK,31.0,96.6, ,89.8,87.0, ,95.9,87.8, , , , , , ,3,2022-06-01
9,Logan Gilbert,SEA,35.2,96.3, , , , , ,87.9, ,80.9, ,86.2, , ,3,2022-06-01
10,Jon Gray,TEX,37.2,96.1, , , , , ,85.3,77.9, , ,89.0, , ,3,2022-06-01
11,German Marquez,COL,34.0,95.9, , , , ,95.4,88.2, ,87.3, ,88.4, , ,3,2022-06-01
12,Zack Wheeler,PHI,29.2,95.8, , , , ,95.3,90.4,80.8, , ,89.6, , ,3,2022-06-01
13,Andre Pallante,STL,30.1,95.5, , , , ,94.9,87.3,76.9, , , , , ,3,2022-06-01
14,Carlos Rodon,SFG,36.0,95.4, , , , , ,85.2,80.1, , ,85.7, , ,3,2022-06-01
15,Charlie Morton,ATL,30.2,95.3, ,88.1, , ,94.9, ,80.9, , ,87.2, , ,3,2022-06-01
16,Yu Darvish,SDP,35.2,95.1, ,86.7,89.6, ,95.4,82.6,71.6,78.2, , , , ,3,2022-06-01
17,Justin Verlander,HOU,39.2,95.1, , , , , ,88.0,79.2, , ,86.6, , ,3,2022-06-01
18,Kyle Wright,ATL,38.1,95.0, , , , ,94.0,89.8,84.3, , ,87.9, , ,3,2022-06-01
19,Adrian Houser,MIL,30.0,94.9, , , , ,94.0,85.0,81.6, , ,85.3, , ,3,2022-06-01
20,Luis Severino,NYY,30.0,94.6, ,91.1, , ,95.5,80.7, , , ,85.4, , ,3,2022-06-01
21,Antonio Senzatela,COL,28.1,94.6, , , , ,93.0,86.7,77.8, , ,87.1, , ,3,2022-06-01
22,Beau Brieske,DET,27.1,94.5, , , , ,93.6,86.5,78.6, , ,82.9, , ,3,2022-06-01
23,Taijuan Walker,NYM,37.2,94.3, ,88.3,88.9, ,93.0,84.7,74.7, , , , , ,3,2022-06-01
24,Jameson Taillon,NYY,33.1,94.2, ,90.8, , ,94.4,86.2,81.1, , ,87.4, , ,3,2022-06-01
25,Ian Anderson,ATL,28.2,94.1, , , , , , ,82.0, , ,88.3, , ,3,2022-06-01
26,Tarik Skubal,DET,32.1,94.0, , , , ,94.8,90.1, ,77.0, ,83.5, , ,3,2022-06-01
27,Alek Manoah,TOR,38.2,94.0, , , , ,93.3,81.5, , , ,87.0, , ,3,2022-06-01
28,Chris Bassitt,NYM,30.2,94.0, ,89.8, , ,93.4,78.7,72.4, , ,85.5, , ,3,2022-06-01
29,Luis Garcia,HOU,27.2,94.0, ,85.8, , , ,80.2,77.2, , ,84.9, , ,3,2022-06-01
30,Tyler Wells,BAL,26.0,93.9, , , , , ,88.1,76.9, , ,86.5, , ,3,2022-06-01
