#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
61,Triston McKenzie,CLE,29.1,92.4, , , , , ,87.3,79.9, , , , , ,3,2022-06-01
62,Pablo Lopez,MIA,28.2,92.3, ,88.0, , ,92.2, ,79.8, , ,87.0, , ,3,2022-06-01
63,Brady Singer,KCR,28.2,92.3, , , , ,93.6,85.1, , , ,86.9, , ,3,2022-06-01
64,Ross Stripling,TOR,28.1,92.1, , , , ,89.6,87.4, ,76.0, ,82.1, , ,3,2022-06-01
65,Justin Steele,CHC,29.2,92.1, , , , ,91.5,81.8,78.0, , ,86.8, , ,3,2022-06-01
66,Jordan Lyles,BAL,28.2,91.8, , , , ,91.1,79.6,78.5, , ,86.2, , ,3,2022-06-01
67,Dakota Hudson,STL,35.1,91.6, , , , ,92.0,89.3,80.5, , ,86.6, , ,3,2022-06-01
68,Chad Kuhl,COL,29.1,91.6, , , , ,92.4,86.6, ,78.3, ,87.5, , ,3,2022-06-01
69,Paul Blackburn,OAK,26.1,91.6, ,87.4, , ,91.9,79.5,78.7, , ,85.9, , ,3,2022-06-01
70,Jeffrey Springs,TBR,26.2,91.4, , , , ,90.4,85.4, , , ,80.8, , ,3,2022-06-01
71,Chris Flexen,SEA,33.0,91.4, ,87.3, , , ,81.5,73.3, , ,80.7, , ,3,2022-06-01
72,Madison Bumgarner,ARI,31.0,91.4, ,87.6, , , , ,78.3, , ,85.2, , ,3,2022-06-01
73,Jose Quintana,PIT,30.0,91.3, , , , ,91.5, ,78.7, , ,86.7, , ,3,2022-06-01
74,Shane Bieber,CLE,37.1,91.1, ,86.5, , , ,84.5, ,81.7, ,86.4, , ,3,2022-06-01
75,Johnny Cueto,CHW,35.1,91.0, ,86.7, , ,91.1,84.0, , , ,82.4, , ,3,2022-06-01
76,Tyler Anderson,LAD,28.1,90.9, ,85.8, , ,89.5, ,72.5, , ,79.2, , ,3,2022-06-01
77,Kyle Freeland,COL,33.0,90.5, , , , ,89.9,86.2,81.3, , ,85.0, , ,3,2022-06-01
78,Cole Irvin,OAK,35.1,90.4, ,86.8, , ,89.7, ,76.7, , ,82.6, , ,3,2022-06-01
79,Rich Hill,BOS,27.0,88.7, ,84.3, , ,85.4,69.1,72.3, , ,82.1, , ,3,2022-06-01
80,Corey Kluber,TBR,28.1,88.2, ,86.4, , ,88.7, ,80.8, , ,82.9, , ,3,2022-06-01
81,Adam Wainwright,STL,32.0,88.1, ,84.7, , ,89.0, ,72.7, , ,82.9, , ,3,2022-06-01
82,Marco Gonzales,SEA,31.0,87.8, ,86.0, , , , ,76.0, , ,79.2, , ,3,2022-06-01
83,Kyle Hendricks,CHC,27.2,86.5, , , , ,86.3, ,71.9, , ,79.9, , ,3,2022-06-01
84,Zach Davies,ARI,31.2, , ,87.1, , ,89.4,75.9,74.1, , ,79.3, , ,3,2022-06-01
85,Alex Wood,SFG,30.1, , , , , ,92.1,84.3, , , ,85.1, , ,3,2022-06-01
86,Sean Manaea,SDP,29.0, , , , , ,91.0,82.5, , , ,83.6, , ,3,2022-06-01
87,Corbin Burnes,MIL,28.2, , ,95.2, , ,96.6,86.7,82.2, , ,90.5, , ,3,2022-06-01
88,Dane Dunning,TEX,33.2, , ,85.6, , ,88.6,77.7, , , ,83.4, , ,3,2022-06-01
89,Graham Ashcraft,CIN,33.0, , ,97.3, , ,97.1,86.4, , , ,90.0, , ,3,2022-06-01
