#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Carlos Carrasco,NYM,22.0,92.8, , , , ,92.0,85.5,80.0, , ,87.3, , ,1,2022-04-01
32,Robbie Ray,SEA,30.1,92.5, , , , , ,86.4, ,77.4, ,85.2, , ,1,2022-04-01
33,Logan Webb,SFG,30.1,92.4, , , , ,91.8,82.8, , , ,86.1, , ,1,2022-04-01
34,Merrill Kelly,ARI,28.1,92.4, ,90.8, , ,92.5, ,81.7, , ,88.2, , ,1,2022-04-01
35,Cal Quantrill,CLE,22.0,92.4, ,86.7, , ,92.3, ,80.0, , ,83.7, , ,1,2022-04-01
36,Chris Bassitt,NYM,24.0,92.2, ,88.4, , ,91.8,78.0,71.0, , ,86.5, , ,1,2022-04-01
37,Aaron Nola,PHI,27.2,92.1, ,86.5, , ,91.6, , ,78.1, ,85.3, , ,1,2022-04-01
38,Joe Musgrove,SDP,25.0,92.0, ,89.1, , ,91.4,82.6,80.6, , ,85.7, , ,1,2022-04-01
39,Joe Ryan,MIN,23.0,92.0, , , , , ,82.0,72.6, , ,83.3, , ,1,2022-04-01
40,Kyle Gibson,PHI,27.2,91.7, ,88.8, , ,91.3,83.4,80.0, , ,84.4, , ,1,2022-04-01
41,Chris Flexen,SEA,24.0,91.3, ,87.2, , , ,77.8,74.4, , ,81.1, , ,1,2022-04-01
42,Elieser Hernandez,MIA,20.1,91.3, , , , , ,79.5, , , ,83.6, , ,1,2022-04-01
43,Cole Irvin,OAK,27.2,91.3, ,87.0, , ,91.0,86.7,79.0, , ,83.6, , ,1,2022-04-01
44,Zach Plesac,CLE,21.1,91.1, , , , ,89.4,83.9,78.4, , ,84.6, , ,1,2022-04-01
45,Madison Bumgarner,ARI,23.0,90.9, ,87.8, , ,91.3, ,78.1, , ,84.0, , ,1,2022-04-01
46,Shane Bieber,CLE,29.1,90.8, ,88.0, , , ,84.9, ,82.0, ,85.8, , ,1,2022-04-01
47,Austin Gomber,COL,21.0,90.6, , , , , ,83.3, ,75.3, ,82.0, , ,1,2022-04-01
48,Clayton Kershaw,LAD,23.0,90.4, , , , ,91.0,85.5,72.8, , ,83.3, , ,1,2022-04-01
49,Dylan Bundy,MIN,21.1,89.1, , , , ,89.6,79.1,72.5, , ,81.2, , ,1,2022-04-01
50,Zack Greinke,KCR,22.0,88.5, ,87.4, , ,89.5,83.5,71.1, , ,86.3, , ,1,2022-04-01
51,Adam Wainwright,STL,27.0,88.0, ,84.8, , ,88.5, ,73.0, , ,82.7, , ,1,2022-04-01
52,Kyle Hendricks,CHC,24.2,86.9, , , , ,86.5, ,73.2, , ,79.9, , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , , , ,90.3,79.7,76.9, , ,84.3, , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, , ,94.5, , ,96.0,87.6,82.0, , ,90.0, , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, , ,86.1, , ,89.5,78.3, , , ,83.6, , ,1,2022-04-01
