#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,43.0,98.2, , , , ,98.3,90.8, , , ,91.7, , ,6,9
2,Gerrit Cole,NYY,36.0,97.9, ,91.3, , , ,89.0, ,83.3, ,89.9, , ,6,9
3,Luis Castillo,SEA,33.2,97.5, , , , ,97.2,86.3, , , ,89.0, , ,6,9
4,Shohei Ohtani,LAA,38.0,97.4, ,90.7,88.4, ,97.2,85.4,73.4, , , , , ,6,9
5,Brayan Bello,BOS,31.1,96.8, , , , ,96.3,84.6,80.2, , ,88.2, , ,6,9
6,Logan Gilbert,SEA,36.0,96.7, , , , ,94.7,85.7, ,79.8, ,85.9, , ,6,9
7,Dylan Cease,CHW,37.0,96.5, , , , , ,88.0, ,81.6, ,79.1, , ,6,9
8,Brandon Woodruff,MIL,44.2,96.4, , , , ,96.1,87.5,84.2, , ,86.1, , ,6,9
9,Blake Snell,SDP,35.0,96.3, , , , , ,89.1,82.5, , ,87.7, , ,6,9
10,Alex Cobb,SFG,38.2,96.3, , ,89.6, ,94.7, , ,83.7, , , , ,6,9
11,Corbin Burnes,MIL,43.2,96.1, ,95.3, , ,96.4,88.9,81.3, , ,90.4, , ,6,9
12,Jesus Luzardo,MIA,35.0,96.0, , , , ,95.8, ,83.8, , ,87.9, , ,6,9
13,Jose Urena,COL,33.1,95.6, , , , ,95.3,86.2, , , ,89.7, , ,6,9
14,Kevin Gausman,TOR,34.1,95.3, , ,85.8, , ,85.2, , , ,84.9, , ,6,9
15,Mitch Keller,PIT,35.0,95.3, , , , ,94.3,83.0,78.4, , ,90.8, , ,6,9
16,German Marquez,COL,35.0,95.2, , , , ,95.0,88.4, ,85.7, ,88.8, , ,6,9
17,Pablo Lopez,MIA,34.0,94.8, ,89.9, , ,94.7, ,81.6, , ,88.5, , ,6,9
18,Charlie Morton,ATL,31.2,94.6, ,88.2, , ,94.5, ,81.9, , ,87.3, , ,6,9
19,Nick Lodolo,CIN,36.1,94.4, , , , ,94.1, ,81.0, , ,88.8, , ,6,9
20,Yu Darvish,SDP,39.0,94.3, ,86.0,88.6, ,94.2,82.2,74.3, , , , , ,6,9
21,Framber Valdez,HOU,37.1,94.3, ,82.3, , ,93.8, ,78.9, , ,88.1, , ,6,9
22,Zac Gallen,ARI,38.1,94.2, ,90.2, , , , , ,82.6, ,85.6, , ,6,9
23,Ken Waldichuk,OAK,34.2,94.1, , , , , ,81.0,75.2, , ,82.4, , ,6,9
24,Jameson Taillon,NYY,36.2,94.0, ,91.0, , ,94.3,86.3,81.4, , ,88.0, , ,6,9
25,Kyle Bradish,BAL,37.2,94.0, , , , ,95.3,87.6,83.7, , ,90.5, , ,6,9
26,Dean Kremer,BAL,42.0,93.8, ,88.9, , ,91.4, ,77.1, , ,83.5, , ,6,9
27,Nick Pivetta,BOS,32.1,93.7, , , , , ,86.1, ,76.9, ,86.9, , ,6,9
28,Taijuan Walker,NYM,34.2,93.7, ,88.6,88.6, ,92.5,84.8,75.5, , , , , ,6,9
29,Jordan Montgomery,STL,33.0,93.5, ,92.2, , ,93.2, ,80.4, , ,83.1, , ,6,9
30,Alek Manoah,TOR,41.0,93.5, , , , ,93.1,81.2, , , ,85.9, , ,6,9
