#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Shohei Ohtani,LAA,25.1,98.2, ,90.9,90.4, ,99.7,85.7,79.3, , , , , ,4,7
2,Sandy Alcantara,MIA,34.0,98.1, , , , ,97.9,89.9,86.4, , ,91.8, , ,4,7
3,Gerrit Cole,NYY,38.0,98.1, ,91.7, , , ,89.0, ,82.6, ,89.9, , ,4,7
4,Spencer Strider,ATL,26.2,98.0, , , , , ,86.5, , , ,89.3, , ,4,7
5,Luis Castillo,CIN,28.0,97.3, , , , ,97.2,87.0, , , ,88.7, , ,4,7
6,Dylan Cease,CHW,35.2,97.0, , , , , ,87.7, ,82.1, ,79.7, , ,4,7
7,Jon Gray,TEX,30.1,96.8, , , , , ,85.4,77.7, , ,89.0, , ,4,7
8,Shane McClanahan,TBR,30.2,96.3, , , , , ,89.1,81.4, , ,87.4, , ,4,7
9,Brandon Woodruff,MIL,30.0,96.2, , , , ,95.7,87.6,83.7, , ,86.0, , ,4,7
10,Logan Gilbert,SEA,28.1,96.2, , , , , ,86.7, ,81.2, ,86.2, , ,4,7
11,Jose Urena,COL,27.0,96.1, , , , ,95.9,87.7, , , ,90.5, , ,4,7
12,Aaron Ashby,MIL,25.2,96.1, , , , ,95.7,83.7,79.5, , ,89.8, , ,4,7
13,German Marquez,COL,31.2,96.0, , , , ,95.1,88.4, ,86.7, ,87.6, , ,4,7
14,Zack Wheeler,PHI,32.2,95.8, , , , ,95.4,90.0,81.1, , ,89.7, , ,4,7
15,Blake Snell,SDP,25.2,95.8, , , , , ,89.3,82.2, , ,86.8, , ,4,7
16,Carlos Rodon,SFG,37.0,95.5, , , , , ,85.6,80.7, , ,84.9, , ,4,7
17,Kyle Wright,ATL,30.2,95.3, , , , ,94.8,90.3,84.8, , ,88.2, , ,4,7
18,Yu Darvish,SDP,34.0,95.0, ,86.7,89.4, ,94.7,82.6,72.3,76.9, , , , ,4,7
19,Andre Pallante,STL,26.1,95.0, , , , ,95.0,87.3,77.3, , ,83.1, , ,4,7
20,Josiah Gray,WSN,26.2,95.0, , , , , ,86.4,83.0, , ,88.6, , ,4,7
21,Charlie Morton,ATL,30.0,94.9, ,89.0, , ,95.0, ,81.1, , ,87.0, , ,4,7
22,Brad Keller,KCR,28.2,94.9, , , , ,93.4,86.2, , , ,90.0, , ,4,7
23,Mitch Keller,PIT,31.0,94.7, , , , ,94.2,82.3,77.7, , ,90.9, , ,4,7
24,Kutter Crawford,BOS,28.0,94.5, ,89.3, , , ,85.3,79.8, , ,87.9, , ,4,7
25,Max Scherzer,NYM,32.1,94.3, ,89.2, , , ,85.1,74.6, , ,84.3, , ,4,7
26,Robbie Ray,SEA,25.0,94.3, , , , ,94.0,87.3, ,79.0, ,87.1, , ,4,7
27,Zac Gallen,ARI,29.2,94.0, ,89.6, , , , , ,80.8, ,85.3, , ,4,7
28,Jose Berrios,TOR,36.0,93.9, , , , ,93.9, ,82.8, , ,84.7, , ,4,7
29,James Kaprielian,OAK,28.0,93.9, , , , ,94.0,83.8,79.3, , ,84.9, , ,4,7
30,Max Fried,ATL,38.0,93.8, , , , ,93.4,87.9,73.9, , ,86.3, , ,4,7
