#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
61,Kyle Gibson,PHI,27.1,91.9, ,89.1, , ,91.1,83.1,79.1, , ,84.7, , ,4,7
62,Johnny Cueto,CHW,34.0,91.9, ,86.8, , ,91.3,83.5,73.0, , ,82.7, , ,4,7
63,Jordan Lyles,BAL,32.2,91.9, ,83.2, , ,90.8,79.8,78.7, , ,86.3, , ,4,7
64,Madison Bumgarner,ARI,31.0,91.7, ,87.4, , , , ,79.0, , ,86.2, , ,4,7
65,Joe Ryan,MIN,26.2,91.6, , , , , ,82.5,75.0, , ,84.2, , ,4,7
66,Kris Bubic,KCR,35.2,91.5, , , , , , ,78.5, , ,80.3, , ,4,7
67,Braxton Garrett,MIA,30.0,91.3, , , , ,90.9,84.3,79.5, , ,86.1, , ,4,7
68,Jose Quintana,PIT,27.0,91.1, , , , ,91.2, ,78.3, , ,86.8, , ,4,7
69,Clayton Kershaw,LAD,32.1,91.0, , , , ,90.9,87.4,73.3, , ,84.2, , ,4,7
70,Tyler Anderson,LAD,32.1,90.9, ,86.0, , ,88.5, ,73.5, , ,79.0, , ,4,7
71,Austin Gomber,COL,27.1,90.8, , , , , ,84.3, ,76.3, ,81.7, , ,4,7
72,Kyle Freeland,COL,29.0,90.5, , , , ,89.9,85.8,81.5, , ,84.5, , ,4,7
73,Cole Irvin,OAK,34.0,90.2, , , , ,90.2, ,76.9, , ,83.0, , ,4,7
74,Dylan Bundy,MIN,24.1,89.2, , , , ,90.3,79.6,71.9, , ,81.3, , ,4,7
75,Corey Kluber,TBR,32.0,89.0, ,86.5, , ,88.6, ,80.9, , ,83.0, , ,4,7
76,Adam Wainwright,STL,32.1,88.4, ,83.8, , ,89.0, ,72.9, , ,82.1, , ,4,7
77,Marco Gonzales,SEA,31.1,88.0, ,85.8, , , , ,76.3, , ,78.9, , ,4,7
78,Alex Cobb,SFG,36.0, , , ,89.8, ,95.0, , ,84.2, , , , ,4,7
79,Sean Manaea,SDP,25.0, , , , , ,91.1,82.2, , , ,86.1, , ,4,7
80,Corbin Burnes,MIL,31.1, , ,95.2, , ,96.3,89.2,81.9, , ,90.4, , ,4,7
