#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Triston McKenzie,CLE,38.2,12.2, , , , , ,6.1,-4.0, , , , , ,5,8
2,Nick Pivetta,BOS,28.2,11.9, , , , , ,2.2, ,-10.3, ,5.5, , ,5,8
3,Jose Urquidy,HOU,31.2,11.5, , , , , ,0.3,-8.2, , ,8.5, , ,5,8
4,Blake Snell,SDP,32.0,11.5, , , , , ,2.9,-4.8, , ,6.8, , ,5,8
5,Justin Verlander,HOU,28.0,11.3, , , , , ,3.1,-6.0, , ,5.7, , ,5,8
6,Kutter Crawford,BOS,29.2,11.2, ,4.3, , , ,0.1,-7.9, , ,6.4, , ,5,8
7,Dylan Cease,CHW,30.1,11.0, , , , , ,1.1, ,-9.5, ,8.2, , ,5,8
8,Luis Garcia,HOU,29.0,10.9, ,3.6, , ,8.2,-1.0,-6.5, , ,6.5, , ,5,8
9,Gerrit Cole,NYY,39.1,10.7, ,4.0, , , ,1.1, ,-6.7, ,5.2, , ,5,8
10,Tyler Anderson,LAD,37.1,10.7, ,5.5, , ,2.6, ,-7.8, , ,5.2, , ,5,8
11,Kevin Gausman,TOR,36.2,10.7, , ,3.8, , ,2.5, , , ,5.3, , ,5,8
12,Cristian Javier,HOU,32.0,10.6, , , , , ,1.1, ,-6.2, ,5.4, , ,5,8
13,Robbie Ray,SEA,33.0,10.6, , , , ,7.8,4.6, ,0.8, , , , ,5,8
14,Carlos Rodon,SFG,28.1,10.5, , , , , ,0.1,-6.6, , ,7.0, , ,5,8
15,Austin Voth,BAL,28.0,10.4, ,4.7, , , ,4.3,-5.8, , ,7.3, , ,5,8
16,Brady Singer,KCR,37.0,10.3, , , , ,5.6,0.5, , , ,6.6, , ,5,8
17,Cal Quantrill,CLE,38.0,10.3, ,4.6, , ,8.9, ,-1.5, , ,5.3, , ,5,8
18,Corbin Burnes,MIL,33.2,10.2, ,7.1, , ,7.8,0.9,-3.9, , ,4.7, , ,5,8
19,Mike Clevinger,SDP,32.0,10.2, ,2.1, , ,8.9,-0.9,-4.3, , ,6.8, , ,5,8
20,Shane Bieber,CLE,33.1,10.2, ,4.3, , , ,0.9, ,-6.0, ,3.4, , ,5,8
21,Lucas Giolito,CHW,31.2,10.2, , , , , ,0.5,-7.9, , ,6.0, , ,5,8
22,Drew Rasmussen,TBR,34.1,10.1, ,1.8, , ,9.9,-1.4,-9.1, , , , , ,5,8
23,Patrick Sandoval,LAA,32.1,10.1, , , , ,7.7,1.0,-6.8, , ,5.3, , ,5,8
24,Adam Oller,OAK,29.2,10.1, ,6.8, , , ,1.9,-3.2, , ,6.0, , ,5,8
25,Spenser Watkins,BAL,30.2,10.1, ,5.2, , , ,-1.7,-7.4, , ,5.4, , ,5,8
26,Tyler Alexander,DET,30.2,10.0, ,5.4, , ,7.1,0.1, , , ,4.9, , ,5,8
27,Jameson Taillon,NYY,31.2,10.0, ,7.3, , ,8.8,2.6,-4.8, , ,6.5, , ,5,8
28,Eric Lauer,MIL,30.0,9.9, ,5.9, , , ,-0.3,-4.1, , ,5.0, , ,5,8
29,Julio Urias,LAD,30.0,9.9, , , , ,9.4, ,-0.1, , ,4.2, , ,5,8
30,Anibal Sanchez,WSN,30.2,9.9, ,7.3, , ,8.2,2.6,-1.9, , ,5.1, , ,5,8
