#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
61,Joe Musgrove,SDP,34.0,8.1, ,5.5, , ,5.8,-0.5,-7.4, , ,2.3, , ,3,6
62,Luis Castillo,CIN,30.1,8.0, , , , ,3.6,0.1, , , ,1.9, , ,3,6
63,Adam Wainwright,STL,32.0,7.8, ,3.9, , ,7.2, ,-8.7, , ,4.0, , ,3,6
64,Kyle Freeland,COL,33.0,7.7, , , , ,3.8,2.8,-3.7, , ,3.3, , ,3,6
65,Rony Garcia,DET,25.1,7.6, , , , ,4.4, ,0.4, , ,5.4, , ,3,6
66,Pablo Lopez,MIA,28.2,7.6, ,3.5, , ,4.2, ,-5.1, , ,1.9, , ,3,6
67,Marco Gonzales,SEA,31.0,7.6, ,6.3, , , , ,-7.7, , ,3.1, , ,3,6
68,Chris Bassitt,NYM,30.2,7.5, ,5.2, , ,5.5,0.8,-8.2, , ,4.0, , ,3,6
69,German Marquez,COL,34.0,7.4, , , , ,5.1,2.6, ,0.4, ,3.9, , ,3,6
70,Jason Alexander,MIL,30.2,7.2, , , , ,1.1,0.4, , , ,2.5, , ,3,6
71,Jon Gray,TEX,37.2,7.2, , , , , ,3.1,-6.1, , ,5.3, , ,3,6
72,Justin Steele,CHC,29.2,7.1, , , , ,7.1,-1.5,-2.5, , ,6.6, , ,3,6
73,Kyle Wright,ATL,38.1,6.9, , , , ,2.8,4.5,-5.3, , ,0.3, , ,3,6
74,Antonio Senzatela,COL,28.1,6.8, , , , ,5.7,1.9,-3.5, , ,5.1, , ,3,6
75,Charlie Morton,ATL,30.2,6.7, ,2.6, , ,2.7, ,-5.3, , ,1.0, , ,3,6
76,Chad Kuhl,COL,29.1,6.5, , , , ,6.0,1.5, ,-6.5, ,4.1, , ,3,6
77,Max Fried,ATL,33.1,6.4, , , , ,5.6,0.3,-8.7, , ,2.0, , ,3,6
78,Ranger Suarez,PHI,31.0,6.1, ,4.6, , ,3.8,0.2,-4.0, , ,3.9, , ,3,6
79,Logan Webb,SFG,30.1,5.8, , , , ,-1.5,0.1, , , ,-2.9, , ,3,6
80,Andre Pallante,STL,30.1,5.4, , , , ,7.6,-0.4,-10.8, , , , , ,3,6
81,Dakota Hudson,STL,35.1,5.0, , , , ,4.0,3.9,-2.9, , ,5.2, , ,3,6
82,Framber Valdez,HOU,32.0,4.6, ,-2.6, , ,4.1, ,-9.4, , ,1.0, , ,3,6
83,Brady Singer,KCR,28.2,4.3, , , , ,6.4,0.3, , , ,7.4, , ,3,6
84,Zach Davies,ARI,31.2, , ,7.1, , ,7.4,-3.1,-8.1, , ,4.9, , ,3,6
85,Alex Wood,SFG,30.1, , , , , ,6.0,-1.6, , , ,-0.3, , ,3,6
86,Sean Manaea,SDP,29.0, , , , , ,7.2,2.1, , , ,4.5, , ,3,6
87,Corbin Burnes,MIL,28.2, , ,7.0, , ,7.5,-1.0,-3.3, , ,4.5, , ,3,6
88,Dane Dunning,TEX,33.2, , ,4.8, , ,2.7,-2.0, , , ,2.2, , ,3,6
89,Graham Ashcraft,CIN,33.0, , ,5.8, , ,3.6,-0.6, , , ,3.4, , ,3,6
