#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
61,Carlos Carrasco,NYM,30.0,7.8, , , , ,4.0,1.3,-2.4, , ,1.7, , ,4,7
62,Sandy Alcantara,MIA,34.0,7.8, , , , ,4.8,1.7,-1.4, , ,2.6, , ,4,7
63,Kyle Freeland,COL,29.0,7.6, , , , ,4.0,2.7,-3.9, , ,4.7, , ,4,7
64,Jon Gray,TEX,30.1,7.6, , , , , ,3.2,-6.5, , ,5.3, , ,4,7
65,Pablo Lopez,MIA,31.0,7.6, ,3.7, , ,3.3, ,-5.4, , ,1.9, , ,4,7
66,German Marquez,COL,31.2,7.6, , , , ,5.2,2.8, ,0.1, ,4.4, , ,4,7
67,Luis Castillo,CIN,28.0,7.5, , , , ,3.2,0.3, , , ,1.6, , ,4,7
68,Chris Bassitt,NYM,25.1,7.5, ,4.7, , ,5.3,0.8,-8.0, , ,3.8, , ,4,7
69,Max Fried,ATL,38.0,7.4, , , , ,6.1,1.3,-9.2, , ,3.0, , ,4,7
70,Lance Lynn,CHW,31.2,7.2, ,3.1, , ,4.1,2.2,-0.6, , ,3.0, , ,4,7
71,Charlie Morton,ATL,30.0,7.2, ,3.2, , ,2.9, ,-5.9, , ,0.8, , ,4,7
72,Kyle Wright,ATL,30.2,7.1, , , , ,3.0,4.9,-4.7, , ,0.6, , ,4,7
73,Jose Urena,COL,27.0,6.4, , , , ,4.2,3.8, , , ,5.2, , ,4,7
74,Brady Singer,KCR,30.2,5.6, , , , ,6.0,0.3, , , ,6.8, , ,4,7
75,Framber Valdez,HOU,33.2,5.4, ,-1.6, , ,4.3, ,-9.2, , ,2.1, , ,4,7
76,Logan Webb,SFG,38.1,5.3, , , , ,-1.7,0.2, , , ,-3.4, , ,4,7
77,Andre Pallante,STL,26.1,5.3, , , , ,8.0,0.2,-9.6, , ,4.1, , ,4,7
78,Alex Cobb,SFG,36.0, , , ,1.5, ,5.3, , ,-6.9, , , , ,4,7
79,Sean Manaea,SDP,25.0, , , , , ,6.8,1.8, , , ,2.9, , ,4,7
80,Corbin Burnes,MIL,31.1, , ,6.4, , ,6.8,1.0,-3.5, , ,4.0, , ,4,7
