#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Nick Pivetta,BOS,38.1,12.4, , , , , ,4.3, ,-11.1, ,5.5, , ,2,5
2,Triston McKenzie,CLE,34.0,12.2, , , , , ,6.8,-4.2, , , , , ,2,5
3,Tyler Wells,BAL,30.2,11.7, , , , , ,4.1,-1.7, , ,8.1, , ,2,5
4,Nestor Cortes,NYY,32.1,11.5, ,4.6, , ,9.3,2.6, , , ,4.4, , ,2,5
5,Dylan Cease,CHW,31.2,11.4, , , , ,11.3,0.3, ,-10.4, ,9.1, , ,2,5
6,Tyler Anderson,LAD,32.0,11.3, ,6.1, , ,4.3, ,-6.0, , ,6.2, , ,2,5
7,Zach Plesac,CLE,28.0,11.3, , , , , ,3.9,-5.5, , ,7.4, , ,2,5
8,Justin Verlander,HOU,31.2,11.3, , , , , ,3.5,-6.0, , ,8.6, , ,2,5
9,Gerrit Cole,NYY,33.2,11.2, ,5.2, , , ,0.7, ,-7.6, ,6.2, , ,2,5
10,Zac Gallen,ARI,35.1,11.1, ,4.1, , ,8.7,0.6, ,-6.5, ,2.3, , ,2,5
11,Jameson Taillon,NYY,31.1,11.0, ,7.1, , ,8.8,2.2,-5.8, , ,6.9, , ,2,5
12,Carlos Rodon,SFG,27.0,11.0, , , , , ,-0.5,-7.5, , , , , ,2,5
13,Lucas Giolito,CHW,28.1,10.8, , , , , ,0.9,-6.9, , ,6.9, , ,2,5
14,Yusei Kikuchi,TOR,26.2,10.7, ,10.9, , , ,3.4, , , ,5.2, , ,2,5
15,Cal Quantrill,CLE,31.2,10.7, ,3.7, , ,8.8, ,-0.8, , ,4.3, , ,2,5
16,Robbie Ray,SEA,30.1,10.7, , , , , ,4.5, ,1.1, , , , ,2,5
17,Luis Severino,NYY,29.0,10.5, ,1.8, , , ,-1.7, , , ,5.5, , ,2,5
18,Tyler Mahle,CIN,31.1,10.4, ,5.8,5.4, , ,0.9, , , , , , ,2,5
19,Kevin Gausman,TOR,36.1,10.4, , ,3.3, , ,1.7, , , ,3.6, , ,2,5
20,Shane McClanahan,TBR,31.1,10.4, , , , , ,1.9,-7.0, , ,6.5, , ,2,5
21,Logan Gilbert,SEA,36.2,10.3, , , , , ,3.4, ,-5.8, ,4.2, , ,2,5
22,Shane Bieber,CLE,24.1,10.3, ,5.1, , , ,2.2, ,-6.6, ,4.7, , ,2,5
23,Alek Manoah,TOR,31.0,10.2, , , , ,6.5,0.5, , , ,5.2, , ,2,5
24,Ian Anderson,ATL,28.1,10.2, , , , , , ,-1.7, , ,6.4, , ,2,5
25,Josiah Gray,WSN,31.1,10.2, , , , ,7.9,2.8,-3.3, , ,5.6, , ,2,5
26,Julio Urias,LAD,35.0,10.0, , , , ,9.0, ,-0.2, , ,4.4, , ,2,5
27,Jordan Lyles,BAL,37.0,10.0, , , , ,7.5,-0.5,-7.6, , ,4.5, , ,2,5
28,Frankie Montas,OAK,35.0,10.0, ,3.9,2.0, ,7.3,1.7, , , , , , ,2,5
29,Walker Buehler,LAD,34.0,9.8, ,5.4, , ,7.9,1.4, ,-7.9, ,2.7, , ,2,5
30,Patrick Sandoval,LAA,28.1,9.6, , , , ,7.1,0.8,-5.5, , ,5.4, , ,2,5
