#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
31,Alek Manoah,TOR,38.2,9.7, , , , ,6.2,0.4, , , ,5.3, , ,3,6
32,Jordan Lyles,BAL,28.2,9.6, , , , ,7.4,-1.3,-8.1, , ,4.4, , ,3,6
33,Shane Bieber,CLE,37.1,9.6, ,4.7, , , ,0.8, ,-6.3, ,3.2, , ,3,6
34,Dean Kremer,BAL,28.0,9.6, ,3.9, , , , ,-7.7, , ,0.3, , ,3,6
35,Yu Darvish,SDP,35.2,9.5, ,0.3,2.4, ,5.8,-0.7,-8.7,-6.9, , , , ,3,6
36,Paul Blackburn,OAK,26.1,9.5, ,2.9, , ,6.0,-4.7,-9.6, , ,4.6, , ,3,6
37,Frankie Montas,OAK,31.0,9.4, ,3.9,1.9, ,6.2,2.1, , , , , , ,3,6
38,Adrian Houser,MIL,30.0,9.4, , , , ,5.6,0.8,-7.1, , ,4.6, , ,3,6
39,Zack Wheeler,PHI,29.2,9.3, , , , ,7.0,3.7,-6.4, , ,6.1, , ,3,6
40,Ian Anderson,ATL,28.2,9.3, , , , , , ,-1.7, , ,5.4, , ,3,6
41,Tarik Skubal,DET,32.1,9.2, , , , ,6.4,6.0, ,-4.0, ,3.9, , ,3,6
42,Julio Urias,LAD,28.2,9.2, , , , ,7.4, ,-0.8, , ,4.0, , ,3,6
43,Cole Irvin,OAK,35.1,9.2, ,5.0, , ,6.9, ,-2.7, , ,4.4, , ,3,6
44,Jordan Montgomery,NYY,32.0,9.2, ,5.4, , ,6.2, ,-2.2, , ,7.7, , ,3,6
45,Hunter Greene,CIN,29.2,9.1, , , , , ,2.2, , , ,7.5, , ,3,6
46,JT Brubaker,PIT,34.1,9.0, , , , ,5.8,1.9,-4.6, , ,3.6, , ,3,6
47,Merrill Kelly,ARI,30.0,9.0, ,7.7, , ,4.6, ,-5.6, , ,1.5, , ,3,6
48,Kyle Hendricks,CHC,27.2,8.9, , , , ,5.0, ,-8.3, , ,6.6, , ,3,6
49,Madison Bumgarner,ARI,31.0,8.9, ,4.9, , , , ,-0.5, , ,4.6, , ,3,6
50,Miles Mikolas,STL,34.0,8.8, , , , ,7.6,2.9,-8.7, , ,5.3, , ,3,6
51,Johnny Cueto,CHW,35.1,8.8, ,5.7, , ,6.0,3.6, , , ,2.6, , ,3,6
52,Patrick Corbin,WSN,27.1,8.8, , , , ,7.4,1.2, , , ,5.9, , ,3,6
53,Corey Kluber,TBR,28.1,8.7, ,4.9, , ,4.7, ,0.6, , ,3.7, , ,3,6
54,Aaron Nola,PHI,43.0,8.7, ,4.0, , ,5.5, , ,-6.5, ,1.8, , ,3,6
55,Jose Quintana,PIT,30.0,8.6, , , , ,7.7, ,-3.3, , ,3.8, , ,3,6
56,Martin Perez,TEX,30.0,8.5, ,6.8, , ,5.8, ,-2.5, , ,5.0, , ,3,6
57,Carlos Carrasco,NYM,29.2,8.5, , , , ,5.1,1.8,-2.4, , ,0.9, , ,3,6
58,Sandy Alcantara,MIA,47.2,8.4, , , , ,4.7,2.0,-1.0, , ,2.5, , ,3,6
59,Shohei Ohtani,LAA,29.2,8.3, ,3.2,2.1, , ,3.2,-7.6, , , , , ,3,6
60,Jose Berrios,TOR,28.2,8.2, , , , ,6.0, ,-2.5, , ,2.5, , ,3,6
