#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
61,German Marquez,COL,31.0,8.3, , , , ,6.1,3.4, ,-0.8, ,4.4, , ,5,8
62,Marco Gonzales,SEA,33.2,8.2, ,5.5, , , , ,-8.1, , ,3.9, , ,5,8
63,Sandy Alcantara,MIA,36.1,8.2, , , , ,5.1,2.6,-2.6, , ,2.9, , ,5,8
64,Joe Musgrove,SDP,34.0,8.2, ,6.0, , ,5.8,0.0,-7.5, , ,3.0, , ,5,8
65,Marcus Stroman,CHC,34.0,8.2, ,2.2,0.9, ,1.7,0.6,-1.4, , , , , ,5,8
66,Luis Castillo,SEA,31.2,8.1, , , , ,3.5,0.7, , , ,1.6, , ,5,8
67,Joe Ryan,MIN,32.2,8.1, , , , , ,2.4,-5.6, , ,4.8, , ,5,8
68,Mike Minor,CIN,33.0,7.7, , , , ,7.0,3.1, ,-6.4, ,5.6, , ,5,8
69,Corey Kluber,TBR,29.2,7.6, ,5.0, , ,4.9, ,0.7, , ,3.8, , ,5,8
70,Jose Urena,COL,29.0,7.4, , , , ,4.4,3.3, , , ,5.4, , ,5,8
71,Martin Perez,TEX,34.0,7.4, ,7.3, , ,6.3,4.2,-3.0, , ,5.5, , ,5,8
72,Lance Lynn,CHW,36.2,7.3, ,3.0, , ,4.0,-0.1,-1.0, , ,4.0, , ,5,8
73,Ryan Feltner,COL,30.0,7.3, , , , ,3.3,0.6,-5.8, , ,3.3, , ,5,8
74,Chris Bassitt,NYM,33.1,7.3, ,4.9, , ,5.3,0.7,-7.8, , ,4.1, , ,5,8
75,Charlie Morton,ATL,30.1,7.3, ,3.3, , ,2.7, ,-5.4, , ,0.6, , ,5,8
76,Kyle Wright,ATL,32.0,6.7, , , , ,3.0,4.8,-4.5, , ,0.4, , ,5,8
77,Nick Lodolo,CIN,28.2,5.9, , , , ,2.9, ,0.6, , ,1.2, , ,5,8
78,Framber Valdez,HOU,35.1,5.0, ,-2.6, , ,4.8, ,-8.9, , ,2.1, , ,5,8
79,Logan Webb,SFG,35.0,4.8, , , , ,-1.5,0.6, , , ,-3.3, , ,5,8
80,Alex Cobb,SFG,29.0, , , ,1.2, ,4.9, , ,-6.8, , , , ,5,8
81,Drew Smyly,CHC,30.0, , ,7.7, , ,10.1, , ,-0.2, , , , ,5,8
82,Zach Davies,ARI,28.1, , ,6.5, , ,7.2,-2.5,-7.5, , ,4.8, , ,5,8
83,Alex Wood,SFG,30.0, , , , , ,5.2,-2.0, , , ,-0.3, , ,5,8
