#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Triston McKenzie,CLE,38.2,12.7, , , , , ,6.2,-4.1, , , , , ,6,9
2,Nick Pivetta,BOS,32.1,12.3, , , , , ,1.7, ,-10.8, ,3.8, , ,6,9
3,Michael Wacha,BOS,32.1,11.8, ,7.4, , ,10.6, ,-5.7, , ,7.7, , ,6,9
4,Ross Stripling,TOR,33.1,11.5, , , , ,9.3,4.9, ,-6.0, ,6.8, , ,6,9
5,Blake Snell,SDP,35.0,11.4, , , , , ,3.7,-4.0, , ,6.1, , ,6,9
6,Clayton Kershaw,LAD,41.0,11.2, , , , , ,4.5,-8.7, , , , , ,6,9
7,Jon Heasley,KCR,33.1,11.2, , , , ,11.8,2.3,-9.1, , ,6.7, , ,6,9
8,Rich Hill,BOS,34.2,11.1, ,4.8, , , ,0.0,-8.7, , ,2.6, , ,6,9
9,Cal Quantrill,CLE,37.1,11.0, ,4.8, , ,9.2, ,-0.5, , ,5.1, , ,6,9
10,Dylan Cease,CHW,37.0,11.0, , , , , ,1.8, ,-8.3, ,10.0, , ,6,9
11,Lucas Giolito,CHW,33.2,10.8, , , , , ,2.0,-6.5, , ,6.4, , ,6,9
12,Robbie Ray,SEA,33.1,10.8, , , , ,7.8,5.9, ,0.7, ,8.4, , ,6,9
13,Taijuan Walker,NYM,34.2,10.7, ,8.0,1.5, ,8.0,3.1,-6.7, , , , , ,6,9
14,Logan Gilbert,SEA,36.0,10.7, , , , ,7.1,1.6, ,-3.8, ,6.9, , ,6,9
15,Gerrit Cole,NYY,36.0,10.7, ,2.9, , , ,1.0, ,-7.0, ,6.0, , ,6,9
16,Jeffrey Springs,TBR,34.1,10.6, , , , ,9.9,3.7, , , ,5.2, , ,6,9
17,Tyler Alexander,DET,33.0,10.5, ,5.8, , ,7.7,0.3, , , ,5.2, , ,6,9
18,Kevin Gausman,TOR,34.1,10.5, , ,2.9, , ,3.2, , , ,3.3, , ,6,9
19,Alex Cobb,SFG,38.2,10.3, , ,1.2, ,5.1, , ,-7.5, , , , ,6,9
20,Zac Gallen,ARI,38.1,10.2, ,4.9, , , , , ,-6.7, ,2.5, , ,6,9
21,Shane Bieber,CLE,48.0,10.2, ,5.4, , , ,2.1, ,-5.9, ,4.2, , ,6,9
22,Brandon Woodruff,MIL,44.2,10.1, , , , ,8.1,2.6,-2.5, , ,5.4, , ,6,9
23,Jameson Taillon,NYY,36.2,9.9, ,7.0, , ,8.3,2.9,-4.6, , ,6.4, , ,6,9
24,Julio Urias,LAD,35.1,9.8, , , , ,8.7, ,-0.1, , ,4.1, , ,6,9
25,Alek Manoah,TOR,41.0,9.7, , , , ,6.2,0.3, , , ,6.1, , ,6,9
26,Dean Kremer,BAL,42.0,9.6, ,6.1, , ,7.1, ,-8.6, , ,1.5, , ,6,9
27,Yu Darvish,SDP,39.0,9.6, ,1.0,4.0, ,7.3,-0.3,-7.9, , , , , ,6,9
28,Miles Mikolas,STL,34.0,9.4, , , , ,7.6,2.4,-8.9, , ,5.9, , ,6,9
29,Mitch Keller,PIT,35.0,9.3, , , , ,6.6,-1.2,-8.5, , ,3.9, , ,6,9
30,Martin Perez,TEX,37.1,9.2, ,7.8, , ,6.4,3.3,-2.5, , ,5.8, , ,6,9
