#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
61,Merrill Kelly,ARI,2,3,0,7,7,42.2,8.86,2.74,2.32,.243,78.0%,36.8%,22.4%,92.4,4.85, ,5.41,3.76,-0.1,6,9
62,Marco Gonzales,SEA,0,3,0,6,6,36.1,5.70,1.49,2.23,.232,70.4%,37.2%,16.1%,89.3,4.71, ,5.56,4.62,-0.2,6,9
63,Charlie Morton,ATL,3,1,0,6,6,31.2,10.52,3.69,2.27,.304,78.8%,41.4%,22.9%,94.6,5.40, ,5.58,3.93,-0.2,6,9
64,Cole Irvin,OAK,2,2,0,6,6,33.1,6.48,2.43,1.89,.346,62.8%,34.5%,14.3%,90.7,6.75, ,5.48,4.93,-0.2,6,9
65,Nick Pivetta,BOS,1,2,0,7,7,32.1,8.91,5.29,1.95,.315,79.2%,41.7%,18.9%,93.9,5.29, ,5.71,4.59,-0.3,6,9
