#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Taijuan Walker,NYM,2,2,0,6,6,34.2,10.13,1.82,1.30,.297,75.0%,45.8%,13.9%,93.7,3.63, ,3.34,3.01,0.7,6,2022-09-01
32,Marcus Stroman,CHC,3,1,0,6,6,37.0,8.27,1.70,0.97,.253,89.8%,53.9%,12.9%,92.7,2.19, ,3.49,3.33,0.7,6,2022-09-01
33,Lucas Giolito,CHW,1,1,0,6,6,33.2,9.36,3.48,0.53,.284,74.6%,38.9%,7.1%,91.7,3.48, ,3.23,3.69,0.7,6,2022-09-01
34,Brady Singer,KCR,3,1,0,5,5,31.2,7.39,1.42,0.85,.300,79.9%,56.0%,13.0%, ,2.84, ,3.46,3.30,0.7,6,2022-09-01
35,Kevin Gausman,TOR,2,1,0,6,6,34.1,10.75,1.31,1.57,.330,76.7%,39.6%,16.7%,95.3,4.19, ,3.43,2.71,0.7,6,2022-09-01
36,Jameson Taillon,NYY,2,1,0,6,6,36.2,8.35,1.96,0.98,.291,74.9%,34.6%,8.5%,94.0,3.68, ,3.41,3.89,0.7,6,2022-09-01
37,Lance McCullers Jr.,HOU,3,1,0,5,5,31.2,10.52,3.41,0.85,.276,84.9%,49.4%,12.0%,93.3,2.56, ,3.14,3.08,0.7,6,2022-09-01
38,Jesus Luzardo,MIA,1,1,0,6,6,35.0,12.09,2.57,1.29,.280,83.9%,33.8%,17.9%,96.2,3.09, ,3.31,2.64,0.6,6,2022-09-01
39,Kyle Bradish,BAL,2,2,0,7,7,37.2,7.65,4.06,0.48,.219,64.7%,50.5%,6.1%, ,3.35, ,3.54,4.14,0.6,6,2022-09-01
40,Rich Hill,BOS,2,2,0,7,7,34.2,9.09,3.12,1.04,.343,68.3%,37.0%,8.7%,88.9,4.15, ,3.72,4.18,0.6,6,2022-09-01
41,Adrian Sampson,CHC,3,1,0,7,7,38.2,5.35,2.33,0.70,.243,89.7%,42.1%,6.7%,92.0,1.63, ,3.79,4.50,0.6,6,2022-09-01
42,Mitch Keller,PIT,1,2,0,6,6,35.0,7.97,3.60,0.51,.272,88.0%,47.3%,8.3%,95.5,2.06, ,3.71,3.99,0.5,6,2022-09-01
43,Miles Mikolas,STL,2,3,0,6,5,34.0,7.68,2.38,1.06,.233,84.5%,44.7%,11.4%,93.5,2.38, ,3.73,3.73,0.5,6,2022-09-01
44,Luis Cessa,CIN,1,2,0,7,7,37.0,6.57,2.92,1.22,.229,74.3%,42.2%,11.1%,93.1,3.65, ,4.46,4.51,0.4,6,2022-09-01
45,Jordan Montgomery,STL,2,3,0,6,6,33.0,9.00,2.45,1.36,.319,70.3%,45.9%,16.1%,93.5,4.36, ,3.90,3.32,0.4,6,2022-09-01
46,Julio Urias,LAD,3,0,0,6,6,35.1,7.39,2.55,1.53,.200,100.0%,42.0%,13.3%,92.5,1.53, ,4.53,4.21,0.3,6,2022-09-01
47,Dean Kremer,BAL,2,3,0,7,6,42.0,5.36,3.43,0.86,.271,77.4%,42.7%,8.2%,93.9,3.21, ,4.37,4.86,0.3,6,2022-09-01
48,Joe Musgrove,SDP,1,1,0,6,6,31.2,9.95,3.13,1.71,.293,95.4%,37.9%,15.8%,93.0,2.56, ,4.60,3.91,0.3,6,2022-09-01
49,Ken Waldichuk,OAK,2,2,0,7,7,34.2,8.57,2.60,1.30,.287,69.2%,35.4%,11.6%,94.1,4.93, ,4.30,4.26,0.3,6,2022-09-01
50,Chris Bassitt,NYM,4,2,0,6,6,33.1,7.56,3.24,1.08,.270,76.9%,46.2%,11.8%,93.5,3.78, ,4.25,4.20,0.3,6,2022-09-01
51,Ranger Suarez,PHI,2,2,0,6,6,31.2,6.54,3.13,1.42,.276,75.0%,52.4%,15.6%,93.0,4.55, ,4.76,4.20,0.1,6,2022-09-01
52,Glenn Otto,TEX,1,2,0,7,7,36.0,8.25,2.00,2.00,.263,79.3%,35.8%,18.2%,92.4,4.25, ,5.00,3.92,0.1,6,2022-09-01
53,Gerrit Cole,NYY,3,1,0,6,6,36.0,13.25,2.50,2.50,.250,78.3%,34.6%,28.6%,97.9,4.50, ,4.61,2.44,0.1,6,2022-09-01
54,German Marquez,COL,2,3,0,6,6,35.0,7.71,3.34,1.80,.258,69.9%,48.1%,16.7%,95.3,5.14, ,5.28,4.46,0.1,6,2022-09-01
55,Jon Heasley,KCR,2,3,0,6,6,33.1,4.05,3.24,1.08,.270,63.7%,40.9%,7.7%,92.4,5.40, ,5.03,5.78,0.1,6,2022-09-01
56,Michael Wacha,BOS,1,1,0,6,6,32.1,7.79,1.39,2.23,.337,74.7%,40.8%,17.4%,92.8,5.57, ,5.15,4.04,0.0,6,2022-09-01
57,Bryse Wilson,PIT,1,1,0,6,4,33.1,6.48,2.70,1.35,.250,75.0%,41.0%,12.5%,92.3,4.05, ,4.88,4.71,0.0,6,2022-09-01
58,Eduardo Rodriguez,DET,2,2,0,7,7,41.0,6.80,2.41,1.76,.274,75.3%,49.2%,17.8%,91.8,4.61, ,5.09,4.18,0.0,6,2022-09-01
59,Tyler Alexander,DET,1,3,0,6,6,33.0,6.55,2.45,1.91,.276,73.1%,32.4%,14.3%,90.2,4.91, ,5.33,4.77,-0.1,6,2022-09-01
60,Robbie Ray,SEA,1,4,0,6,6,33.1,8.64,2.43,2.16,.326,85.1%,33.0%,16.0%,93.4,4.32, ,5.30,4.40,-0.1,6,2022-09-01
