#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Zac Gallen,ARI,5,0,0,6,6,40.0,9.90,2.25,0.00,.230,90.3%,57.1%,0.0%,93.8,0.68, ,1.74,2.66,1.7,5,2022-08-01
2,Jacob deGrom,NYM,4,1,0,6,6,36.1,13.62,0.74,0.74,.209,75.9%,38.6%,10.0%,99.3,1.98, ,1.41,1.56,1.6,5,2022-08-01
3,Justin Verlander,HOU,2,0,0,5,5,28.0,10.29,1.29,0.00,.261,72.7%,44.9%,0.0%,95.2,1.93, ,1.26,2.74,1.4,5,2022-08-01
4,George Kirby,SEA,4,0,0,5,5,29.1,10.43,0.92,0.00,.370,80.0%,46.8%,0.0%,95.4,2.15, ,1.31,2.97,1.4,5,2022-08-01
5,Max Scherzer,NYM,3,2,0,6,6,40.2,9.74,1.55,0.44,.290,75.2%,32.1%,3.4%,93.9,2.66, ,2.40,3.91,1.4,5,2022-08-01
6,Shane Bieber,CLE,3,1,0,5,5,33.1,9.45,1.08,0.27,.284,76.9%,58.0%,4.5%,92.1,1.62, ,1.76,2.35,1.3,5,2022-08-01
7,Kevin Gausman,TOR,3,1,0,6,6,36.2,10.31,0.98,0.74,.330,80.5%,36.1%,7.7%,94.6,2.70, ,2.29,2.81,1.3,5,2022-08-01
8,Aaron Nola,PHI,2,3,0,5,5,32.0,10.69,1.13,0.56,.341,65.3%,42.0%,7.7%,93.0,4.22, ,2.11,2.50,1.2,5,2022-08-01
9,Blake Snell,SDP,3,2,0,6,6,32.0,12.94,1.97,0.84,.359,80.5%,32.5%,9.4%,95.7,2.81, ,2.21,2.47,1.2,5,2022-08-01
10,Jesus Luzardo,MIA,1,3,0,6,6,36.1,7.93,2.23,0.25,.240,61.3%,46.0%,2.9%,95.6,2.97, ,2.45,3.52,1.1,5,2022-08-01
11,Drew Rasmussen,TBR,3,1,0,6,6,34.1,8.65,1.05,0.52,.198,84.2%,47.1%,5.9%,95.9,1.57, ,2.30,3.01,1.1,5,2022-08-01
12,Adam Wainwright,STL,2,1,0,6,6,39.2,7.03,2.04,0.23,.271,77.5%,43.7%,2.2%,87.9,2.50, ,2.71,4.10,1.1,5,2022-08-01
13,Jeffrey Springs,TBR,3,1,0,5,5,27.2,10.73,2.28,0.33,.310,66.4%,51.4%,5.0%,91.7,2.93, ,1.96,2.56,1.0,5,2022-08-01
14,Jordan Montgomery,STL,4,0,0,5,5,30.2,8.22,1.17,0.29,.250,81.3%,54.3%,4.5%,93.0,1.76, ,2.20,2.84,1.0,5,2022-08-01
15,Julio Urias,LAD,4,1,0,5,5,30.0,10.20,2.10,0.60,.236,99.2%,39.7%,6.5%,93.8,0.90, ,2.51,3.18,1.0,5,2022-08-01
16,Dean Kremer,BAL,3,1,0,5,5,32.0,5.91,1.13,0.28,.275,76.9%,49.5%,3.6%,93.8,2.25, ,2.58,3.47,1.0,5,2022-08-01
17,Sandy Alcantara,MIA,3,2,0,5,5,36.1,7.18,1.73,0.50,.299,78.5%,49.5%,5.6%,98.3,2.72, ,2.81,3.56,1.0,5,2022-08-01
18,Chris Bassitt,NYM,4,0,0,5,5,33.1,5.94,1.35,0.00,.308,83.3%,56.2%,0.0%,93.6,1.62, ,2.60,3.80,0.9,5,2022-08-01
19,Triston McKenzie,CLE,2,4,0,6,6,38.2,10.01,2.09,1.16,.250,75.9%,31.2%,11.4%,92.5,3.03, ,3.27,3.27,0.9,5,2022-08-01
20,Drew Smyly,CHC,2,1,0,5,5,30.0,7.50,1.80,0.30,.253,94.4%,25.0%,2.3%, ,0.90, ,2.68,4.37,0.9,5,2022-08-01
21,Kyle Gibson,PHI,3,1,0,5,5,31.1,8.62,2.01,0.57,.299,76.0%,47.2%,7.7%,92.3,2.30, ,2.89,3.29,0.9,5,2022-08-01
22,Robbie Ray,SEA,3,0,0,5,5,33.0,11.18,3.00,0.82,.232,93.0%,42.3%,11.1%,93.7,1.64, ,2.81,2.84,0.8,5,2022-08-01
23,Patrick Sandoval,LAA,2,2,0,5,5,32.1,8.35,3.06,0.56,.228,79.5%,51.9%,8.3%,93.0,1.39, ,3.27,3.56,0.8,5,2022-08-01
24,Johnny Cueto,CHW,2,2,0,5,5,35.2,4.29,1.26,0.50,.294,70.4%,41.2%,4.5%,91.4,3.28, ,3.48,4.58,0.8,5,2022-08-01
25,Tyler Anderson,LAD,2,2,0,6,6,37.1,5.54,2.65,0.48,.254,74.6%,42.6%,4.2%,90.5,2.89, ,3.54,4.75,0.8,5,2022-08-01
26,Luis Castillo,SEA,1,1,0,5,5,31.2,11.08,2.27,0.85,.311,81.8%,42.1%,13.0%,97.1,2.84, ,2.83,2.67,0.8,5,2022-08-01
27,Domingo German,NYY,2,1,0,6,6,34.2,5.71,1.56,0.52,.245,81.3%,39.4%,5.3%,92.9,2.08, ,3.37,4.25,0.8,5,2022-08-01
28,Cal Quantrill,CLE,4,0,0,6,6,38.0,6.39,1.89,0.71,.175,81.4%,41.9%,7.0%,94.3,2.13, ,3.43,4.08,0.8,5,2022-08-01
29,Gerrit Cole,NYY,1,4,0,6,6,39.1,9.61,1.83,1.14,.258,75.0%,44.6%,11.6%,97.4,3.20, ,3.32,3.28,0.7,5,2022-08-01
30,Noah Syndergaard,PHI,3,1,0,5,5,30.2,5.28,1.47,0.59,.340,68.9%,35.3%,5.6%,94.3,4.40, ,3.28,4.17,0.7,5,2022-08-01
