#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Carlos Rodon,SFG,3,1,0,5,5,28.1,10.48,1.91,0.95,.268,76.6%,28.8%,8.1%,94.8,3.18, ,2.90,3.46,0.7,5,8
32,Logan Webb,SFG,2,4,0,6,6,35.0,7.46,3.34,0.26,.311,60.9%,63.5%,5.9%,91.4,2.83, ,3.11,3.46,0.7,5,8
33,Alex Cobb,SFG,1,1,0,5,5,29.0,9.31,3.10,0.62,.342,80.1%,59.0%,11.8%,95.0,3.10, ,2.98,2.95,0.7,5,8
34,Merrill Kelly,ARI,1,0,0,5,5,32.1,8.63,2.78,0.84,.286,76.9%,45.3%,10.7%,92.3,3.34, ,3.42,3.50,0.7,5,8
35,Lance Lynn,CHW,3,1,0,6,6,36.2,10.31,0.74,1.47,.250,89.8%,45.2%,16.7%,93.5,2.45, ,3.44,2.77,0.7,5,8
36,Brady Singer,KCR,3,1,0,6,6,37.0,8.03,2.19,0.97,.301,84.5%,47.6%,13.3%,92.2,2.92, ,3.71,3.50,0.7,5,8
37,Framber Valdez,HOU,5,0,0,5,5,35.1,8.41,2.80,0.76,.264,89.4%,67.7%,14.3%,94.0,2.04, ,3.45,3.23,0.6,5,8
38,Cristian Javier,HOU,2,3,0,6,5,32.0,10.13,2.53,1.41,.200,90.9%,25.0%,10.9%,94.1,2.53, ,3.74,3.84,0.6,5,8
39,Jordan Lyles,BAL,3,1,0,6,6,34.0,6.88,2.12,1.06,.349,83.3%,40.7%,7.5%,91.7,3.18, ,3.82,4.60,0.6,5,8
40,Edward Cabrera,MIA,2,1,0,5,5,28.1,10.48,4.13,0.64,.183,87.3%,48.3%,8.7%,95.8,1.91, ,3.29,3.57,0.6,5,8
41,Charlie Morton,ATL,1,0,0,5,5,30.1,12.46,2.37,1.48,.266,84.6%,42.0%,18.5%,94.6,3.26, ,3.57,2.75,0.5,5,8
42,Joe Musgrove,SDP,1,2,0,6,6,34.0,9.26,1.06,1.32,.330,69.2%,47.0%,12.5%,92.8,4.24, ,3.76,3.59,0.5,5,8
43,Matt Manning,DET,1,2,0,6,6,32.1,7.79,2.78,1.11,.309,75.5%,32.7%,8.9%,93.7,4.18, ,3.92,4.37,0.5,5,8
44,Jose Quintana,STL,1,1,0,6,6,29.1,6.14,3.68,0.31,.344,68.8%,51.6%,4.5%,91.7,3.38, ,3.42,4.09,0.5,5,8
45,Luis Garcia,HOU,3,2,0,5,5,29.0,7.76,2.79,0.93,.364,67.8%,29.7%,7.5%,93.9,5.28, ,3.66,4.36,0.5,5,8
46,Lucas Giolito,CHW,4,2,0,6,6,31.2,9.66,3.41,1.14,.371,66.8%,47.3%,14.8%,92.9,5.68, ,3.74,3.37,0.5,5,8
47,Alek Manoah,TOR,1,2,0,5,5,29.2,10.01,3.94,0.61,.267,74.6%,35.1%,7.4%,93.8,3.34, ,3.48,3.96,0.5,5,8
48,Joe Ryan,MIN,3,3,0,6,6,32.2,11.30,2.76,1.38,.309,75.7%,20.0%,11.6%,92.2,4.13, ,3.88,3.84,0.5,5,8
49,German Marquez,COL,1,1,0,5,5,31.0,7.26,2.90,1.16,.276,77.2%,42.2%,14.3%,96.6,3.77, ,4.15,3.81,0.4,5,8
50,Kyle Wright,ATL,4,1,0,5,5,32.0,8.44,1.97,1.41,.253,92.3%,59.1%,21.7%,94.5,2.53, ,3.93,2.96,0.4,5,8
51,Yu Darvish,SDP,2,3,0,5,5,33.1,8.91,1.35,1.62,.270,76.1%,44.7%,18.8%,95.1,4.05, ,4.01,3.09,0.4,5,8
52,Spenser Watkins,BAL,1,4,0,6,5,30.2,6.16,1.17,1.17,.276,65.8%,44.0%,10.5%,91.6,4.70, ,3.93,4.07,0.4,5,8
53,Austin Voth,BAL,3,1,0,5,5,28.0,6.43,2.89,0.96,.200,84.0%,31.7%,7.1%,93.6,2.57, ,4.04,4.87,0.4,5,8
54,Freddy Peralta,MIL,1,1,0,6,6,29.2,6.98,3.03,1.21,.132,87.0%,35.4%,9.1%,92.5,2.43, ,4.33,4.77,0.4,5,8
55,Nick Pivetta,BOS,1,2,0,5,5,28.2,9.10,3.14,1.26,.295,77.2%,48.8%,11.8%,93.9,4.08, ,4.05,4.00,0.4,5,8
56,Nick Lodolo,CIN,0,2,0,5,5,28.2,8.79,4.08,0.94,.292,74.7%,40.0%,10.0%,94.8,4.40, ,4.51,4.70,0.3,5,8
57,Corbin Burnes,MIL,1,2,0,6,6,33.2,9.36,3.21,1.34,.264,62.2%,50.0%,17.2%,95.5,4.81, ,4.39,3.74,0.3,5,8
58,Mike Minor,CIN,2,3,0,6,6,33.0,6.00,2.45,1.36,.312,69.8%,41.6%,11.1%,90.6,5.45, ,4.75,4.80,0.3,5,8
59,Kyle Bradish,BAL,1,1,0,5,5,28.2,8.16,3.45,0.94,.282,83.3%,47.5%,11.1%, ,3.14, ,4.12,4.16,0.3,5,8
60,Cole Irvin,OAK,1,4,0,6,6,38.1,7.04,1.41,1.41,.277,68.3%,38.8%,12.8%,91.1,4.23, ,4.21,3.99,0.3,5,8
