#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Zack Wheeler,PHI,3,1,0,5,5,32.2,7.71,1.65,1.10,.214,85.5%,39.1%,12.1%,95.8,2.48, ,3.63,3.54,0.7,4,2022-07-01
32,Jose Urquidy,HOU,3,1,0,5,5,33.0,6.82,2.18,0.82,.191,75.6%,32.6%,6.3%,93.4,2.73, ,3.51,4.48,0.6,4,2022-07-01
33,Julio Urias,LAD,4,0,0,5,5,28.0,8.68,1.29,0.96,.222,78.0%,44.0%,8.8%,93.7,2.89, ,3.33,3.73,0.6,4,2022-07-01
34,Logan Gilbert,SEA,1,1,0,5,5,28.1,8.26,1.91,0.95,.306,77.9%,37.6%,9.7%,96.0,3.18, ,3.29,3.53,0.6,4,2022-07-01
35,Logan Webb,SFG,2,2,0,6,6,38.1,6.34,2.58,0.70,.265,78.4%,58.8%,10.7%,92.6,2.58, ,3.66,3.73,0.6,4,2022-07-01
36,Blake Snell,SDP,3,0,0,5,5,25.2,14.03,5.26,1.05,.308,87.2%,29.6%,12.0%,95.7,2.81, ,3.27,3.19,0.5,4,2022-07-01
37,Nestor Cortes,NYY,3,0,0,5,5,27.2,8.46,1.63,0.98,.291,86.3%,29.3%,7.7%,92.1,2.60, ,3.29,3.97,0.5,4,2022-07-01
38,Adrian Sampson,CHC,0,2,0,6,6,32.2,6.06,2.20,0.83,.302,67.8%,41.3%,7.1%,92.8,4.41, ,3.79,4.50,0.5,4,2022-07-01
39,German Marquez,COL,2,3,0,5,5,31.2,7.11,2.27,1.14,.261,72.4%,49.0%,16.7%,96.0,3.69, ,3.93,3.41,0.5,4,2022-07-01
40,Mitch Keller,PIT,1,2,0,5,5,31.0,8.13,1.74,1.16,.310,86.4%,46.5%,16.7%,94.8,2.61, ,3.76,3.23,0.5,4,2022-07-01
41,Jake Odorizzi,HOU,1,1,0,5,5,28.1,7.94,1.59,1.27,.280,69.3%,26.7%,9.1%,92.2,4.45, ,3.82,4.28,0.5,4,2022-07-01
42,Jon Gray,TEX,3,2,0,5,5,30.1,10.98,2.37,1.48,.267,76.9%,43.0%,17.2%,96.7,2.97, ,3.61,2.88,0.5,4,2022-07-01
43,Zac Gallen,ARI,1,0,0,5,5,29.2,8.49,2.43,0.91,.219,72.6%,46.1%,11.5%,93.7,3.03, ,3.55,3.53,0.5,4,2022-07-01
44,Kyle Freeland,COL,2,2,0,5,5,29.0,7.45,2.17,1.24,.298,60.5%,45.9%,15.4%,90.5,5.59, ,4.08,3.61,0.5,4,2022-07-01
45,Chris Bassitt,NYM,1,2,0,4,4,25.1,7.82,2.13,0.71,.268,76.3%,50.7%,9.5%,93.4,3.20, ,3.35,3.55,0.4,4,2022-07-01
46,Brad Keller,KCR,3,2,0,5,5,28.2,6.91,4.40,0.31,.265,69.1%,57.1%,4.5%,94.9,3.77, ,3.71,4.39,0.4,4,2022-07-01
47,Lucas Giolito,CHW,2,2,0,5,5,27.0,8.67,3.00,1.00,.325,64.0%,40.0%,9.7%,92.3,5.00, ,3.63,3.89,0.4,4,2022-07-01
48,Pablo Lopez,MIA,2,2,0,6,6,31.0,9.00,3.19,0.87,.304,69.6%,50.6%,12.5%,93.5,4.65, ,3.92,3.81,0.4,4,2022-07-01
49,Charlie Morton,ATL,1,2,0,5,5,30.0,10.50,3.60,1.20,.231,76.6%,42.6%,13.8%,94.8,3.30, ,3.91,3.61,0.4,4,2022-07-01
50,Johnny Cueto,CHW,2,0,0,5,5,34.0,3.97,2.38,0.79,.262,87.0%,53.2%,7.3%,91.9,2.12, ,4.26,4.90,0.4,4,2022-07-01
51,Andre Pallante,STL,2,1,0,5,5,26.1,8.89,1.71,1.37,.413,71.4%,58.3%,23.5%,94.9,5.47, ,3.68,2.66,0.4,4,2022-07-01
52,Marco Gonzales,SEA,2,2,0,5,5,31.1,3.73,1.44,0.86,.333,70.8%,38.9%,7.1%,88.1,4.60, ,4.29,5.03,0.3,4,2022-07-01
53,Taijuan Walker,NYM,3,0,0,5,5,30.2,8.22,2.05,1.17,.259,85.0%,44.7%,12.9%,93.6,2.93, ,3.96,3.76,0.3,4,2022-07-01
54,Madison Bumgarner,ARI,3,2,0,5,5,31.0,6.10,2.90,0.87,.298,68.6%,34.0%,7.7%,91.3,4.35, ,4.37,4.98,0.3,4,2022-07-01
55,Austin Gomber,COL,2,0,0,6,4,27.1,6.26,1.65,1.32,.298,74.8%,42.5%,12.5%,90.7,3.95, ,4.28,4.11,0.3,4,2022-07-01
56,Tony Gonsolin,LAD,3,1,0,5,5,30.2,7.92,1.47,1.47,.253,68.0%,44.3%,13.5%,92.9,4.40, ,4.06,3.73,0.3,4,2022-07-01
57,Jose Urena,COL,1,3,0,5,5,27.0,5.33,4.33,0.67,.319,60.7%,50.5%,8.7%,96.3,5.00, ,4.34,4.63,0.3,4,2022-07-01
58,Alek Manoah,TOR,2,3,0,5,5,31.1,8.33,2.01,1.44,.259,80.6%,40.0%,13.2%,93.5,3.45, ,4.39,4.11,0.3,4,2022-07-01
59,Aaron Ashby,MIL,1,4,0,6,6,25.2,10.87,3.51,1.40,.333,67.9%,41.4%,16.0%,96.1,3.86, ,4.01,3.43,0.3,4,2022-07-01
60,James Kaprielian,OAK,2,0,0,5,5,28.0,5.46,3.21,0.64,.200,87.8%,39.0%,5.1%,93.9,1.93, ,4.01,5.14,0.3,4,2022-07-01
