#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Max Scherzer,NYM,1,1,0,5,5,32.1,12.53,1.11,0.56,.292,91.9%,18.1%,5.1%,94.3,1.39, ,1.78,2.77,1.5,4,7
2,Max Fried,ATL,3,1,0,6,6,38.0,7.11,1.89,0.00,.310,79.5%,47.3%,0.0%,93.7,2.13, ,2.24,3.76,1.3,4,7
3,Clayton Kershaw,LAD,2,1,0,5,5,32.1,9.19,0.84,0.28,.256,62.5%,51.7%,3.4%,91.1,2.23, ,1.85,2.77,1.3,4,7
4,Brandon Woodruff,MIL,3,0,0,5,5,30.0,11.40,3.30,0.00,.315,80.0%,34.7%,0.0%,96.2,2.10, ,1.78,3.36,1.3,4,7
5,Carlos Rodon,SFG,2,2,0,6,6,37.0,12.89,2.68,0.73,.296,66.1%,34.9%,7.5%,95.2,3.89, ,2.28,2.82,1.3,4,7
6,Merrill Kelly,ARI,4,0,0,6,6,41.1,7.19,1.74,0.44,.204,85.6%,44.4%,4.2%,92.0,1.31, ,2.73,3.82,1.2,4,7
7,Triston McKenzie,CLE,3,1,0,5,5,33.2,8.82,2.41,0.27,.222,87.0%,37.5%,2.9%,92.8,1.34, ,2.43,3.54,1.1,4,7
8,Aaron Nola,PHI,2,3,0,5,5,35.0,9.00,1.03,0.77,.295,68.2%,42.3%,7.0%,93.1,3.60, ,2.57,3.28,1.1,4,7
9,Cole Irvin,OAK,4,1,0,5,5,34.0,5.82,0.79,0.26,.186,68.0%,34.0%,2.0%,90.4,1.85, ,2.47,4.26,1.1,4,7
10,Sandy Alcantara,MIA,1,1,0,5,5,34.0,10.85,2.38,0.53,.256,82.2%,53.8%,8.3%,98.1,2.12, ,2.35,2.63,1.1,4,7
11,Brady Singer,KCR,1,0,0,5,5,30.2,12.33,3.23,0.59,.333,84.3%,45.3%,10.0%,92.5,2.05, ,2.49,2.61,1.0,4,7
12,Shohei Ohtani,LAA,2,2,0,4,4,25.1,15.63,2.13,1.07,.347,73.4%,36.5%,13.6%,98.0,3.20, ,1.89,1.64,1.0,4,7
13,Reid Detmers,LAA,1,0,0,4,4,24.0,11.63,3.38,0.00,.265,82.6%,42.9%,0.0%,93.6,1.13, ,1.78,2.77,1.0,4,7
14,Alex Cobb,SFG,0,2,0,6,6,36.0,8.00,2.25,0.25,.276,69.9%,61.5%,5.3%,95.7,2.75, ,2.53,2.95,1.0,4,7
15,Spencer Strider,ATL,2,1,0,5,5,26.2,13.84,3.04,0.68,.250,76.6%,38.9%,8.7%,98.0,2.70, ,2.14,2.44,1.0,4,7
16,Corbin Burnes,MIL,2,0,0,5,5,31.1,11.78,2.87,0.57,.254,80.9%,42.6%,7.7%,95.9,2.01, ,2.38,2.78,1.0,4,7
17,Corey Kluber,TBR,4,2,0,6,6,32.0,7.88,1.41,0.56,.347,59.2%,35.0%,5.4%,89.1,5.34, ,2.93,3.83,0.9,4,7
18,Tyler Anderson,LAD,3,0,0,5,5,32.1,6.68,1.67,0.28,.233,87.0%,44.9%,2.9%,91.0,1.11, ,2.68,3.84,0.9,4,7
19,Yu Darvish,SDP,2,1,0,5,5,34.0,11.91,1.59,1.32,.266,80.8%,32.1%,12.8%,95.1,3.18, ,3.00,2.78,0.9,4,7
20,Jose Quintana,PIT,2,1,0,5,5,27.0,7.33,2.00,0.00,.329,67.6%,52.4%,0.0%,91.1,3.67, ,2.26,3.52,0.9,4,7
21,Framber Valdez,HOU,1,1,0,5,5,33.2,9.89,3.21,0.27,.302,72.1%,66.3%,8.3%,93.9,3.21, ,2.73,2.87,0.9,4,7
22,Dylan Cease,CHW,5,1,0,6,6,35.2,10.09,3.28,0.76,.247,100.0%,37.5%,7.9%,97.2,0.76, ,3.14,3.63,0.8,4,7
23,Gerrit Cole,NYY,3,1,0,6,6,38.0,12.08,2.13,1.42,.310,70.6%,42.2%,17.6%,98.0,4.03, ,3.19,2.46,0.8,4,7
24,Carlos Carrasco,NYM,3,0,0,5,5,30.0,8.10,2.70,0.30,.338,95.5%,52.5%,4.5%,93.0,0.90, ,2.65,3.30,0.8,4,7
25,Jose Berrios,TOR,3,0,0,6,6,36.0,10.50,1.75,1.25,.319,86.1%,42.9%,13.2%,93.8,3.00, ,3.25,3.01,0.8,4,7
26,Patrick Sandoval,LAA,0,5,0,5,5,24.2,11.68,4.01,0.36,.451,64.2%,38.9%,5.6%,92.6,6.20, ,2.50,3.06,0.8,4,7
27,Shane McClanahan,TBR,2,1,0,5,5,30.2,10.27,2.05,0.88,.221,73.4%,50.0%,13.6%,96.4,2.93, ,2.88,2.68,0.7,4,7
28,Luis Castillo,CIN,1,0,0,4,4,28.0,9.64,2.25,0.96,.217,91.7%,44.4%,12.5%,97.2,1.93, ,3.22,3.10,0.7,4,7
29,Kutter Crawford,BOS,1,1,0,5,4,28.0,8.36,1.29,0.64,.247,76.6%,25.7%,5.7%,94.5,2.57, ,2.72,3.64,0.7,4,7
30,Braxton Garrett,MIA,1,1,0,5,5,30.0,9.90,1.80,0.90,.217,74.6%,45.8%,11.5%,91.1,3.00, ,3.11,3.10,0.7,4,7
