#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Zack Wheeler,PHI,2,0,0,5,5,32.2,11.02,1.38,0.28,.338,79.8%,45.7%,3.6%,96.5,1.65, ,1.61,2.48,1.5,2,2022-05-01
2,Martin Perez,TEX,4,0,0,6,6,42.1,7.02,1.91,0.00,.248,84.2%,56.5%,0.0%,93.0,0.64, ,2.19,3.49,1.4,2,2022-05-01
3,Kevin Gausman,TOR,4,2,0,6,6,36.1,9.66,1.49,0.50,.314,75.3%,49.0%,5.6%,94.5,2.72, ,2.18,2.93,1.4,2,2022-05-01
4,Nick Pivetta,BOS,4,1,0,6,6,38.1,8.22,1.41,0.47,.235,79.5%,39.4%,4.7%,93.0,2.11, ,2.51,3.50,1.3,2,2022-05-01
5,Gerrit Cole,NYY,2,1,0,5,5,33.2,12.03,1.34,0.80,.296,71.9%,44.0%,9.7%,98.0,3.21, ,2.04,2.25,1.2,2,2022-05-01
6,Tarik Skubal,DET,2,0,0,5,5,31.0,10.16,1.74,0.58,.264,90.9%,45.9%,7.7%,94.1,1.45, ,2.27,2.68,1.1,2,2022-05-01
7,Frankie Montas,OAK,0,3,0,6,6,35.0,10.29,1.80,0.77,.287,84.4%,50.0%,10.7%,96.4,2.31, ,2.54,2.61,1.1,2,2022-05-01
8,Sandy Alcantara,MIA,3,2,0,6,6,42.1,9.14,2.55,0.64,.228,74.1%,52.9%,8.8%,97.7,2.13, ,3.14,3.40,1.1,2,2022-05-01
9,Framber Valdez,HOU,4,1,0,6,6,43.0,6.91,2.09,0.42,.252,80.1%,62.3%,11.1%,94.5,2.30, ,2.95,2.97,1.0,2,2022-05-01
10,Jameson Taillon,NYY,4,0,0,5,5,31.1,6.32,0.86,0.29,.242,78.9%,46.8%,3.0%,94.0,2.01, ,2.51,3.65,1.0,2,2022-05-01
11,Corbin Burnes,MIL,2,2,0,6,6,39.0,10.38,1.15,1.15,.258,89.7%,44.9%,12.8%,95.8,2.08, ,3.01,2.82,0.9,2,2022-05-01
12,Joe Musgrove,SDP,2,0,0,5,5,33.0,9.00,2.45,0.55,.273,87.7%,43.3%,5.7%,92.9,1.64, ,2.90,3.68,0.9,2,2022-05-01
13,Carlos Carrasco,NYM,4,0,0,5,5,30.0,6.90,1.20,0.30,.347,72.5%,46.3%,3.4%,93.7,3.60, ,2.61,3.61,0.9,2,2022-05-01
14,Shane McClanahan,TBR,4,0,0,5,5,31.1,11.20,1.44,0.86,.261,100.0%,50.0%,16.7%,97.3,1.15, ,2.35,1.95,0.9,2,2022-05-01
15,Jordan Lyles,BAL,2,2,0,6,6,37.0,8.76,2.43,0.73,.336,68.4%,44.5%,8.3%,92.0,3.65, ,3.19,3.58,0.9,2,2022-05-01
16,Tyler Wells,BAL,2,2,0,6,6,30.2,5.28,0.88,0.59,.250,72.5%,33.0%,4.3%,93.7,2.93, ,3.08,4.50,0.9,2,2022-05-01
17,Aaron Nola,PHI,1,1,0,5,5,33.0,10.91,1.36,1.09,.275,73.0%,41.7%,12.5%,92.9,3.27, ,2.90,2.76,0.8,2,2022-05-01
18,Yusei Kikuchi,TOR,2,0,0,5,5,26.2,10.46,3.71,0.34,.250,79.7%,44.6%,3.8%,94.9,2.36, ,2.63,3.58,0.8,2,2022-05-01
19,Jose Quintana,PIT,1,1,0,5,5,27.0,7.00,3.00,0.00,.259,71.0%,49.4%,0.0%,90.9,2.00, ,2.67,4.09,0.8,2,2022-05-01
20,Tyler Anderson,LAD,4,0,0,5,5,32.0,9.28,0.56,1.41,.295,84.6%,27.2%,10.6%,90.1,3.09, ,3.27,3.41,0.8,2,2022-05-01
21,Alek Manoah,TOR,1,1,0,5,5,31.0,7.84,0.58,0.87,.276,79.1%,38.6%,10.0%,94.2,2.03, ,3.11,3.29,0.8,2,2022-05-01
22,Nestor Cortes,NYY,3,1,0,5,5,32.1,9.19,2.51,0.84,.192,88.2%,37.0%,8.8%,91.2,1.95, ,3.21,3.56,0.7,2,2022-05-01
23,Dylan Cease,CHW,2,1,0,6,6,31.2,13.64,3.69,1.14,.343,74.2%,39.2%,11.8%,97.1,3.98, ,3.05,3.00,0.7,2,2022-05-01
24,Zac Gallen,ARI,4,0,0,6,6,35.1,8.92,2.04,0.76,.266,78.2%,51.5%,9.7%,94.1,3.06, ,3.25,3.45,0.7,2,2022-05-01
25,JT Brubaker,PIT,0,2,0,5,5,27.1,9.55,3.62,0.66,.289,72.3%,50.0%,7.7%,93.0,2.63, ,3.26,3.72,0.7,2,2022-05-01
26,Patrick Sandoval,LAA,2,1,0,5,5,28.1,6.99,4.45,0.00,.295,65.9%,65.9%,0.0%,93.5,4.13, ,3.15,4.14,0.7,2,2022-05-01
27,Max Fried,ATL,3,0,0,6,6,37.0,8.76,2.43,0.97,.295,81.2%,47.7%,14.8%,94.2,3.16, ,3.38,3.06,0.7,2,2022-05-01
28,Walker Buehler,LAD,4,0,0,6,6,34.0,7.41,2.38,0.79,.333,75.3%,53.7%,11.1%,95.4,3.71, ,3.50,3.52,0.6,2,2022-05-01
29,Shane Bieber,CLE,1,2,0,4,4,24.1,8.14,2.96,0.37,.373,71.0%,48.7%,4.8%,90.9,4.07, ,2.95,3.69,0.6,2,2022-05-01
30,Michael Lorenzen,LAA,3,1,0,5,5,32.2,5.23,2.48,0.55,.258,73.1%,55.6%,6.9%,95.1,3.31, ,3.66,4.18,0.6,2,2022-05-01
