#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Carlos Carrasco,NYM,1,1,0,4,4,22.0,9.41,1.64,0.82,.271,61.3%,41.7%,8.3%,93.2,4.50, ,3.02,3.46,0.5,1,2022-04-01
32,Brad Keller,KCR,0,2,0,4,4,24.2,6.20,1.82,0.73,.182,74.1%,55.9%,10.0%,94.2,2.19, ,3.40,3.54,0.5,1,2022-04-01
33,Yu Darvish,SDP,2,1,0,5,5,26.1,8.54,3.42,0.68,.264,66.2%,40.5%,7.7%,95.1,4.44, ,3.57,4.04,0.5,1,2022-04-01
34,Chad Kuhl,COL,3,0,0,4,4,23.2,6.46,2.66,0.76,.177,87.2%,45.3%,9.1%,94.3,1.90, ,3.66,3.94,0.5,1,2022-04-01
35,Austin Gomber,COL,1,2,0,4,4,21.0,8.57,3.00,0.86,.293,64.7%,43.1%,8.7%,91.1,3.86, ,3.45,3.83,0.5,1,2022-04-01
36,Adam Wainwright,STL,2,3,0,5,5,27.0,8.67,4.00,0.67,.368,76.5%,53.8%,10.0%,88.5,4.00, ,3.48,3.62,0.5,1,2022-04-01
37,Frankie Montas,OAK,2,2,0,5,5,29.2,9.40,2.43,1.21,.233,61.5%,46.8%,16.0%,96.1,4.25, ,3.69,3.18,0.4,1,2022-04-01
38,Kyle Gibson,PHI,2,1,0,5,5,27.2,8.46,3.90,0.98,.211,77.5%,60.3%,16.7%,92.1,2.93, ,3.94,3.50,0.4,1,2022-04-01
39,Aaron Nola,PHI,1,3,0,5,5,27.2,11.06,1.63,1.63,.267,77.3%,56.3%,23.8%,92.4,3.90, ,3.87,2.65,0.4,1,2022-04-01
40,Dane Dunning,TEX,1,1,0,5,5,26.0,9.00,2.77,1.04,.315,77.9%,50.0%,15.8%, ,3.81, ,3.65,3.23,0.4,1,2022-04-01
41,Zack Greinke,KCR,0,1,0,4,4,22.0,2.45,1.23,0.41,.267,77.2%,38.7%,3.7%,89.0,2.86, ,3.84,5.07,0.4,1,2022-04-01
42,Chris Flexen,SEA,1,3,0,4,4,24.0,5.63,2.25,0.75,.274,75.4%,39.7%,6.7%,92.0,3.38, ,3.70,4.46,0.3,1,2022-04-01
43,Gerrit Cole,NYY,2,0,0,5,5,24.0,10.13,3.75,1.13,.254,84.7%,40.3%,14.3%,97.5,3.00, ,3.86,3.53,0.3,1,2022-04-01
44,Robbie Ray,SEA,2,2,0,5,5,30.1,7.71,3.56,1.19,.268,74.9%,37.2%,10.8%,93.1,4.15, ,4.40,4.49,0.3,1,2022-04-01
45,Madison Bumgarner,ARI,1,1,0,5,5,23.0,5.87,4.30,0.78,.197,86.2%,39.4%,6.7%,91.0,1.17, ,4.37,5.17,0.2,1,2022-04-01
46,Nathan Eovaldi,BOS,1,0,0,5,5,28.2,10.05,0.94,2.20,.239,100.0%,44.9%,24.1%,97.0,2.51, ,4.47,2.80,0.2,1,2022-04-01
47,Cal Quantrill,CLE,1,1,0,4,4,22.0,4.09,4.09,0.41,.221,66.4%,37.3%,3.8%,92.5,3.27, ,4.29,5.45,0.2,1,2022-04-01
48,Zach Plesac,CLE,1,2,0,4,4,21.1,5.06,1.69,1.27,.296,71.4%,38.4%,10.7%,91.5,3.80, ,4.38,4.49,0.2,1,2022-04-01
49,German Marquez,COL,0,1,0,4,4,21.0,6.00,1.71,1.71,.329,60.6%,51.9%,21.1%,95.4,5.57, ,4.83,3.69,0.1,1,2022-04-01
50,Kyle Hendricks,CHC,1,2,0,5,5,24.2,7.66,4.01,1.46,.306,71.9%,35.5%,12.5%,87.4,5.47, ,5.10,4.91,0.1,1,2022-04-01
51,Cole Irvin,OAK,2,1,0,5,5,27.2,5.86,2.28,1.30,.253,87.6%,49.4%,13.3%,91.8,2.93, ,4.56,4.28,0.1,1,2022-04-01
52,Luis Garcia,HOU,1,1,0,4,4,21.2,7.89,2.08,2.08,.200,80.0%,30.0%,13.9%,94.5,4.15, ,5.19,4.65,0.1,1,2022-04-01
53,Jose Berrios,TOR,2,0,0,5,5,24.0,7.50,3.38,1.50,.325,84.3%,28.8%,11.4%,94.2,4.13, ,4.99,4.98,0.1,1,2022-04-01
54,Joan Adon,WSN,1,4,0,5,5,23.1,8.10,5.01,1.54,.314,63.2%,39.7%,13.8%,94.8,7.33, ,5.60,5.21,-0.1,1,2022-04-01
55,Elieser Hernandez,MIA,2,1,0,4,4,20.1,8.85,2.21,2.66,.286,77.7%,29.0%,17.6%,91.5,5.75, ,6.01,4.65,-0.1,1,2022-04-01
