#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
61,Gerrit Cole,NYY,2,1,0,5,5,29.2,11.83,2.43,1.82,.226,96.9%,48.5%,18.8%,97.9,2.73, ,3.92,2.89,0.3,3,2022-06-01
62,Beau Brieske,DET,1,2,0,5,5,27.1,6.91,1.98,1.32,.253,77.9%,42.7%,11.4%,94.4,3.62, ,4.14,4.13,0.3,3,2022-06-01
63,Kyle Freeland,COL,3,0,0,5,5,33.0,4.36,1.91,1.09,.240,81.4%,34.6%,8.9%,90.5,3.27, ,4.72,5.16,0.3,3,2022-06-01
64,Keegan Thompson,CHC,2,3,0,6,6,27.1,9.22,3.29,1.32,.303,56.9%,28.8%,10.8%,94.1,5.93, ,4.28,4.39,0.3,3,2022-06-01
65,Jason Alexander,MIL,2,0,0,7,5,30.2,4.40,3.82,0.59,.346,73.7%,50.5%,6.5%,93.6,3.82, ,4.35,5.00,0.2,3,2022-06-01
66,Dane Dunning,TEX,0,3,0,6,6,33.2,5.61,3.21,0.80,.277,77.1%,55.3%,9.7%,89.0,3.74, ,4.45,4.65,0.2,3,2022-06-01
67,Ian Anderson,ATL,3,2,0,6,6,28.2,9.42,4.40,1.26,.410,65.4%,47.1%,13.8%,94.1,6.91, ,4.40,4.09,0.1,3,2022-06-01
68,Luis Garcia,HOU,3,2,0,5,5,27.2,9.43,1.95,1.95,.243,77.7%,32.0%,19.4%,94.1,4.23, ,4.49,3.33,0.1,3,2022-06-01
69,Jordan Lyles,BAL,1,3,0,5,5,28.2,5.97,3.45,1.26,.305,60.9%,38.4%,9.5%,91.8,6.28, ,4.86,5.21,0.1,3,2022-06-01
70,Pablo Lopez,MIA,1,2,0,5,5,28.2,8.48,2.83,1.57,.288,62.5%,45.2%,17.9%,92.2,5.34, ,4.65,3.83,0.1,3,2022-06-01
71,Paul Blackburn,OAK,1,2,0,5,5,26.1,7.18,3.08,1.37,.349,74.9%,48.3%,18.2%,91.6,5.13, ,4.52,3.78,0.1,3,2022-06-01
72,Patrick Corbin,WSN,3,2,0,5,5,27.1,8.89,1.98,2.30,.341,68.3%,41.3%,18.9%,92.7,4.28, ,5.13,3.80,0.1,3,2022-06-01
73,Cole Irvin,OAK,0,4,0,6,6,35.1,6.62,2.29,1.53,.274,76.5%,34.5%,12.8%,90.5,4.08, ,4.70,4.46,0.1,3,2022-06-01
74,Rony Garcia,DET,3,1,0,5,5,25.1,6.75,2.49,1.78,.232,77.3%,23.0%,12.8%,92.6,3.91, ,5.13,4.84,0.0,3,2022-06-01
75,Tyler Wells,BAL,4,0,0,5,5,26.0,5.19,3.12,1.38,.164,93.1%,36.8%,10.5%,94.0,2.42, ,5.11,5.28,0.0,3,2022-06-01
76,Adrian Houser,MIL,1,3,0,6,6,30.0,6.30,3.30,1.50,.340,66.7%,45.5%,14.7%,95.0,6.30, ,4.98,4.49,0.0,3,2022-06-01
77,Marco Gonzales,SEA,1,3,0,5,5,31.0,5.23,4.06,1.16,.198,85.5%,49.5%,12.9%,88.2,2.90, ,4.98,4.79,0.0,3,2022-06-01
78,Andre Pallante,STL,1,3,0,6,5,30.1,4.45,3.56,0.89,.253,83.3%,66.0%,20.0%,95.6,2.97, ,4.70,4.14,0.0,3,2022-06-01
79,Johnny Cueto,CHW,2,3,0,6,5,35.1,7.90,1.53,2.04,.263,83.3%,36.9%,17.4%,90.9,3.82, ,4.90,3.88,0.0,3,2022-06-01
80,Jose Urquidy,HOU,2,1,0,5,5,29.1,6.44,2.76,1.84,.193,79.6%,37.1%,15.4%,93.7,3.68, ,5.26,4.57,0.0,3,2022-06-01
81,Zac Gallen,ARI,0,2,0,5,5,25.2,8.42,3.16,1.75,.278,64.5%,40.0%,18.5%,93.7,5.26, ,5.29,4.32,-0.1,3,2022-06-01
82,German Marquez,COL,3,1,0,6,6,34.0,7.68,4.50,1.85,.274,72.8%,46.1%,20.0%,95.7,5.29, ,5.67,4.52,-0.1,3,2022-06-01
83,Brady Singer,KCR,1,3,0,5,5,28.2,7.22,1.88,2.20,.282,65.1%,41.1%,17.9%, ,5.97, ,5.52,4.36,-0.1,3,2022-06-01
84,Cal Quantrill,CLE,2,1,0,5,5,31.0,5.23,1.74,2.03,.280,87.0%,45.8%,18.9%,93.2,4.06, ,5.56,4.40,-0.1,3,2022-06-01
85,Carlos Carrasco,NYM,3,3,0,6,6,29.2,10.62,3.94,2.12,.372,72.8%,47.1%,25.0%,93.7,6.37, ,5.34,3.67,-0.1,3,2022-06-01
86,Jose Berrios,TOR,2,2,0,5,5,28.2,8.79,1.88,2.51,.270,65.9%,48.1%,27.6%,93.8,6.28, ,5.73,3.60,-0.2,3,2022-06-01
87,Lucas Giolito,CHW,1,2,0,5,5,27.0,7.67,3.33,2.33,.365,58.7%,34.1%,17.5%,93.1,7.67, ,6.00,4.83,-0.2,3,2022-06-01
88,Triston McKenzie,CLE,1,2,0,5,5,29.1,8.59,2.45,3.07,.272,74.1%,27.8%,19.2%,92.5,6.44, ,6.56,4.75,-0.4,3,2022-06-01
89,Eric Lauer,MIL,1,2,0,5,5,27.2,6.18,3.25,2.60,.274,60.4%,36.3%,21.1%,93.1,6.83, ,6.58,4.86,-0.4,3,2022-06-01
