#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Carlos Rodon,SFG,3,0,0,6,6,36.0,10.25,2.00,0.25,.258,85.0%,39.8%,2.9%,95.3,1.25, ,1.86,2.94,1.5,3,2022-06-01
2,Aaron Nola,PHI,3,1,0,6,6,43.0,9.00,0.84,0.63,.274,77.6%,39.5%,6.4%,93.0,2.51, ,2.37,3.08,1.5,3,2022-06-01
3,Sandy Alcantara,MIA,3,1,0,6,6,47.2,6.42,1.51,0.38,.234,76.5%,61.6%,5.9%,97.8,1.89, ,2.74,3.25,1.4,3,2022-06-01
4,Max Fried,ATL,2,0,0,5,5,33.1,9.45,1.35,0.27,.302,78.4%,52.3%,4.0%,94.5,2.16, ,1.85,2.57,1.3,3,2022-06-01
5,Taijuan Walker,NYM,3,2,0,6,6,37.2,7.88,2.15,0.24,.292,75.8%,50.0%,3.3%,94.2,2.63, ,2.42,3.26,1.2,3,2022-06-01
6,Justin Verlander,HOU,4,1,0,6,6,39.2,7.94,1.59,0.68,.211,61.7%,40.2%,7.0%,95.0,2.04, ,3.01,3.63,1.1,3,2022-06-01
7,Tyler Mahle,CIN,1,1,0,5,5,33.2,10.43,1.60,1.07,.310,82.8%,33.3%,8.9%,93.4,2.94, ,2.88,3.31,1.1,3,2022-06-01
8,Shane Bieber,CLE,1,1,0,6,6,37.1,10.13,1.93,0.72,.319,73.4%,39.2%,9.1%,91.2,3.13, ,2.55,2.81,1.1,3,2022-06-01
9,Jon Gray,TEX,3,1,0,6,6,37.2,10.51,2.87,0.48,.273,80.6%,40.0%,6.7%,96.1,2.39, ,2.58,3.07,1.1,3,2022-06-01
10,Dylan Cease,CHW,2,1,0,5,5,27.1,14.82,4.61,0.33,.340,72.8%,46.3%,7.1%,97.0,0.33, ,1.83,2.12,1.1,3,2022-06-01
11,Alek Manoah,TOR,4,1,0,6,6,38.2,7.68,2.33,0.47,.259,76.5%,38.7%,4.7%,93.9,2.56, ,3.01,3.98,1.0,3,2022-06-01
12,Shane McClanahan,TBR,3,1,0,5,5,33.0,11.45,1.09,1.09,.208,80.5%,44.6%,12.9%,96.9,1.36, ,2.51,2.32,1.0,3,2022-06-01
13,Yu Darvish,SDP,3,1,0,5,5,35.2,7.82,1.26,0.50,.242,78.3%,41.7%,5.1%,95.1,2.52, ,3.03,3.92,0.9,3,2022-06-01
14,Logan Webb,SFG,2,1,0,5,5,30.1,9.20,2.37,0.30,.291,75.9%,51.9%,5.0%,92.7,2.08, ,2.39,2.94,0.9,3,2022-06-01
15,Zach Davies,ARI,0,1,0,5,5,31.2,7.11,1.99,0.57,.233,74.5%,42.4%,4.9%, ,2.56, ,3.11,4.21,0.9,3,2022-06-01
16,Shohei Ohtani,LAA,4,1,0,5,5,29.2,11.53,2.12,0.91,.279,96.8%,45.1%,12.0%,97.4,1.52, ,2.57,2.51,0.9,3,2022-06-01
17,Zack Wheeler,PHI,3,1,0,5,5,29.2,10.92,1.82,0.91,.292,79.1%,51.4%,14.3%,95.8,2.43, ,2.81,2.54,0.8,3,2022-06-01
18,Ross Stripling,TOR,4,1,0,6,5,28.1,6.04,1.27,0.32,.235,84.1%,45.1%,3.7%,92.0,1.59, ,2.65,3.61,0.8,3,2022-06-01
19,Adam Wainwright,STL,1,1,0,5,5,32.0,7.88,1.69,0.56,.371,76.4%,40.4%,7.7%,88.0,3.66, ,2.93,3.32,0.8,3,2022-06-01
20,Julio Urias,LAD,3,1,0,5,5,28.2,10.67,2.51,0.94,.212,81.7%,36.2%,9.4%,92.8,2.20, ,2.94,3.23,0.7,3,2022-06-01
21,Nick Pivetta,BOS,4,1,0,6,6,40.0,9.00,2.93,0.90,.245,88.5%,34.0%,8.2%,93.9,2.25, ,3.54,4.05,0.7,3,2022-06-01
22,Antonio Senzatela,COL,1,2,0,5,5,28.1,6.99,1.91,0.64,.398,72.4%,44.9%,7.1%,94.5,4.76, ,3.11,3.66,0.7,3,2022-06-01
23,Miles Mikolas,STL,2,2,0,5,5,34.0,8.21,1.85,0.79,.200,76.6%,43.2%,8.8%,93.5,2.38, ,3.23,3.56,0.7,3,2022-06-01
24,Kyle Wright,ATL,5,1,0,6,6,38.1,8.22,2.82,0.70,.321,76.9%,54.2%,9.7%,94.9,3.52, ,3.40,3.58,0.7,3,2022-06-01
25,Luis Castillo,CIN,1,2,0,5,5,30.1,9.49,3.86,0.59,.286,71.4%,46.4%,6.7%,97.0,3.26, ,3.44,4.05,0.7,3,2022-06-01
26,Dean Kremer,BAL,2,1,0,5,5,28.0,6.11,2.25,0.32,.289,88.6%,35.7%,2.6%,93.8,1.29, ,3.08,4.68,0.6,3,2022-06-01
27,Corbin Burnes,MIL,3,2,0,5,5,28.2,12.87,3.14,1.26,.292,74.8%,39.1%,14.8%,97.2,3.45, ,3.32,2.90,0.6,3,2022-06-01
28,Martin Perez,TEX,2,0,0,5,5,30.0,8.40,2.70,0.60,.384,76.3%,44.8%,6.5%,93.0,3.90, ,3.11,3.78,0.6,3,2022-06-01
29,Kyle Hendricks,CHC,2,1,0,5,5,27.2,8.46,1.30,0.98,.325,72.9%,36.1%,8.3%,86.7,3.90, ,3.08,3.59,0.6,3,2022-06-01
30,Rich Hill,BOS,3,1,0,5,5,27.0,8.67,2.67,0.67,.320,73.7%,46.1%,9.5%,88.8,3.00, ,3.04,3.23,0.6,3,2022-06-01
