#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Jose Quintana,STL,33.1,3.22, , ,3.33,0.13, ,2.82, , , ,6,9
2,Jesus Luzardo,MIA,35.0,2.57, , ,0.88,-0.53,-0.56, , , , ,6,9
3,Marco Gonzales,SEA,36.1,2.36,-1.96, ,-7.17,-0.59, ,1.76, , , ,6,9
4,Hayden Wesneski,CHC,33.0,2.33,0.51, ,0.54,-1.27,1.12, , , , ,6,9
5,Logan Gilbert,SEA,36.0,2.32, , ,-2.55,0.32,2.05,-7.84, , , ,6,9
6,Cal Quantrill,CLE,37.1,2.30,0.93, ,-2.59,1.90, ,-0.92, , , ,6,9
7,Triston McKenzie,CLE,38.2,2.27, , , , ,-0.27,1.92, , , ,6,9
8,Lance Lynn,CHW,37.1,2.22,0.60, ,-2.77,1.55,-6.48,15.14, , , ,6,9
9,Kyle Freeland,COL,32.2,2.02,0.85, ,-3.69,-2.93,0.39, , , , ,6,9
10,Zac Gallen,ARI,38.1,2.02,-0.53, , ,4.04, ,1.38, , , ,6,9
11,Yu Darvish,SDP,39.0,1.77,-0.29,-2.24,3.32,2.67,1.33,3.57,0.93, , ,6,9
12,Jose Urena,COL,33.1,1.73, , ,0.33,-1.07,0.32, , , , ,6,9
13,Nick Lodolo,CIN,36.1,1.73, , ,-1.00,0.27, ,1.57, , , ,6,9
14,Brandon Woodruff,MIL,44.2,1.73, , ,0.57,1.44,2.36,-2.00, , , ,6,9
15,Luis Castillo,SEA,33.2,1.63,-3.37, ,0.99,-4.96,2.46, , , , ,6,9
16,Alek Manoah,TOR,41.0,1.55, , ,2.85,-0.13,1.89, , , , ,6,9
17,Blake Snell,SDP,35.0,1.51, , , ,-2.05,2.40,-0.77, , , ,6,9
18,Clayton Kershaw,LAD,41.0,1.43, , , , ,2.27,3.01, , , ,6,9
19,Adrian Sampson,CHC,38.2,1.14, , ,2.23,1.62,1.17, , , , ,6,9
20,Pablo Lopez,MIA,34.0,1.11,2.14, ,1.86,-1.62, ,1.04, , , ,6,9
21,Aaron Nola,PHI,34.1,1.01,5.06, ,2.20,2.10, ,0.11, , , ,6,9
22,Kevin Gausman,TOR,34.1,0.89, ,-1.38, , ,-0.16, , , , ,6,9
23,Merrill Kelly,ARI,42.2,0.75,-0.42, ,-2.25,-1.84,17.31,0.03, , , ,6,9
24,Dylan Cease,CHW,37.0,0.74, ,-3.72, , ,2.21,-0.08, , , ,6,9
25,Johnny Cueto,CHW,34.2,0.63,-2.60, ,2.86,-4.07,0.83,-3.99, , , ,6,9
26,Joe Musgrove,SDP,31.2,0.50,0.91, ,-1.98,2.70,-0.56,-3.44, , , ,6,9
27,Luis Cessa,CIN,37.0,0.30, , ,2.49,1.57,-1.06, , , , ,6,9
28,Chris Bassitt,NYM,33.1,0.25,1.81, ,1.52,-3.56,-4.86,0.96, , , ,6,9
29,Shane Bieber,CLE,48.0,0.18,1.92, , ,-26.49,1.73,2.39, , , ,6,9
30,Dean Kremer,BAL,42.0,0.15,2.52, ,-2.06,-0.59, ,-0.91, , , ,6,9
