#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
712,Jordan Hicks,STL,61.1,-3.65, ,-8.98,0.53,-1.50,0.68,1.04, , , ,2022.0,2022-01-01
713,Sean Hjelle,SFG,25.0,-3.65, , ,0.02,-7.48,0.34, , , , ,2022.0,2022-01-01
714,Adam Ottavino,NYM,65.2,-3.68,0.12, ,2.11,-0.82,2.14, , , , ,2022.0,2022-01-01
715,Jose Marte,LAA,11.0,-3.70, , ,-3.74,-3.65,1.51, , , , ,2022.0,2022-01-01
716,Alcides Escobar,WSN,1.2,-3.71, , , ,-22.86, ,7.37, , , ,2022.0,2022-01-01
717,Vladimir Gutierrez,CIN,36.2,-3.71, , , ,-1.58,0.29,-3.43, , , ,2022.0,2022-01-01
718,Logan Allen,- - -,7.2,-3.75,-11.87, ,0.67,-4.02,1.18,0.56, , , ,2022.0,2022-01-01
719,Anthony Castro,CLE,13.1,-3.81, , ,-5.36,-10.18,-0.80, , , , ,2022.0,2022-01-01
720,Frank German,BOS,4.0,-3.82, ,-1.83, , ,-5.65, , , , ,2022.0,2022-01-01
721,Keynan Middleton,ARI,17.0,-3.85, , , ,3.95,2.35, , , , ,2022.0,2022-01-01
722,Brooks Raley,TBR,53.2,-3.94,1.58, ,1.81,1.32,0.74,20.96, , , ,2022.0,2022-01-01
723,Elvin Rodriguez,DET,29.2,-4.01, , ,-5.07,-0.90,-1.04,-5.24, , , ,2022.0,2022-01-01
724,Ryan Weathers,SDP,3.2,-4.02, , , ,-1.25,1.46, , , , ,2022.0,2022-01-01
725,Alex Colome,COL,47.0,-4.02,-0.49, , , , , , , , ,2022.0,2022-01-01
726,Alexander Wells,BAL,3.2,-4.11, , , ,-1.34,-1.37,-2.29, , , ,2022.0,2022-01-01
727,Matt Koch,SEA,4.1,-4.11,-2.65, , , ,6.40, , , , ,2022.0,2022-01-01
728,Daniel Duarte,CIN,2.2,-4.13, , , ,-2.54,0.03, , , , ,2022.0,2022-01-01
729,Evan Lee,WSN,8.2,-4.15,-21.24, , ,13.16, ,2.20, , , ,2022.0,2022-01-01
730,Ronel Blanco,HOU,6.1,-4.15, , , ,-8.65,0.89,-2.55, , , ,2022.0,2022-01-01
731,Brady Singer,KCR,153.1,-4.21, , ,0.63,-0.40,0.51, , , , ,2022.0,2022-01-01
732,Greg Holland,TEX,4.2,-4.23, , , , ,-0.75,-24.32, , , ,2022.0,2022-01-01
733,Jandel Gustave,MIL,28.0,-4.27, , ,0.28, ,1.06, , , , ,2022.0,2022-01-01
734,Jose Butto,NYM,4.0,-4.28, , , ,-12.56,0.25,1.76, , , ,2022.0,2022-01-01
735,JC Mejia,MIL,2.1,-4.30, , ,-6.65, ,-0.84,-2.84, , , ,2022.0,2022-01-01
736,Daniel Castano,MIA,35.2,-4.30,-0.03, ,-7.94,-1.84,0.78, , , , ,2022.0,2022-01-01
737,Michael Plassmeyer,PHI,7.1,-4.38, , , ,8.28,0.51, , , , ,2022.0,2022-01-01
738,Luis Torrens,SEA,2.0,-4.43, , , , , , , , , ,2022.0,2022-01-01
739,Jesse Chavez,- - -,69.1,-4.44,1.02, ,-3.16,0.00, ,2.48, , , ,2022.0,2022-01-01
740,Ronny Henriquez,MIN,11.2,-4.46, , , ,0.68,2.57, , , , ,2022.0,2022-01-01
741,Carson Kelly,ARI,4.2,-4.50, , , , , , , , , ,2022.0,2022-01-01
742,Lou Trivino,- - -,53.2,-4.53,0.05, ,-1.02,-0.55,1.65,-3.20, , , ,2022.0,2022-01-01
743,JT Brubaker,PIT,144.0,-4.55, , ,-0.38,-2.86,-1.22,1.03, , , ,2022.0,2022-01-01
744,Jose Alvarez,SFG,15.1,-4.55, , ,-1.04,-1.49,-1.38, , , , ,2022.0,2022-01-01
745,Jordan Holloway,MIA,2.2,-4.66, , ,-8.40, ,1.02,11.52, , , ,2022.0,2022-01-01
746,Aaron Ashby,MIL,107.1,-4.66, , ,-0.16,-1.36,-0.07,0.91, , , ,2022.0,2022-01-01
747,Chris Ellis,BAL,4.1,-4.70, , , ,3.92,1.46,-11.59, , , ,2022.0,2022-01-01
748,Alec Mills,CHC,17.2,-4.70, , ,0.39,-9.42,-6.41,-3.77, , , ,2022.0,2022-01-01
749,A.J. Alexy,TEX,7.0,-4.73, , , ,2.61,1.23,0.18, , , ,2022.0,2022-01-01
750,Nash Walters,LAA,0.1,-4.78, , , , ,-1.56,-3.65, , , ,2022.0,2022-01-01
751,Michael Feliz,BOS,3.1,-4.79, , , ,-0.79,5.54, , , , ,2022.0,2022-01-01
752,Yoan Lopez,NYM,11.0,-4.79, ,-0.16, , ,1.51, , , , ,2022.0,2022-01-01
753,Chad Kuhl,COL,137.0,-4.80, , ,-1.74,-3.75,0.42,-1.64,-3.65, , ,2022.0,2022-01-01
754,Jackson Kowar,KCR,15.2,-4.83, , , ,-2.05,-4.60, , , , ,2022.0,2022-01-01
755,Nick Maton,PHI,1.1,-4.89, , , , , , , , , ,2022.0,2022-01-01
756,Ernie Clement,CLE,2.0,-5.08, , , , , , , ,-15.55, ,2022.0,2022-01-01
757,Daniel Bard,COL,60.1,-5.32,-3.10, ,1.33,3.78,2.19, , , , ,2022.0,2022-01-01
758,Diego Castillo,PIT,2.0,-5.36, , , , , , , , , ,2022.0,2022-01-01
759,Yennier Cano,- - -,18.0,-5.42, , ,-3.31,-1.42,-1.06, , , , ,2022.0,2022-01-01
760,Phillip Diehl,CIN,5.2,-5.46, , , ,-4.73,-0.71, , , , ,2022.0,2022-01-01
761,Gerardo Reyes,LAA,2.0,-5.50, , , , ,-0.84, , , , ,2022.0,2022-01-01
762,Josh Harrison,CHW,3.0,-5.58, , , , , , , , , ,2022.0,2022-01-01
763,Drew VerHagen,STL,21.2,-5.59,5.03,-4.93,-2.56, ,3.05,0.63, , , ,2022.0,2022-01-01
764,Ralph Garza,TBR,35.0,-5.80,-0.88, ,3.29,-1.78,-1.63,10.14, , , ,2022.0,2022-01-01
765,Andrelton Simmons,CHC,1.0,-5.86, , , ,-10.60, , , , , ,2022.0,2022-01-01
766,Hunter Dozier,KCR,1.0,-6.09, , , , , , , , , ,2022.0,2022-01-01
767,Tommy Romero,- - -,8.1,-6.10, , , ,-3.91,-2.42, , , , ,2022.0,2022-01-01
768,Dallas Keuchel,- - -,60.2,-6.29,-6.58, ,-1.37,-1.36,-3.98, , , , ,2022.0,2022-01-01
769,Hunter Gaddis,CLE,7.1,-6.43, , , ,-8.24,-2.37,-6.19, , , ,2022.0,2022-01-01
770,Chad Pinder,OAK,1.0,-6.53, , , , , , , , , ,2022.0,2022-01-01
771,Aneurys Zabala,MIA,2.2,-6.58, , , ,4.49,13.80, , , , ,2022.0,2022-01-01
772,Nick Gordon,MIN,3.2,-6.61, , , , , , , , , ,2022.0,2022-01-01
773,Thomas Hatch,TOR,4.2,-6.79, , ,-4.70,-12.23,-7.90, , , , ,2022.0,2022-01-01
774,Tommy Hunter,NYM,22.1,-6.89,0.76, ,1.17,0.00, ,-4.60, , , ,2022.0,2022-01-01
775,Alex Lange,DET,63.1,-7.10, , ,-0.59,1.48, ,0.73, , , ,2022.0,2022-01-01
776,Francisco Morales,PHI,5.0,-7.11, , , , ,5.70, , , , ,2022.0,2022-01-01
777,Tommy Kahnle,LAD,12.2,-7.24, , , ,4.47,3.99, , , , ,2022.0,2022-01-01
778,Luis Garcia,SDP,61.0,-7.38, ,0.36,0.02, ,2.31, , , , ,2022.0,2022-01-01
779,Ryan McKenna,BAL,1.1,-7.57, , , , , , , , , ,2022.0,2022-01-01
780,Chris Owings,BAL,1.0,-7.83, , , , , , , , , ,2022.0,2022-01-01
781,Anthony DeSclafani,SFG,19.0,-7.98, , ,-2.83,-14.60,-2.40,1.19, , , ,2022.0,2022-01-01
782,Noah Davis,COL,1.0,-7.99, , ,-3.74,-3.65,-8.20,8.72, , , ,2022.0,2022-01-01
783,Bubby Rossman,PHI,1.0,-8.03, , , , ,4.01, , , , ,2022.0,2022-01-01
784,Mike Ford,ATL,1.0,-8.27, , , ,-0.80, , , , , ,2022.0,2022-01-01
785,Cam Alldred,PIT,1.0,-8.98, , ,2.94,-3.75,3.49, , , , ,2022.0,2022-01-01
786,Matt Dermody,CHC,1.0,-9.02, , ,-2.63,-3.67,1.05,-4.21, , , ,2022.0,2022-01-01
787,Donovan Walton,SFG,1.0,-9.13, , , , , , , , , ,2022.0,2022-01-01
788,Jose Castillo,SDP,1.0,-9.42, , ,0.01, ,2.97, , , , ,2022.0,2022-01-01
789,Dee Strange-Gordon,WSN,1.0,-9.46, , , , , , , , , ,2022.0,2022-01-01
790,Matt Reynolds,CIN,1.1,-9.64, , , ,-4.74, ,-2.74, , , ,2022.0,2022-01-01
791,Garrett Stubbs,PHI,3.2,-9.69, , , , , ,-0.78, , , ,2022.0,2022-01-01
792,Tucker Barnhart,DET,1.0,-9.75, , , ,-15.21, , , , , ,2022.0,2022-01-01
793,Justin Bruihl,LAD,23.2,-9.75,-0.03, ,1.56, ,-2.20, , , , ,2022.0,2022-01-01
794,Austin Wynns,SFG,2.0,-9.79, , , ,3.63, , , , , ,2022.0,2022-01-01
795,Albert Pujols,STL,1.0,-10.22, , , , , , , , , ,2022.0,2022-01-01
796,Brian Moran,LAA,0.1,-10.49, , , , ,-8.95, , , , ,2022.0,2022-01-01
797,Victor Caratini,MIL,1.0,-10.63, , , , , , , , , ,2022.0,2022-01-01
798,Lance McCullers Jr.,HOU,47.2,-10.79,2.16, ,-2.98,0.06,2.51,2.83, , , ,2022.0,2022-01-01
799,Wil Myers,SDP,3.2,-10.80, , , , , ,-6.61, , , ,2022.0,2022-01-01
800,Corey Dickerson,STL,1.0,-10.82, , , , , ,10.07, , , ,2022.0,2022-01-01
801,Locke St. John,CHC,2.0,-10.84, , ,-3.65,6.82,-5.38, , , , ,2022.0,2022-01-01
802,Yolmer Sanchez,BOS,1.0,-11.13, , , , , ,1.06, , , ,2022.0,2022-01-01
803,Whit Merrifield,TOR,1.0,-11.56, , , , , , , , , ,2022.0,2022-01-01
804,Frank Schwindel,CHC,3.0,-11.64, , , ,-6.82,-14.39, , , , ,2022.0,2022-01-01
805,Kohei Arihara,TEX,20.0,-11.90,-5.56,2.56,-5.30,-0.16,-3.28,-3.65, , , ,2022.0,2022-01-01
806,Freddy Tarnok,ATL,0.2,-13.74, , , ,7.77, , , , , ,2022.0,2022-01-01
807,Bryan Hoeing,MIA,12.2,-14.28, , ,-1.87,-7.65,-3.42, , , , ,2022.0,2022-01-01
808,Josh VanMeter,PIT,3.0,-14.66, , , , , , , , , ,2022.0,2022-01-01
809,Tyler Rogers,SFG,75.2,-15.29, , ,1.54, ,-0.40, , , , ,2022.0,2022-01-01
810,Adam Kolarek,OAK,17.2,-15.44, , ,1.08,-1.78,-1.69, , , , ,2022.0,2022-01-01
811,Jerad Eickhoff,PIT,4.1,-16.37, ,-7.73,-2.66, ,-10.21,1.50, , , ,2022.0,2022-01-01
812,JT Chargois,TBR,22.1,-16.72, , ,2.28, ,0.24, , , , ,2022.0,2022-01-01
813,Max Schrock,CIN,1.0,-18.57, , , , , , , , , ,2022.0,2022-01-01
814,Nicky Lopez,KCR,1.0,-19.41, , , ,-5.82,-3.65, , , , ,2022.0,2022-01-01
815,Yerry De Los Santos,PIT,25.2,-19.45, , ,1.26, ,-0.94, , , , ,2022.0,2022-01-01
816,Connor Sadzeck,MIL,3.0,-20.58, , ,3.85,-3.65,1.10, , , , ,2022.0,2022-01-01
817,R.J. Alvarez,NYM,2.1,-20.95, , ,-5.96,4.66,-3.72, , , , ,2022.0,2022-01-01
818,Yu Chang,TBR,2.0,-20.98, , , ,-8.52, , , , , ,2022.0,2022-01-01
819,Mason Thompson,WSN,24.2,-21.93, , ,1.19,1.77,2.34, , , , ,2022.0,2022-01-01
820,Josh Fleming,TBR,35.0,-40.17,-2.02, ,-0.47,-3.48, ,-3.83, , , ,2022.0,2022-01-01
821,Kenley Jansen,ATL,64.0, ,1.86, ,-1.43, ,-0.12, , , , ,2022.0,2022-01-01
822,T.J. McFarland,STL,32.2, , , ,-1.05,-4.11,2.19, , , , ,2022.0,2022-01-01
823,Craig Stammen,SDP,40.2, ,-1.99, ,0.22,-0.01,-0.98,-3.45, , , ,2022.0,2022-01-01
824,David Robertson,- - -,63.2, ,-0.09, , , ,0.96,2.29, , , ,2022.0,2022-01-01
825,Lucas Luetge,NYY,57.1, ,-0.80, , , ,0.07,1.53, , , ,2022.0,2022-01-01
826,Ryan Weber,NYY,10.2, , , ,1.24,-1.06,4.23,-2.43, , , ,2022.0,2022-01-01
827,Aaron Loup,LAA,58.2, ,0.02, ,0.04,0.56,3.21, , , , ,2022.0,2022-01-01
828,Scott Alexander,SFG,17.1, ,0.00, ,3.09,-2.11,3.71, , , , ,2022.0,2022-01-01
829,Shane Greene,- - -,3.0, ,4.64, ,-12.87,-2.74,7.43, , , , ,2022.0,2022-01-01
830,Drew Smyly,CHC,106.1, ,-0.86, ,-0.19,5.10, ,0.18, , , ,2022.0,2022-01-01
831,Alex Claudio,NYM,3.1, , , ,4.15,1.48,1.79, , , , ,2022.0,2022-01-01
832,Zach Davies,ARI,134.1, ,-0.88, ,-0.78,1.24,-2.80,-1.68, , , ,2022.0,2022-01-01
833,Steven Matz,STL,48.0, , , ,-1.12,1.70,-4.57,-0.81, , , ,2022.0,2022-01-01
834,Josh Hader,- - -,50.0, , , ,-0.45,-11.36,1.16, , , , ,2022.0,2022-01-01
835,Luis Perdomo,MIL,23.2, , , ,1.10,-2.45,0.79, , , , ,2022.0,2022-01-01
836,Brett Phillips,TBR,4.0, , , , ,-11.45, ,-2.44, , , ,2022.0,2022-01-01
837,Sam Moll,OAK,43.1, , , ,-0.53, ,1.09, , , , ,2022.0,2022-01-01
838,Justin Topa,MIL,7.1, , , ,1.14,-1.42,-3.18, , , , ,2022.0,2022-01-01
839,Jimmy Yacabonis,- - -,14.0, , , ,-1.62,-10.40,-5.28, , , , ,2022.0,2022-01-01
840,Phillips Valdez,BOS,16.1, , , ,1.62,-0.02,-0.23, , , , ,2022.0,2022-01-01
841,Miguel Castro,NYY,29.0, , , ,-1.40,-0.25,0.26, , , , ,2022.0,2022-01-01
842,Sean Manaea,SDP,158.0, , , ,0.11,-1.25,-0.45, , , , ,2022.0,2022-01-01
843,Aaron Bummer,CHW,26.2, ,-4.12, ,-0.33,6.05,1.66, , , , ,2022.0,2022-01-01
844,Sam Clay,- - -,5.1, , , ,-2.35,-2.17, ,-1.22, , , ,2022.0,2022-01-01
845,Ryan Borucki,- - -,25.1, , , ,0.83,-2.66,-2.88, , , , ,2022.0,2022-01-01
846,Erick Fedde,WSN,127.0, ,-0.03, ,-0.71,-3.19,-1.51, , , , ,2022.0,2022-01-01
847,Justin Lawrence,COL,42.2, , , ,-0.39, ,-0.38, , , , ,2022.0,2022-01-01
848,Dillon Tate,BAL,73.2, , , ,2.73,-1.28,-1.00, , , , ,2022.0,2022-01-01
849,Danny Young,- - -,6.1, , , ,-0.88,-51.26,-0.67, , , , ,2022.0,2022-01-01
850,Trevor Kelley,MIL,23.2, ,-7.60, ,0.22,-6.72,-2.23, , , , ,2022.0,2022-01-01
851,Andrew Vasquez,- - -,8.2, , , ,1.35, ,0.13, , , , ,2022.0,2022-01-01
852,Sean Poppen,ARI,28.2, , , ,0.64,-7.51,-2.51, , , , ,2022.0,2022-01-01
853,Tyson Miller,TEX,10.2, ,0.38, ,-3.17,2.67,-2.95,-18.05, , , ,2022.0,2022-01-01
854,Jake Fishman,MIA,11.0, , , ,1.41, ,-1.81, , , , ,2022.0,2022-01-01
855,Zach Pop,- - -,39.0, , , ,0.76,-4.77,0.73, , , , ,2022.0,2022-01-01
856,Chad Smith,COL,18.0, , , ,-2.04,-8.20,1.31, , , , ,2022.0,2022-01-01
857,Matt Peacock,- - -,10.0, , , ,-0.35,-9.00,0.89, , , , ,2022.0,2022-01-01
858,Cristopher Sanchez,PHI,40.0, , , ,-0.25,-0.10,-0.91, , , , ,2022.0,2022-01-01
859,Adrian Martinez,OAK,57.2, , , ,-2.11,-0.28,0.36, , , , ,2022.0,2022-01-01
860,Emmanuel Clase,CLE,72.2, ,2.51, , , ,3.77, , , , ,2022.0,2022-01-01
861,Jake Bird,COL,47.2, ,-1.33, ,0.36,1.60, ,-1.72, , , ,2022.0,2022-01-01
862,Bryce Montes de Oca,NYM,3.1, ,-0.57, ,-6.11, ,0.42, , , , ,2022.0,2022-01-01
863,Nicholas Padilla,CHC,1.2, ,-3.83, ,-3.45, ,5.99, , , , ,2022.0,2022-01-01
864,Brendon Little,CHC,0.2, , , ,-12.27, , ,-3.20, , , ,2022.0,2022-01-01
865,Elvis Peguero,LAA,17.1, , , ,-3.31, ,-0.43, , , , ,2022.0,2022-01-01
866,Camilo Doval,SFG,67.2, ,-1.76, ,0.17, ,2.30, , , , ,2022.0,2022-01-01
867,John King,TEX,51.1, ,-5.92, ,0.42,1.47,-0.85, , , , ,2022.0,2022-01-01
868,Aaron Fletcher,PIT,11.2, , , ,-1.88,3.58,-3.58, , , , ,2022.0,2022-01-01
869,Collin Snider,KCR,34.1, , , ,-1.48,-0.15,0.48, , , , ,2022.0,2022-01-01
870,Kyle Bradish,BAL,117.2, ,-1.20, ,-0.69,1.06,0.55,0.13, , , ,2022.0,2022-01-01
871,Cooper Criswell,TBR,3.1, ,3.95, ,4.70, ,-0.90, , , , ,2022.0,2022-01-01
