#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
536,Drew Steckenrider,SEA,14.1,-1.15,-12.47, , ,-2.67,-2.01, , , , ,2022.0,2022-01-01
537,Joan Adon,WSN,64.2,-1.16, , ,2.55,-1.62,0.80,-2.65, , , ,2022.0,2022-01-01
538,Josh Sborz,TEX,22.1,-1.16, , , , ,-0.34,-2.10, , , ,2022.0,2022-01-01
539,Erasmo Ramirez,WSN,86.1,-1.18,1.81, ,-0.95,2.80,0.62,2.61, , , ,2022.0,2022-01-01
540,Ross Detwiler,CIN,26.1,-1.18, , ,-0.33,-2.75,-1.50,0.21, , , ,2022.0,2022-01-01
541,Dauri Moreta,CIN,38.1,-1.19, , , ,1.13,-0.02, , , , ,2022.0,2022-01-01
542,Zac Lowther,BAL,5.1,-1.19, , , ,-0.50,-8.15,-1.70, , , ,2022.0,2022-01-01
543,Ryan Castellani,OAK,2.2,-1.20, , ,-0.69, ,7.86,-2.84, , , ,2022.0,2022-01-01
544,Anthony Bass,- - -,70.1,-1.20, ,-1.65,2.69, ,1.24, , , , ,2022.0,2022-01-01
545,Kyle Barraclough,LAA,9.0,-1.23,2.81, , ,5.53,2.22, , , , ,2022.0,2022-01-01
546,Joe Barlow,TEX,35.0,-1.25, , , , ,1.46,-1.67, , , ,2022.0,2022-01-01
547,Jose Ruiz,CHW,60.2,-1.26, , ,13.56,-0.40, ,1.11, , , ,2022.0,2022-01-01
548,Max Kranick,PIT,5.0,-1.27, , , , ,0.56,7.10, , , ,2022.0,2022-01-01
549,Cody Stashak,MIN,16.1,-1.27, , , ,4.32,2.94, , , , ,2022.0,2022-01-01
550,Erich Uelmen,CHC,27.0,-1.28, , ,1.33,-1.83,-0.28, , , , ,2022.0,2022-01-01
551,Brennan Bernardino,SEA,2.1,-1.28, , , , , ,3.93, , , ,2022.0,2022-01-01
552,Giovanny Gallegos,STL,59.0,-1.28, , ,0.78,2.99,1.64, , , , ,2022.0,2022-01-01
553,Scott Effross,- - -,56.2,-1.28, , ,-0.37,6.08,2.00, , , , ,2022.0,2022-01-01
554,Packy Naughton,STL,32.0,-1.29, , ,2.79,-0.16,-2.38, , , , ,2022.0,2022-01-01
555,Marcos Diplan,BAL,5.2,-1.30, , , ,0.11,1.12,2.94, , , ,2022.0,2022-01-01
556,Drew Carlton,DET,8.2,-1.30, , ,7.48,0.62,-1.58, , , , ,2022.0,2022-01-01
557,Rich Hill,BOS,124.1,-1.31,0.89, ,2.93,1.40,-1.06,0.20,5.55, , ,2022.0,2022-01-01
558,Marcus Stroman,CHC,138.2,-1.31,-0.36, ,0.65,-1.46,0.96,-2.45, , , ,2022.0,2022-01-01
559,Norge Ruiz,OAK,19.0,-1.32, , , ,-1.54,-2.89,-38.36, , , ,2022.0,2022-01-01
560,Nate Fisher,NYM,3.0,-1.32, , , ,13.39,1.71,0.17, , , ,2022.0,2022-01-01
561,Tommy Nance,MIA,43.2,-1.33, , ,-1.99, ,1.72,0.19, , , ,2022.0,2022-01-01
562,Javier Assad,CHC,37.2,-1.33,0.06, ,2.05,-3.79,-3.69,3.86, , , ,2022.0,2022-01-01
563,Jon Heasley,KCR,104.0,-1.34, , , ,-1.28,-0.66,0.19, , , ,2022.0,2022-01-01
564,Kirk McCarty,CLE,37.2,-1.34, , , ,-6.72,0.65,-1.39, , , ,2022.0,2022-01-01
565,Dereck Rodriguez,MIN,7.2,-1.35, , , ,-14.03,-3.16,3.69, , , ,2022.0,2022-01-01
