#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Corbin Burnes,MIL,28.2,6.10,1.00, ,-2.29,2.09,-0.21,-3.62, , , ,3,2022-06-01
2,Dane Dunning,TEX,33.2,5.53,-0.66, ,-2.37,0.58,1.31, , , , ,3,2022-06-01
3,Dean Kremer,BAL,28.0,3.47,1.69, , ,-2.47, ,-3.72, , , ,3,2022-06-01
4,Aaron Nola,PHI,43.0,2.59,-0.44, ,2.60,-2.95, ,1.78, , , ,3,2022-06-01
5,Gerrit Cole,NYY,29.2,2.57,-5.97, , ,-1.11,1.22,1.13, , , ,3,2022-06-01
6,Julio Urias,LAD,28.2,2.51, , , ,-3.43, ,1.63, , , ,3,2022-06-01
7,Tyler Mahle,CIN,33.2,2.21,-1.30,-2.22, , ,-1.18, , , , ,3,2022-06-01
8,Miles Mikolas,STL,34.0,2.18, , ,0.59,0.89,1.81,1.73,0.94, , ,3,2022-06-01
9,Jon Gray,TEX,37.2,2.16, , , ,1.46,1.79,-5.37, , , ,3,2022-06-01
10,Carlos Rodon,SFG,36.0,2.10, , , ,-3.25,1.83,1.04, , , ,3,2022-06-01
11,Zack Wheeler,PHI,29.2,2.07, ,4.15,3.69,-11.95,-1.70,-1.62, , , ,3,2022-06-01
12,Andre Pallante,STL,30.1,2.06, , ,-1.74, ,0.34,-1.15, , , ,3,2022-06-01
13,Justin Verlander,HOU,39.2,2.06, , , ,4.01,1.62,-0.21, , , ,3,2022-06-01
14,Martin Perez,TEX,30.0,2.01,0.64, ,0.92,-3.33, ,-11.08, , , ,3,2022-06-01
15,Nick Pivetta,BOS,40.0,1.73, ,-16.91, , ,0.87,0.89, , , ,3,2022-06-01
16,Ross Stripling,TOR,28.1,1.61, , ,1.21,2.70,2.11,1.69, , , ,3,2022-06-01
17,Corey Kluber,TBR,28.1,1.57,1.80, ,0.32,4.04,-1.71, , , , ,3,2022-06-01
18,Shane McClanahan,TBR,33.0,1.43, , , ,3.23,1.75,1.95, , , ,3,2022-06-01
19,Merrill Kelly,ARI,30.0,1.36,-0.70, ,4.86,-0.87, ,-0.69, , , ,3,2022-06-01
20,Sandy Alcantara,MIA,47.2,1.31, , ,3.70,2.48,-1.05, , , , ,3,2022-06-01
21,Joe Musgrove,SDP,34.0,1.30,2.08, ,1.83,1.02,-0.03,1.21, , , ,3,2022-06-01
22,Shohei Ohtani,LAA,29.2,1.17,-4.16,2.41, , ,1.63,1.28, , , ,3,2022-06-01
23,Tony Gonsolin,LAD,29.0,1.09, ,3.14, , ,3.50,-2.70, , , ,3,2022-06-01
24,Pablo Lopez,MIA,28.2,0.96,-4.54, ,0.50,-1.41, ,0.00, , , ,3,2022-06-01
25,Beau Brieske,DET,27.1,0.62, , ,0.88,0.33,-0.76,5.10, , , ,3,2022-06-01
26,Marco Gonzales,SEA,31.0,0.54,0.75, ,3.18,-0.67, ,2.24, , , ,3,2022-06-01
27,Jose Quintana,PIT,30.0,0.52,3.99, ,-2.06,-2.02, ,-1.50, , , ,3,2022-06-01
28,Zac Gallen,ARI,25.2,0.49,-4.70, , ,-5.05,2.96,0.34, , , ,3,2022-06-01
29,Graham Ashcraft,CIN,33.0,0.47, , ,-2.51,-6.19,-0.65, , , , ,3,2022-06-01
30,Rony Garcia,DET,25.1,0.35, , ,0.62,0.46,-0.57, , , , ,3,2022-06-01
