#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Corbin Burnes,MIL,31.1,22.23,1.46, ,-5.58,2.19,4.11,2.03, , , ,4,2022-07-01
2,Chris Bassitt,NYM,25.1,6.19,-0.23, ,2.22,-2.78,-4.12,1.84, , , ,4,2022-07-01
3,Miles Mikolas,STL,37.2,3.82, , ,3.93,-17.63,-2.36,-0.72,-8.98, , ,4,2022-07-01
4,Cole Irvin,OAK,34.0,3.80, , ,2.89,1.22,3.15,-0.01, , , ,4,2022-07-01
5,Triston McKenzie,CLE,33.2,3.08, , , , ,1.21,4.09, , , ,4,2022-07-01
6,Luis Castillo,CIN,28.0,3.00, , ,0.08,0.01,0.05, , , , ,4,2022-07-01
7,Zack Wheeler,PHI,32.2,2.44, ,0.00,1.18,-18.66,1.57,-0.12, , , ,4,2022-07-01
8,Martin Perez,TEX,31.2,2.44,1.47, ,-1.87,1.00,9.17,3.23, , , ,4,2022-07-01
9,Johnny Cueto,CHW,34.0,2.36,3.73, ,0.10,2.14,-1.76,2.61, , , ,4,2022-07-01
10,Kyle Freeland,COL,29.0,2.28,-4.09, ,2.40,-5.65,1.61, , , , ,4,2022-07-01
11,Marco Gonzales,SEA,31.1,2.20,-3.16, ,-2.03,-1.88, ,0.67, , , ,4,2022-07-01
12,Reid Detmers,LAA,24.0,2.18, , , ,-0.30,3.26,1.04, , , ,4,2022-07-01
13,Spencer Strider,ATL,26.2,2.16, , , ,-1.87,0.38, , , , ,4,2022-07-01
14,Sonny Gray,MIN,24.1,2.07, , ,-5.15, ,-1.29,1.30, , , ,4,2022-07-01
15,Aaron Nola,PHI,35.0,2.03,0.76, ,2.24,-1.93, ,0.83, , , ,4,2022-07-01
16,Robbie Ray,SEA,25.0,2.00, , ,-2.90,-3.20,-0.37,-20.80, , , ,4,2022-07-01
17,Jose Urquidy,HOU,33.0,1.96, , , ,2.25,1.10,0.46, , , ,4,2022-07-01
18,Max Fried,ATL,38.0,1.83, , ,-3.55,2.21,2.44,1.31, , , ,4,2022-07-01
19,Max Scherzer,NYM,32.1,1.77,0.29, , ,2.23,2.64,-3.30, , , ,4,2022-07-01
20,Carlos Rodon,SFG,37.0,1.75, , , ,-0.97,0.33,3.27, , , ,4,2022-07-01
21,Julio Urias,LAD,28.0,1.69, , , ,2.80, ,-0.93, , , ,4,2022-07-01
22,Clayton Kershaw,LAD,32.1,1.66, , ,-3.65,19.63,1.51,0.58, , , ,4,2022-07-01
23,Merrill Kelly,ARI,41.1,1.63,3.63, ,2.77,0.72,0.35,2.10, , , ,4,2022-07-01
24,Tyler Anderson,LAD,32.1,1.59,3.83, ,9.58,0.92, ,-3.65, , , ,4,2022-07-01
25,Lucas Giolito,CHW,27.0,1.31, , , ,0.02,-2.03,-0.80, , , ,4,2022-07-01
26,Jake Odorizzi,HOU,28.1,1.30,-0.67,-2.13,2.69, ,1.36,0.73, , , ,4,2022-07-01
27,Kyle Gibson,PHI,27.1,1.28,1.43, ,1.10,0.27,-4.67,-1.82, , , ,4,2022-07-01
28,Kutter Crawford,BOS,28.0,1.28,1.90,-4.15, , ,3.20,2.52, , , ,4,2022-07-01
29,Yu Darvish,SDP,34.0,1.21,4.07,7.51,-1.05,-2.88,0.66,-4.26, , , ,4,2022-07-01
30,Shane McClanahan,TBR,30.2,1.20, , , ,0.89,3.59,3.15, , , ,4,2022-07-01
