#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Corbin Burnes,MIL,39.0,23.56,1.90, ,-6.55,-2.57,2.58,2.94, , , ,2,5
2,Paul Blackburn,OAK,34.1,5.08,0.48, ,0.26,-5.85,-7.06,4.12, , , ,2,5
3,Framber Valdez,HOU,43.0,4.85, , ,-0.41,4.10,2.02,3.46, , , ,2,5
4,Martin Perez,TEX,42.1,3.45,3.90, ,1.41,3.89, ,-10.10, , , ,2,5
5,Michael Lorenzen,LAA,32.2,2.73,-1.36, ,2.77,-0.54,1.99, , , , ,2,5
6,Tarik Skubal,DET,31.0,2.54, , ,0.83,1.70,4.35,-11.74, , , ,2,5
7,Nick Pivetta,BOS,38.1,2.54, ,-8.62, , ,2.91,0.27, , , ,2,5
8,Jose Quintana,PIT,27.0,2.41,-8.98, ,1.52,-2.02, ,2.05, , , ,2,5
9,Zack Wheeler,PHI,32.2,2.20, ,-3.75,0.65,-2.74,1.17,1.23, , , ,2,5
10,Shane McClanahan,TBR,31.1,2.07, , , ,2.97,-0.56,2.51, , , ,2,5
11,Nestor Cortes,NYY,32.1,1.98,1.39, , ,5.29,1.52, , , , ,2,5
12,Jameson Taillon,NYY,31.1,1.92,-0.21, ,-0.81,7.18,1.02,1.46, , , ,2,5
13,Triston McKenzie,CLE,34.0,1.75, , , , ,1.74,0.79, , , ,2,5
14,Ian Anderson,ATL,28.1,1.74, , , ,-3.64, ,-0.21, , , ,2,5
15,Carlos Carrasco,NYM,30.0,1.65, , ,-3.86,0.44,-1.04,-4.52, , , ,2,5
16,Luis Severino,NYY,29.0,1.58,-6.58, , ,-1.79,1.90, , , , ,2,5
17,Gerrit Cole,NYY,33.2,1.47,3.61, , ,-3.03,3.26,-5.03, , , ,2,5
18,Aaron Nola,PHI,33.0,1.42,-9.66, ,2.16,-0.75, ,1.09, , , ,2,5
19,Frankie Montas,OAK,35.0,1.30, ,-0.37,2.95, ,1.66, , , , ,2,5
20,Charlie Morton,ATL,31.1,1.28, , ,-0.26,0.68,1.49,-1.79, , , ,2,5
21,Miles Mikolas,STL,31.0,1.11, , ,0.25,-5.78,0.75,-0.89,-1.35, , ,2,5
22,Yusei Kikuchi,TOR,26.2,1.10,5.94, , ,5.07,0.74, , , , ,2,5
23,Kevin Gausman,TOR,36.1,0.99, ,0.59, , ,0.01, , , , ,2,5
24,Dylan Cease,CHW,31.2,0.99, ,-5.94, , ,2.73,-7.39, , , ,2,5
25,Julio Urias,LAD,35.0,0.82, , , ,-2.59, ,-0.71, , , ,2,5
26,Logan Webb,SFG,31.0,0.73, , ,-0.63,2.87,1.10, , , , ,2,5
27,Jordan Lyles,BAL,37.0,0.69, , ,0.20,0.98,-1.05,1.74, , , ,2,5
28,Drew Rasmussen,TBR,28.2,0.59,1.62, , , ,-0.98,-0.28, , , ,2,5
29,Ranger Suarez,PHI,29.2,0.52, , ,1.15,-3.07,-5.58,-4.76, , , ,2,5
30,Logan Gilbert,SEA,36.2,0.40, , , ,2.01,0.25,0.82, , , ,2,5
