#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
31,Austin Gomber,COL,21.0,0.35, , , ,-4.49,2.58,1.74, , , ,1,4
32,Eric Lauer,MIL,23.1,0.32,1.64, , ,4.52,3.90,-0.96, , , ,1,4
33,Kevin Gausman,TOR,24.2,0.31, ,5.20, ,-3.48,0.98, , , , ,1,4
34,Miles Mikolas,STL,29.2,-0.05, , ,3.31,3.38,2.13,-0.71,17.31, , ,1,4
35,Adam Wainwright,STL,27.0,-0.08,-2.46, ,0.22,-1.79, ,0.71, , , ,1,4
36,Frankie Montas,OAK,29.2,-0.13, ,3.96,-1.88, ,1.35, , , , ,1,4
37,Shane Bieber,CLE,29.1,-0.24,7.04, , ,6.57,0.72,3.63, , , ,1,4
38,Luis Garcia,HOU,21.2,-0.36,-0.77, , ,5.99,-5.39,5.74, , , ,1,4
39,Chris Flexen,SEA,24.0,-0.39,3.17, , ,-2.10, ,-0.32, , , ,1,4
40,Max Fried,ATL,24.0,-0.75, , ,7.44,1.55,1.79,1.54, , , ,1,4
41,Gerrit Cole,NYY,24.0,-0.93,5.23, , ,2.09,-1.13,0.89, , , ,1,4
42,Martin Perez,TEX,21.0,-0.95,1.61, ,1.81,2.81, ,-1.49, , , ,1,4
43,Madison Bumgarner,ARI,23.0,-1.47,1.60, ,3.50,7.88, ,-2.57,-3.65, , ,1,4
44,Walker Buehler,LAD,24.2,-1.57,1.04, ,-3.10,4.59,1.61,4.39, , , ,1,4
45,Zach Plesac,CLE,21.1,-1.68, , ,-21.63,1.33,1.13,-0.47, , , ,1,4
46,Jesus Luzardo,MIA,20.1,-1.76, , ,2.74,0.91,2.13, , , , ,1,4
47,Joan Adon,WSN,23.1,-2.11, , ,2.47,0.38, ,-1.71, , , ,1,4
48,Tarik Skubal,DET,20.2,-2.19, , ,0.87,1.42,2.40,0.87, , , ,1,4
49,Jose Berrios,TOR,24.0,-2.92, , ,0.89,-3.11,0.15, , , , ,1,4
50,Shane McClanahan,TBR,27.0,-2.99, , , ,5.17,2.00,2.16, , , ,1,4
51,German Marquez,COL,21.0,-3.27, , ,2.97,3.45,0.75,-2.96, , , ,1,4
52,Elieser Hernandez,MIA,20.1,-3.38, , , ,-0.45,0.99, , , , ,1,4
53,Sean Manaea,SDP,30.0, , , ,1.30,1.37,1.26, , , , ,1,4
54,Corbin Burnes,MIL,25.2, ,2.19, ,-3.06,-0.18,-3.79,5.06, , , ,1,4
55,Dane Dunning,TEX,26.0, ,-0.24, ,0.29,-0.50,-0.54, , , , ,1,4
