#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
61,Jake Odorizzi,HOU,28.1,94,52,181,118,96,53,102,90,98,95,115,97,109,112,63,135,4,7
62,Pablo Lopez,MIA,31.0,104,101,103,79,106,103,99,96,104,96,118,100,95,98,117,81,4,7
63,Kyle Freeland,COL,29.0,86,69,126,113,88,70,107,97,102,84,120,97,91,117,106,84,4,7
64,Kyle Gibson,PHI,27.1,61,83,73,179,62,84,92,89,71,103,121,147,138,62,86,137,4,7
65,Marco Gonzales,SEA,31.1,44,47,94,80,43,46,132,115,116,97,124,112,128,121,92,98,4,7
66,Jordan Montgomery,NYY,29.1,120,91,132,171,118,89,107,106,107,99,127,112,83,112,96,98,4,7
67,Lucas Giolito,CHW,27.0,103,99,104,93,102,98,111,109,113,88,128,89,99,107,94,102,4,7
68,Joe Ryan,MIN,26.2,108,89,122,219,111,91,88,87,74,95,132,142,114,70,62,158,4,7
69,Sean Manaea,SDP,25.0,92,125,73,229,82,112,124,134,110,96,140,158,111,118,93,98,4,7
70,Andre Pallante,STL,26.1,103,54,191,124,100,52,139,125,141,99,141,95,67,107,134,55,4,7
71,Corey Kluber,TBR,32.0,94,46,202,52,91,45,118,105,121,81,145,77,97,142,83,98,4,7
72,Robbie Ray,SEA,25.0,145,95,154,234,143,93,118,115,126,110,146,130,61,125,113,73,4,7
73,Glenn Otto,TEX,29.2,83,120,69,141,80,115,107,110,98,91,148,138,124,63,122,95,4,7
74,Tyler Wells,BAL,25.0,107,83,129,167,107,83,111,105,108,90,149,117,101,111,74,123,4,7
75,Dylan Bundy,MIN,24.1,92,73,126,137,94,74,110,102,105,81,154,110,103,103,86,114,4,7
76,Sonny Gray,MIN,24.1,88,97,90,103,83,91,112,112,108,89,154,117,117,126,93,94,4,7
77,Zach Thompson,PIT,27.0,54,95,57,91,51,90,126,125,112,86,157,112,117,122,106,81,4,7
78,Patrick Sandoval,LAA,24.2,139,132,105,34,124,118,133,142,157,88,157,61,77,183,92,66,4,7
79,Josiah Gray,WSN,26.2,141,107,132,275,133,101,114,117,112,102,165,148,93,61,85,139,4,7
80,Lance Lynn,CHW,31.2,108,65,165,185,104,63,113,106,107,80,167,118,97,114,87,108,4,7
