#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
31,Rich Hill,BOS,27.0,103,88,117,62,105,90,106,101,112,101,73,77,82,133,109,73,3,2022-06-01
32,Michael Wacha,BOS,29.2,83,80,104,85,84,81,106,100,103,110,74,96,104,128,91,96,3,2022-06-01
33,Joe Musgrove,SDP,34.0,104,67,156,120,116,74,75,69,71,115,75,96,72,97,127,69,3,2022-06-01
34,Justin Steele,CHC,29.2,74,86,86,83,74,86,110,105,103,108,76,100,90,94,138,58,3,2022-06-01
35,Luis Castillo,CIN,30.1,110,122,90,54,106,117,91,101,98,99,76,82,101,89,107,98,3,2022-06-01
36,Andre Pallante,STL,30.1,52,113,46,81,54,119,99,98,87,115,76,120,104,90,152,44,3,2022-06-01
37,Marco Gonzales,SEA,31.0,62,134,46,108,64,137,81,93,69,117,78,130,122,91,117,86,3,2022-06-01
38,Shane Bieber,CLE,37.1,120,63,190,67,129,68,99,88,111,101,81,64,71,136,92,90,3,2022-06-01
39,Jeffrey Springs,TBR,26.2,128,67,193,157,130,67,108,99,113,127,82,101,73,112,95,99,3,2022-06-01
40,Kyle Wright,ATL,38.1,95,89,107,64,98,92,106,100,110,106,85,87,90,84,125,79,3,2022-06-01
41,Charlie Morton,ATL,30.2,153,74,206,133,158,77,86,82,100,114,85,86,56,128,105,78,3,2022-06-01
42,Corbin Burnes,MIL,28.2,149,99,150,114,149,99,87,90,100,104,85,83,73,108,90,107,3,2022-06-01
43,Luis Severino,NYY,30.0,143,99,144,111,155,107,75,77,84,106,86,80,73,70,98,118,3,2022-06-01
44,Frankie Montas,OAK,31.0,97,86,112,81,98,87,105,100,106,91,87,90,94,106,104,93,3,2022-06-01
45,Merrill Kelly,ARI,30.0,83,95,88,54,87,99,96,94,96,96,88,87,98,85,118,87,3,2022-06-01
46,Logan Gilbert,SEA,35.2,96,66,144,117,97,67,111,101,108,112,89,99,97,124,80,110,3,2022-06-01
47,Ranger Suarez,PHI,31.0,74,101,73,79,76,104,103,101,97,97,92,99,94,79,142,61,3,2022-06-01
48,Adam Wainwright,STL,32.0,91,53,171,51,92,54,124,107,127,106,94,76,83,166,93,72,3,2022-06-01
49,Jason Alexander,MIL,30.2,51,121,42,53,48,114,130,133,118,102,94,109,125,102,116,79,3,2022-06-01
50,Beau Brieske,DET,27.1,82,65,126,122,86,68,97,88,88,107,94,107,105,74,101,113,3,2022-06-01
51,Jordan Montgomery,NYY,32.0,77,46,166,78,80,48,96,82,91,99,95,91,93,104,122,73,3,2022-06-01
52,Jose Urquidy,HOU,29.1,77,91,84,171,79,94,84,84,67,109,95,135,116,97,88,116,3,2022-06-01
53,Sean Manaea,SDP,29.0,104,118,89,84,109,123,90,94,93,99,96,93,100,101,84,119,3,2022-06-01
54,Dane Dunning,TEX,33.2,67,105,63,74,67,106,104,102,97,106,96,112,118,74,131,79,3,2022-06-01
55,Tyler Anderson,LAD,28.1,70,70,99,58,73,73,95,86,90,93,96,94,116,87,96,112,3,2022-06-01
56,Kyle Hendricks,CHC,27.2,98,41,238,89,102,43,110,93,111,101,97,78,90,102,83,119,3,2022-06-01
57,Johnny Cueto,CHW,35.1,94,50,187,189,99,53,103,88,92,114,98,120,98,93,87,118,3,2022-06-01
58,Madison Bumgarner,ARI,31.0,87,92,95,79,79,83,133,134,131,101,99,99,108,112,101,92,3,2022-06-01
59,Martin Perez,TEX,30.0,100,89,112,56,91,81,130,130,134,105,100,78,96,116,106,85,3,2022-06-01
60,Rony Garcia,DET,25.1,80,82,98,165,85,86,95,88,81,106,102,132,123,123,54,139,3,2022-06-01
