#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Zac Gallen,ARI,40.0,115,71,161,0,137,85,63,59,79,125,16,45,67,65,132,82,5,8
2,Drew Smyly,CHC,30.0,87,57,153,27,94,62,84,73,87,131,22,69,109,118,58,140,5,8
3,Julio Urias,LAD,30.0,118,66,178,54,130,73,73,68,81,137,23,63,80,89,92,116,5,8
4,Patrick Sandoval,LAA,32.1,99,101,99,52,109,111,75,77,79,109,35,80,90,94,122,78,5,8
5,Shane Bieber,CLE,33.1,112,36,316,25,123,39,88,72,99,106,42,44,59,86,137,66,5,8
6,Drew Rasmussen,TBR,34.1,103,34,298,49,119,40,66,53,69,115,43,60,76,70,111,103,5,8
7,Chris Bassitt,NYM,33.1,69,43,161,0,70,44,106,89,106,115,43,68,95,90,129,71,5,8
8,Robbie Ray,SEA,33.0,133,99,135,76,149,111,70,73,81,128,44,73,72,100,100,100,5,8
9,Jordan Montgomery,STL,30.2,95,37,257,27,109,42,80,64,86,113,45,57,72,92,125,74,5,8
10,Edward Cabrera,MIA,28.1,121,130,93,58,133,143,57,72,63,121,48,84,90,66,111,105,5,8
11,Justin Verlander,HOU,28.0,122,42,289,0,137,47,75,63,91,100,50,31,69,73,106,107,5,8
12,Jacob deGrom,NYM,36.1,158,23,672,67,190,28,56,43,72,105,52,37,40,92,89,118,5,8
13,Framber Valdez,HOU,35.1,100,92,108,71,106,98,89,86,92,123,53,88,82,49,160,60,5,8
14,Domingo German,NYY,34.2,68,51,132,48,73,55,90,76,85,112,54,84,108,122,93,96,5,8
15,Cal Quantrill,CLE,38.0,76,62,122,66,86,70,66,61,61,112,55,87,103,87,99,108,5,8
16,Kyle Gibson,PHI,31.1,100,64,157,52,104,66,97,87,102,105,56,71,83,117,109,80,5,8
17,George Kirby,SEA,29.1,124,30,409,0,128,31,109,90,129,110,58,33,75,58,111,110,5,8
18,Dean Kremer,BAL,32.0,70,37,190,26,81,43,96,75,96,106,58,66,88,100,117,81,5,8
19,Freddy Peralta,MIL,29.2,81,96,84,110,90,107,56,63,45,120,60,108,119,44,82,153,5,8
20,Kyle Wright,ATL,32.0,98,62,157,128,106,68,91,81,87,128,61,100,74,73,136,72,5,8
21,Lance Lynn,CHW,36.2,122,24,506,137,133,26,86,67,87,123,63,84,70,82,107,102,5,8
22,Adam Wainwright,STL,39.2,81,65,126,21,85,67,91,83,93,107,64,70,103,88,101,106,5,8
23,Cristian Javier,HOU,32.0,120,83,144,131,130,90,72,72,70,125,66,95,97,89,59,152,5,8
24,Austin Voth,BAL,28.0,76,95,80,90,80,100,77,80,70,115,66,104,124,86,75,135,5,8
25,Brandon Woodruff,MIL,30.0,108,76,142,163,114,80,92,86,87,129,67,111,91,110,77,122,5,8
26,Sandy Alcantara,MIA,36.1,83,55,152,45,88,58,102,88,102,109,69,72,89,87,114,91,5,8
27,Kevin Gausman,TOR,36.2,122,32,379,68,131,35,102,83,115,110,70,56,71,120,85,106,5,8
28,Max Scherzer,NYM,40.2,113,49,230,40,119,51,89,77,99,104,70,62,98,61,74,153,5,8
29,Logan Webb,SFG,35.0,86,106,82,23,85,104,103,105,107,84,72,82,87,100,146,45,5,8
30,Blake Snell,SDP,32.0,150,62,241,77,151,63,101,93,123,111,73,56,62,137,75,110,5,8
