#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
61,Noah Syndergaard,PHI,30.2,61,46,132,53,62,47,125,107,116,95,108,81,104,146,81,97,5,2022-08-01
62,Joe Ryan,MIN,32.2,134,91,148,128,131,88,99,98,108,104,108,100,97,149,47,134,5,2022-08-01
63,Matt Manning,DET,32.1,93,92,101,103,91,90,110,109,108,104,109,101,111,115,77,118,5,2022-08-01
64,Martin Perez,TEX,34.0,116,165,70,98,109,155,104,122,110,101,109,106,97,114,117,74,5,2022-08-01
65,Joe Musgrove,SDP,34.0,107,33,321,120,106,33,112,94,113,96,109,95,90,65,108,110,5,2022-08-01
66,Cole Irvin,OAK,38.1,84,46,181,131,87,48,105,90,97,94,115,110,101,105,92,107,5,2022-08-01
67,Tommy Henry,ARI,31.2,76,144,53,77,73,139,106,116,101,99,118,118,127,98,96,106,5,2022-08-01
68,Corbin Burnes,MIL,33.2,108,101,107,121,108,101,91,93,91,86,119,110,94,92,115,86,5,2022-08-01
69,Spenser Watkins,BAL,30.2,73,39,190,109,74,39,105,91,96,90,121,101,103,91,104,100,5,2022-08-01
70,Jameson Taillon,NYY,31.2,84,65,129,211,89,69,87,81,68,92,125,138,97,85,109,97,5,2022-08-01
71,Mike Minor,CIN,33.0,69,78,90,124,66,74,119,114,107,97,126,113,120,92,96,109,5,2022-08-01
72,Ryan Feltner,COL,30.0,80,123,65,190,78,120,112,117,97,94,129,139,118,94,97,107,5,2022-08-01
73,Corey Kluber,TBR,29.2,86,20,433,197,86,20,117,97,103,106,132,129,101,105,79,121,5,2022-08-01
74,Luis Garcia,HOU,29.0,92,92,100,86,90,90,126,121,127,93,137,93,111,133,70,116,5,2022-08-01
75,Marco Gonzales,SEA,33.2,63,70,90,99,60,66,129,121,118,96,137,116,126,91,99,106,5,2022-08-01
76,Kris Bubic,KCR,31.0,79,134,59,108,72,122,140,147,133,96,138,120,118,145,90,88,5,2022-08-01
77,Tyler Alexander,DET,30.2,63,68,93,164,62,67,116,107,99,93,145,133,118,124,81,109,5,2022-08-01
78,Lucas Giolito,CHW,31.2,115,112,102,106,110,108,122,124,129,92,146,92,85,120,112,77,5,2022-08-01
79,Miles Mikolas,STL,36.0,69,32,220,159,70,32,113,96,98,79,148,121,93,111,109,84,5,2022-08-01
80,James Kaprielian,OAK,29.0,85,173,49,86,73,150,119,143,115,87,152,124,151,98,70,135,5,2022-08-01
81,Jose Urena,COL,29.0,65,147,44,169,60,136,123,135,106,90,154,144,128,80,117,90,5,2022-08-01
82,Kutter Crawford,BOS,29.2,97,130,75,169,90,120,135,140,131,83,185,136,122,103,81,119,5,2022-08-01
83,Alex Wood,SFG,30.0,111,47,235,163,104,44,117,104,116,68,212,125,100,98,91,111,5,2022-08-01
