#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
31,Jose Urena,COL,33.1,81,85,95,49,82,86,115,108,114,100,76,79,94,121,114,72,6,9
32,Jesus Luzardo,MIA,35.0,140,81,172,117,149,87,85,80,96,116,79,85,67,155,78,96,6,9
33,Corbin Burnes,MIL,43.2,115,52,220,75,128,58,85,72,92,99,82,70,61,108,128,62,6,9
34,Dean Kremer,BAL,42.0,64,113,56,80,64,114,103,105,95,106,83,113,124,100,101,99,6,9
35,Ross Stripling,TOR,33.1,80,36,226,100,85,38,89,74,82,104,84,90,106,101,76,127,6,9
36,Luis Cessa,CIN,37.0,76,92,82,110,80,97,88,87,78,103,85,106,113,82,97,113,6,9
37,Kyle Bradish,BAL,37.2,91,134,68,44,92,135,75,89,76,89,86,91,105,92,119,83,6,9
38,Alex Cobb,SFG,38.2,97,74,132,21,98,74,112,103,120,101,88,65,76,83,143,58,6,9
39,Lucas Giolito,CHW,33.2,111,114,97,50,112,115,90,95,99,102,89,79,93,152,92,82,6,9
40,Framber Valdez,HOU,37.1,126,87,144,45,122,85,108,107,123,90,94,59,58,99,152,42,6,9
41,Luis Castillo,SEA,33.2,121,79,153,74,122,80,94,90,103,92,94,77,85,51,119,104,6,9
42,Jameson Taillon,NYY,36.2,99,65,154,91,102,66,101,91,102,103,96,85,99,109,82,116,6,9
43,Taijuan Walker,NYM,34.2,117,57,204,118,121,59,98,88,102,104,96,86,76,83,106,103,6,9
44,Chris Bassitt,NYM,33.1,88,102,86,98,92,107,96,94,92,106,100,109,105,86,106,100,6,9
45,Bryse Wilson,PIT,33.1,75,85,88,122,76,87,96,91,86,104,100,121,118,94,94,110,6,9
46,Rich Hill,BOS,34.2,108,102,105,96,104,99,115,115,120,94,101,94,106,86,87,121,6,9
47,Pablo Lopez,MIA,34.0,98,67,147,96,103,70,100,90,101,97,108,91,88,83,110,97,6,9
48,Kevin Gausman,TOR,34.1,128,43,296,146,129,44,109,95,115,105,109,85,68,116,93,99,6,9
49,Glenn Otto,TEX,36.0,98,66,149,186,99,66,102,93,92,109,109,126,99,115,85,110,6,9
50,German Marquez,COL,35.0,89,106,85,163,89,105,99,101,88,97,111,125,112,57,111,111,6,9
51,Ranger Suarez,PHI,31.2,76,99,77,129,74,97,105,106,94,104,111,117,105,82,121,85,6,9
52,Jordan Montgomery,STL,33.0,104,78,134,124,103,77,110,104,109,97,112,100,83,112,106,87,6,9
53,Robbie Ray,SEA,33.1,103,80,128,201,99,77,121,115,114,117,117,138,112,93,78,128,6,9
54,Gerrit Cole,NYY,36.0,157,82,191,232,169,88,86,82,87,107,117,116,61,104,82,118,6,9
55,Merrill Kelly,ARI,42.2,103,87,118,210,107,91,96,92,83,108,118,138,94,106,85,115,6,9
56,Johnny Cueto,CHW,34.2,77,51,151,48,74,49,125,113,122,85,120,76,110,121,87,104,6,9
57,Eduardo Rodriguez,DET,41.0,81,79,102,163,79,78,108,103,96,103,120,131,106,82,116,91,6,9
58,Marco Gonzales,SEA,36.1,68,49,138,207,69,50,102,90,81,97,127,145,117,84,88,122,6,9
59,Tyler Alexander,DET,33.0,78,81,96,177,78,81,110,104,96,100,128,138,121,106,76,123,6,9
60,Nick Pivetta,BOS,32.1,106,174,61,181,98,161,114,133,110,109,129,146,117,100,98,102,6,9
