#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Dylan Cease,CHW,35.2,120,108,111,70,127,114,78,83,86,137,19,77,92,98,89,114,4,2022-07-01
2,Carlos Carrasco,NYM,30.0,94,85,110,27,102,93,107,96,116,132,24,69,83,99,121,75,4,2022-07-01
3,Tyler Anderson,LAD,32.1,77,53,147,25,87,59,79,68,80,120,28,67,96,84,104,105,4,2022-07-01
4,Reid Detmers,LAA,24.0,138,111,124,0,155,125,68,73,93,113,28,43,70,124,101,86,4,2022-07-01
5,Merrill Kelly,ARI,41.1,83,55,151,39,97,64,69,61,70,118,32,70,96,55,102,122,4,2022-07-01
6,Triston McKenzie,CLE,33.2,105,79,132,25,119,90,69,66,78,119,34,61,90,101,89,112,4,2022-07-01
7,Max Scherzer,NYM,32.1,145,35,412,50,158,38,80,65,100,127,37,47,70,138,42,149,4,2022-07-01
8,Luis Castillo,CIN,28.0,112,71,157,87,121,77,73,70,74,127,45,77,78,110,102,91,4,2022-07-01
9,Corbin Burnes,MIL,31.1,136,91,150,52,150,100,72,72,87,112,50,60,70,95,98,105,4,2022-07-01
10,Cole Irvin,OAK,34.0,69,26,265,25,81,30,66,52,65,93,50,64,108,73,80,136,4,2022-07-01
11,Brady Singer,KCR,30.2,146,106,138,55,158,114,90,89,116,116,51,63,66,119,107,82,4,2022-07-01
12,Max Fried,ATL,38.0,82,60,137,0,87,63,101,88,106,110,52,58,94,89,109,95,4,2022-07-01
13,Brandon Woodruff,MIL,30.0,132,104,127,0,137,108,86,89,108,111,52,45,84,104,80,122,4,2022-07-01
14,James Kaprielian,OAK,28.0,65,106,61,60,70,113,76,80,70,120,52,105,131,68,92,126,4,2022-07-01
15,Chris Flexen,SEA,27.2,70,128,54,91,69,128,85,95,76,129,53,121,130,129,80,107,4,2022-07-01
16,Sandy Alcantara,MIA,34.0,126,75,167,48,138,83,75,71,88,114,54,61,66,81,124,82,4,2022-07-01
17,Johnny Cueto,CHW,34.0,47,78,60,74,50,83,104,94,91,119,54,104,125,46,126,99,4,2022-07-01
18,Clayton Kershaw,LAD,32.1,106,26,403,25,118,29,79,63,88,86,56,47,70,74,119,91,4,2022-07-01
19,Zack Wheeler,PHI,32.2,89,52,171,100,101,59,79,67,73,118,61,89,89,114,90,104,4,2022-07-01
20,Kutter Crawford,BOS,28.0,99,42,235,60,110,47,83,68,86,105,63,68,92,137,61,125,4,2022-07-01
21,Kyle Wright,ATL,30.2,82,56,147,133,83,57,103,92,93,125,64,110,86,104,122,71,4,2022-07-01
22,Mitch Keller,PIT,31.0,94,55,171,105,100,58,107,91,106,120,65,94,81,127,107,77,4,2022-07-01
23,Logan Webb,SFG,38.1,73,82,90,64,77,86,96,90,91,109,65,96,93,83,135,67,4,2022-07-01
24,Spencer Strider,ATL,26.2,160,96,167,61,173,103,65,70,86,106,65,55,62,92,90,117,4,2022-07-01
25,Nestor Cortes,NYY,27.2,100,53,188,91,103,55,101,89,102,118,68,82,101,117,69,126,4,2022-07-01
26,Alex Cobb,SFG,36.0,93,71,130,23,96,73,90,85,95,97,70,67,74,100,142,50,4,2022-07-01
27,Jose Urquidy,HOU,33.0,81,72,113,76,90,80,72,68,67,104,71,89,114,77,77,138,4,2022-07-01
28,Blake Snell,SDP,25.2,162,166,98,95,161,164,83,104,105,121,72,82,80,120,68,127,4,2022-07-01
29,Julio Urias,LAD,28.0,101,41,247,87,110,44,77,64,76,108,73,83,94,53,101,124,4,2022-07-01
30,Eric Lauer,MIL,27.1,103,125,82,119,108,130,84,92,81,115,73,109,113,83,70,145,4,2022-07-01
