#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Carlos Rodon,SFG,23.0,7.0, , , , ,1.0,0.1, , , ,1,4
2,Alek Manoah,TOR,25.0,6.0, , ,0.3,-1.6,2.6, , , , ,1,4
3,Joe Ryan,MIN,23.0,5.8, , , ,0.3,1.2,0.6, , , ,1,4
4,Tylor Megill,NYM,28.0,5.7, , , ,-1.4,2.3,0.4, , , ,1,4
5,Justin Verlander,HOU,26.0,5.7, , , ,0.0,1.0,0.6, , , ,1,4
6,Logan Gilbert,SEA,22.1,4.9, , , ,0.8,0.3,0.9, , , ,1,4
7,Nathan Eovaldi,BOS,28.2,4.3,-1.6,-0.4, , ,-2.9,3.3, , , ,1,4
8,Dylan Cease,CHW,22.0,3.7, ,-1.2, , ,1.9,-0.7, , , ,1,4
9,Robbie Ray,SEA,30.1,3.2, , , ,0.7,-0.2,-1.1, , , ,1,4
10,Merrill Kelly,ARI,28.1,2.8,-0.2, ,0.8,3.1, ,-0.2, , , ,1,4
11,Max Scherzer,NYM,25.0,2.6,2.1, , ,0.6,3.4,0.3, , , ,1,4
12,Dylan Bundy,MIN,21.1,2.6, ,-0.7,-1.2, ,0.6,1.0, , , ,1,4
13,Cal Quantrill,CLE,22.0,2.5,0.5, ,0.1,0.3, ,0.4, , , ,1,4
14,Pablo Lopez,MIA,23.1,2.5,2.1, ,1.3,3.6, ,-0.4, , , ,1,4
15,Sandy Alcantara,MIA,25.1,2.4, , ,0.2,2.7,-0.9, , , , ,1,4
16,Clayton Kershaw,LAD,23.0,2.2, , ,-0.6,-0.5,4.7,1.0, , , ,1,4
17,Aaron Nola,PHI,27.2,2.2,0.7, ,0.0,-2.2, ,0.3, , , ,1,4
18,Zack Greinke,KCR,22.0,1.9, , ,-2.0,-0.6,2.9,1.3, , , ,1,4
19,Kyle Hendricks,CHC,24.2,1.6, , ,-2.4,-0.2, ,-2.0, , , ,1,4
20,Carlos Carrasco,NYM,22.0,1.4, , ,-2.1,3.2,0.9,0.2, , , ,1,4
21,Brad Keller,KCR,24.2,1.1, , ,0.8,1.4,4.0, , , , ,1,4
22,Yu Darvish,SDP,26.1,1.0,-0.1,1.5,-1.9,0.0,0.9,2.3, , , ,1,4
23,Tyler Mahle,CIN,22.1,0.9,-0.4,-2.6, , ,0.1, , , , ,1,4
24,Joe Musgrove,SDP,25.0,0.8,-1.4, ,0.8,0.8,3.0,1.0, , , ,1,4
25,Kyle Gibson,PHI,27.2,0.8,1.4, ,3.0,0.1,2.5,-2.6, , , ,1,4
26,Kyle Wright,ATL,24.0,0.7, , ,1.9,1.6,-0.1,3.9, , , ,1,4
27,Cole Irvin,OAK,27.2,0.5,-0.1, ,1.4,-0.7,0.0,-0.1, , , ,1,4
28,Kevin Gausman,TOR,24.2,0.5, ,5.9, ,-0.4,0.5, , , , ,1,4
29,Austin Gomber,COL,21.0,0.5, , , ,-2.1,2.8,0.8, , , ,1,4
30,Eric Lauer,MIL,23.1,0.4,1.2, , ,0.3,2.9,-0.7, , , ,1,4
