#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
61,Chad Kuhl,COL,29.1,-1.5, , ,-0.1,0.0,0.5,0.3,0.0, , ,3,2022-06-01
62,Michael Wacha,BOS,29.2,-1.5,0.3, ,1.0,0.9, ,-0.5, , , ,3,2022-06-01
63,Adrian Houser,MIL,30.0,-1.6, ,-0.5,-1.5, ,1.8,-2.5, , , ,3,2022-06-01
64,Logan Gilbert,SEA,35.2,-1.6, , , ,0.4,-1.9,3.9, , , ,3,2022-06-01
65,Rich Hill,BOS,27.0,-1.6,2.8, ,-0.1,-0.2,-1.0,0.9,0.2, , ,3,2022-06-01
66,Kyle Hendricks,CHC,27.2,-1.8, , ,1.3,-1.3, ,0.0, , , ,3,2022-06-01
67,JT Brubaker,PIT,34.1,-2.0, , ,-5.0,-1.2,-1.3,0.6, , , ,3,2022-06-01
68,Zach Plesac,CLE,30.0,-2.0, , , ,5.5,2.2,-1.4, , , ,3,2022-06-01
69,Jordan Lyles,BAL,28.2,-2.2, , ,-0.6,-2.4,-0.5,-0.5, , , ,3,2022-06-01
70,Dylan Cease,CHW,27.1,-2.2, ,-1.4, , ,8.4,-0.2, , , ,3,2022-06-01
71,Hunter Greene,CIN,29.2,-2.4, , , ,-1.4,3.3, , , , ,3,2022-06-01
72,Paul Blackburn,OAK,26.1,-2.4,-2.7, ,-2.3,0.9,0.8,-0.7, , , ,3,2022-06-01
73,Cal Quantrill,CLE,31.0,-2.5,-1.3, ,-0.4,-0.8, ,-0.5, , , ,3,2022-06-01
74,Charlie Morton,ATL,30.2,-3.1, , ,1.9,-1.4,-0.3,4.3, , , ,3,2022-06-01
75,Jameson Taillon,NYY,33.1,-3.3,0.0, ,0.5,-2.0,0.5,0.7, , , ,3,2022-06-01
76,Chris Flexen,SEA,33.0,-3.7,1.2, , ,0.2,1.3,0.0, , , ,3,2022-06-01
77,Triston McKenzie,CLE,29.1,-3.8, , , , ,-5.7,1.5, , , ,3,2022-06-01
78,Ranger Suarez,PHI,31.0,-3.8,0.1, ,4.1,0.9,0.5,-0.2, , , ,3,2022-06-01
79,Kyle Wright,ATL,38.1,-4.0, , ,2.6,2.1,-0.2,4.2, , , ,3,2022-06-01
80,Luis Garcia,HOU,27.2,-4.9,3.7, , ,0.2,1.6,0.8, , , ,3,2022-06-01
81,Madison Bumgarner,ARI,31.0,-5.4,-2.2, , ,-0.5, ,0.3, , , ,3,2022-06-01
82,Lucas Giolito,CHW,27.0,-5.7, , , ,-3.3,-0.7,-0.4, , , ,3,2022-06-01
83,Carlos Carrasco,NYM,29.2,-5.8, , ,0.1,-1.9,-0.5,-0.6, , , ,3,2022-06-01
84,Jose Berrios,TOR,28.2,-5.9, , ,1.2,1.0,-0.7, , , , ,3,2022-06-01
85,Ian Anderson,ATL,28.2,-9.0, , , ,3.4, ,-1.1, , , ,3,2022-06-01
86,Zach Davies,ARI,31.2, ,-1.5, ,2.1,4.5,0.0,-0.4, , , ,3,2022-06-01
87,Alex Wood,SFG,30.1, , , ,1.0,0.8,-0.4, , , , ,3,2022-06-01
88,Sean Manaea,SDP,29.0, , , ,1.0,-0.3,2.3, , , , ,3,2022-06-01
89,Brady Singer,KCR,28.2, , , ,-2.7,0.1,-1.7, , , , ,3,2022-06-01
