#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
31,Chris Bassitt,NYM,33.1,0.1,2.2, ,3.1,-1.0,-1.9,1.0, , , ,6,2022-09-01
32,Alex Cobb,SFG,38.2,0.0, ,0.1,0.5, , ,3.3, , , ,6,2022-09-01
33,German Marquez,COL,35.0,0.0, , ,-2.2,-0.4,-0.1,-0.4, , , ,6,2022-09-01
34,Framber Valdez,HOU,37.1,-0.1, , ,-1.3,1.1,1.5,0.7, , , ,6,2022-09-01
35,Corbin Burnes,MIL,43.2,-0.2,4.8, ,0.2,-1.1,2.8,1.6, , , ,6,2022-09-01
36,Shohei Ohtani,LAA,38.0,-0.4,2.8,-0.1,0.9, ,11.7,-0.2, , , ,6,2022-09-01
37,Mitch Keller,PIT,35.0,-0.6, , ,3.1,-0.7,5.3,-1.0, , , ,6,2022-09-01
38,Julio Urias,LAD,35.1,-0.6, , , ,2.1, ,4.4, , , ,6,2022-09-01
39,Miles Mikolas,STL,34.0,-0.8, , ,1.8,-1.4,3.4,0.0,0.2, , ,6,2022-09-01
40,Eduardo Rodriguez,DET,41.0,-0.8,3.4, ,-0.1,-3.3,-2.0, , , , ,6,2022-09-01
41,Tyler Alexander,DET,33.0,-0.8,2.4, ,-2.8,-2.3,-0.4, , , , ,6,2022-09-01
42,Ross Stripling,TOR,33.1,-0.9, , ,-0.2,3.6,2.1,-0.5, , , ,6,2022-09-01
43,Glenn Otto,TEX,36.0,-1.0,0.3, ,-1.6, ,2.1,-1.6, , , ,6,2022-09-01
44,Martin Perez,TEX,37.1,-1.2,1.1, ,0.6,3.4,0.1,0.6, , , ,6,2022-09-01
45,Jameson Taillon,NYY,36.2,-1.3,-0.4, ,-1.6,-1.6,2.7,3.0, , , ,6,2022-09-01
46,Lance McCullers Jr.,HOU,31.2,-1.4,0.3, ,-1.4,-0.3,4.7,1.9, , , ,6,2022-09-01
47,Nick Pivetta,BOS,32.1,-1.5, ,-1.9, , ,-0.2,-4.0, , , ,6,2022-09-01
48,Sandy Alcantara,MIA,43.0,-2.0, , ,-1.2,7.2,-0.3, , , , ,6,2022-09-01
49,Robbie Ray,SEA,33.1,-2.1, , ,-1.8,-0.9,1.7,-2.2, , , ,6,2022-09-01
50,Ranger Suarez,PHI,31.2,-2.2,1.1, ,-1.4,-0.6,0.3,-1.4, , , ,6,2022-09-01
51,Bryse Wilson,PIT,33.1,-2.3, ,0.2,1.9,0.0,-0.9,1.9, , , ,6,2022-09-01
52,Lucas Giolito,CHW,33.2,-2.3, , , ,3.7,2.7,-0.3, , , ,6,2022-09-01
53,Marcus Stroman,CHC,37.0,-2.4,1.2, ,1.4,0.3,2.8, , , , ,6,2022-09-01
54,Gerrit Cole,NYY,36.0,-2.4, , , ,-0.3,1.2,0.4, , , ,6,2022-09-01
55,Jon Heasley,KCR,33.1,-2.8, , , ,0.2,0.6,-0.5, , , ,6,2022-09-01
56,Taijuan Walker,NYM,34.2,-2.8,0.8,4.1,1.6, ,-2.2,0.3, , , ,6,2022-09-01
57,Brayan Bello,BOS,31.1,-3.1, , ,-1.7,2.4,1.5,-0.1, , , ,6,2022-09-01
58,Charlie Morton,ATL,31.2,-3.4, , ,0.2,-0.6,-2.6,0.0, , , ,6,2022-09-01
59,Cole Irvin,OAK,33.1,-3.6, , ,-2.5,4.8,-3.4,-1.4, , , ,6,2022-09-01
60,Rich Hill,BOS,34.2,-4.5,0.7, ,0.5,0.1,0.6,0.9, , , ,6,2022-09-01
