#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Zac Gallen,ARI,40.0,8.8,2.2, , ,4.0,1.7,-1.2, , , ,5,2022-08-01
2,Justin Verlander,HOU,28.0,8.7, , , ,-0.2,-0.3,2.3, , , ,5,2022-08-01
3,Jacob deGrom,NYM,36.1,7.8, , , ,0.0,6.2,0.6, , , ,5,2022-08-01
4,Drew Rasmussen,TBR,34.1,7.1,1.6, ,1.6, ,0.5,0.1, , , ,5,2022-08-01
5,George Kirby,SEA,29.1,6.2, , ,-1.2,-0.1,0.6,-1.2, , , ,5,2022-08-01
6,Luis Castillo,SEA,31.2,5.8, , ,-1.0,-1.6,0.5, , , , ,5,2022-08-01
7,Cole Irvin,OAK,38.1,5.5, , ,-3.2,-0.3,-0.5,-0.9, , , ,5,2022-08-01
8,Alek Manoah,TOR,29.2,5.5, , ,-0.7,-1.2,-1.1, , , , ,5,2022-08-01
9,Robbie Ray,SEA,33.0,5.1, , ,-1.0, ,3.1,0.0, , , ,5,2022-08-01
10,Joe Ryan,MIN,32.2,5.1, , , ,-1.7,-4.1,1.1, , , ,5,2022-08-01
11,Johnny Cueto,CHW,35.2,4.8,-1.9, ,-1.0,-0.5,0.1,1.8, , , ,5,2022-08-01
12,Jose Quintana,STL,29.1,4.7, , ,-0.1,-2.5, ,0.4, , , ,5,2022-08-01
13,Julio Urias,LAD,30.0,4.4, , , ,0.9, ,3.2, , , ,5,2022-08-01
14,Triston McKenzie,CLE,38.2,4.4, , , , ,-0.8,3.4, , , ,5,2022-08-01
15,Jordan Montgomery,STL,30.2,4.3, , ,1.9,1.8, ,1.6, , , ,5,2022-08-01
16,Blake Snell,SDP,32.0,4.1, , , ,-0.5,1.2,-2.2, , , ,5,2022-08-01
17,Jose Urquidy,HOU,31.2,4.0, , , ,1.5,-1.2,-0.9, , , ,5,2022-08-01
18,Max Scherzer,NYM,40.2,3.7,-0.8, , ,-2.7,5.3,2.2, , , ,5,2022-08-01
19,Daniel Lynch,KCR,32.0,3.3, , ,-1.0,0.1,-3.4,0.6, , , ,5,2022-08-01
20,Gerrit Cole,NYY,39.1,3.1, , , ,-2.0,5.3,-1.7, , , ,5,2022-08-01
21,Mike Clevinger,SDP,32.0,3.1,1.4, ,1.7,-1.3,-4.7,-0.9, , , ,5,2022-08-01
22,Eric Lauer,MIL,30.0,2.9,-0.5, , ,-2.7,-0.1,1.5, , , ,5,2022-08-01
23,Carlos Rodon,SFG,28.1,2.8, , , ,0.2,1.0,0.6, , , ,5,2022-08-01
24,Dean Kremer,BAL,32.0,2.7,4.4, ,-0.4,-0.5, ,1.2, , , ,5,2022-08-01
25,Kevin Gausman,TOR,36.2,2.6, ,5.1, , ,-1.5, , , , ,5,2022-08-01
26,Merrill Kelly,ARI,32.1,2.6,-0.7, ,1.4,0.9, ,-0.7, , , ,5,2022-08-01
27,Joe Musgrove,SDP,34.0,2.5,3.1, ,-0.5,-1.0,-2.9,-3.2, , , ,5,2022-08-01
28,Lance Lynn,CHW,36.2,2.2,-0.7, ,2.2,-1.2,2.9, , , , ,5,2022-08-01
29,Austin Voth,BAL,28.0,2.1,1.8, , ,0.1,1.0,-0.1, , , ,5,2022-08-01
30,Shane Bieber,CLE,33.1,2.0,0.4, , ,0.3,3.6,1.3, , , ,5,2022-08-01
