#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
31,Matt Manning,DET,32.1,2.0, , ,1.9,-3.4,0.0,-1.0, , , ,5,8
32,Freddy Peralta,MIL,29.2,1.9, , , ,2.1,-0.1,3.1, , , ,5,8
33,Jesus Luzardo,MIA,36.1,1.8, , ,0.8,7.3,-0.4, , , , ,5,8
34,Jeffrey Springs,TBR,27.2,1.8, , , ,1.1,2.3, , , , ,5,8
35,German Marquez,COL,31.0,1.8, , ,-0.8,-0.7,-2.7,3.1, , , ,5,8
36,Dylan Cease,CHW,30.1,1.7, ,0.0, , ,3.1,0.8, , , ,5,8
37,Domingo German,NYY,34.2,1.5, , ,1.7,1.9, ,1.8, , , ,5,8
38,Tyler Anderson,LAD,37.1,1.5,3.8, ,0.3,0.5, ,0.0, , , ,5,8
39,Cal Quantrill,CLE,38.0,1.2,7.2, ,0.8,0.0, ,2.2, , , ,5,8
40,Cristian Javier,HOU,32.0,1.2, , , ,-0.8,6.0,-0.3, , , ,5,8
41,Patrick Sandoval,LAA,32.1,1.0, , ,2.9,0.2,4.4,1.2, , , ,5,8
42,Corey Kluber,TBR,29.2,0.8,1.7, ,-2.3,0.7,-5.0, , , , ,5,8
43,Yu Darvish,SDP,33.1,0.7,-2.4,0.7,-0.4,0.1,2.6,1.1, , , ,5,8
44,Martin Perez,TEX,34.0,0.6,0.0, ,1.6,-4.2,0.1,-1.0, , , ,5,8
45,Nick Lodolo,CIN,28.2,0.5, , ,1.8,-0.7, ,-0.6, , , ,5,8
46,Miles Mikolas,STL,36.0,0.5, , ,-2.0,1.9,-3.9,0.5,0.0, , ,5,8
47,Jameson Taillon,NYY,31.2,0.4,1.4, ,-2.0,-2.3,-0.5,2.9, , , ,5,8
48,Alex Wood,SFG,30.0,0.3, , ,-0.4,-2.7,-2.5, , , , ,5,8
49,James Kaprielian,OAK,29.0,0.3, , ,-1.8,-2.9,-2.5,-0.7, , , ,5,8
50,Alex Cobb,SFG,29.0,0.2, ,1.2,0.9, , ,-0.6, , , ,5,8
51,Marcus Stroman,CHC,34.0,0.1,-2.1, ,2.2,-0.7,1.3,-0.7, , , ,5,8
52,Edward Cabrera,MIA,28.1,0.0, , ,1.1,2.7,1.7,2.8, , , ,5,8
53,Logan Webb,SFG,35.0,0.0,0.0, ,3.2,1.2,-4.2, , , , ,5,8
54,Corbin Burnes,MIL,33.2,0.0,4.3, ,-0.6,-1.7,-1.7,-0.9, , , ,5,8
55,Tyler Alexander,DET,30.2,0.0,-4.9, ,0.9,0.4,0.6, , , , ,5,8
56,Brady Singer,KCR,37.0,0.0, , ,1.5,0.6,1.8, , , , ,5,8
57,Mike Minor,CIN,33.0,-0.2, , ,0.2,1.1,-2.2,-2.7, , , ,5,8
58,Charlie Morton,ATL,30.1,-0.2, , ,0.0,0.4,-1.9,5.2, , , ,5,8
59,Framber Valdez,HOU,35.1,-0.3, , ,1.6,-0.4,3.1,2.0, , , ,5,8
60,Spenser Watkins,BAL,30.2,-0.4,-2.0, , ,0.3,4.5,-0.6, , , ,5,8
