#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Carlos Rodon,SFG,36.0,6.6, , , ,-0.3,3.9,0.3, , , ,3,2022-06-01
2,Justin Verlander,HOU,39.2,6.5, , , ,0.4,2.6,-0.2, , , ,3,2022-06-01
3,Jon Gray,TEX,37.2,6.4, , , ,0.7,3.7,-2.0, , , ,3,2022-06-01
4,Dean Kremer,BAL,28.0,6.3,2.0, , ,-1.8, ,-1.6, , , ,3,2022-06-01
5,Tyler Mahle,CIN,33.2,6.2,-1.3,-2.8, , ,-0.3, , , , ,3,2022-06-01
6,Gerrit Cole,NYY,29.2,6.0,-2.7, , ,-0.5,1.4,0.5, , , ,3,2022-06-01
7,Nick Pivetta,BOS,40.0,5.8, ,-1.7, , ,0.9,1.4, , , ,3,2022-06-01
8,Julio Urias,LAD,28.2,5.7, , , ,-2.6, ,2.4, , , ,3,2022-06-01
9,Aaron Nola,PHI,43.0,5.4,-0.1, ,3.2,-2.7, ,2.9, , , ,3,2022-06-01
10,Andre Pallante,STL,30.1,5.1, , ,-0.7, ,0.3,-0.9, , , ,3,2022-06-01
11,Zack Wheeler,PHI,29.2,4.0, ,0.5,2.5,-1.3,-2.3,-1.1, , , ,3,2022-06-01
12,Miles Mikolas,STL,34.0,2.9, , ,0.7,0.2,2.3,1.8,0.0, , ,3,2022-06-01
13,Merrill Kelly,ARI,30.0,2.2,-0.4, ,4.1,-0.9, ,-0.5, , , ,3,2022-06-01
14,Shane McClanahan,TBR,33.0,2.1, , , ,4.3,1.3,2.4, , , ,3,2022-06-01
15,Ross Stripling,TOR,28.1,2.0, , ,0.4,2.7,2.4,0.6, , , ,3,2022-06-01
16,Shohei Ohtani,LAA,29.2,2.0,-0.8,2.0, , ,2.5,0.7, , , ,3,2022-06-01
17,Tony Gonsolin,LAD,29.0,2.0, ,3.7, , ,3.7,-0.9, , , ,3,2022-06-01
18,Sandy Alcantara,MIA,47.2,1.8, , ,6.1,4.4,-1.8, , , , ,3,2022-06-01
19,Pablo Lopez,MIA,28.2,1.7,-3.0, ,0.2,-2.4, ,0.0, , , ,3,2022-06-01
20,Joe Musgrove,SDP,34.0,1.3,2.0, ,0.9,0.3,0.0,1.4, , , ,3,2022-06-01
21,Graham Ashcraft,CIN,33.0,1.3, , ,-1.9,-0.6,-1.2, , , , ,3,2022-06-01
22,Beau Brieske,DET,27.1,1.1, , ,0.4,0.3,-0.9,0.3, , , ,3,2022-06-01
23,Zac Gallen,ARI,25.2,1.1,-2.0, , ,-4.5,0.2,0.4, , , ,3,2022-06-01
24,Jose Quintana,PIT,30.0,1.1,0.0, ,-1.1,-2.2, ,-2.2, , , ,3,2022-06-01
25,Martin Perez,TEX,30.0,0.7,0.9, ,1.6,-4.4, ,-1.6, , , ,3,2022-06-01
26,Rony Garcia,DET,25.1,0.6, , ,0.5,0.1,-0.7, , , , ,3,2022-06-01
27,Alek Manoah,TOR,38.2,0.5, , ,3.7,0.8,2.1, , , , ,3,2022-06-01
28,Max Fried,ATL,33.1,0.5, , ,3.5,1.4,3.1,1.0, , , ,3,2022-06-01
29,Marco Gonzales,SEA,31.0,0.5,0.6, ,3.1,-1.0, ,1.6, , , ,3,2022-06-01
30,Luis Castillo,CIN,30.1,0.4, , ,-2.3,0.5,2.2, , , , ,3,2022-06-01
