Name,GS,Team,Type
Sean Hjelle,0.0,SFG,Reliever
Ryan Brasier,0.0,BOS,Reliever
Xzavion Curry,2.0,CLE,Reliever
Michael Pineda,11.0,DET,Reliever
Austin Davis,3.0,- - -,Reliever
Erick Fedde,27.0,WSN,Starter
Edwin Uceta,0.0,ARI,Reliever
Ryan Feltner,19.0,COL,Starter
Hansel Robles,0.0,BOS,Reliever
Kirby Snead,0.0,OAK,Reliever
Chi Chi Gonzalez,5.0,- - -,Reliever
Cole Sands,3.0,MIN,Reliever
Logan Allen,0.0,- - -,Reliever
Josh Winckowski,14.0,BOS,Starter
Ty Blach,1.0,COL,Reliever
Nick Wittgren,0.0,STL,Reliever
DL Hall,1.0,BAL,Reliever
Max Castillo,6.0,- - -,Reliever
Matthew Liberatore,7.0,STL,Reliever
Bruce Zimmermann,13.0,BAL,Starter
Shane Greene,0.0,- - -,Reliever
Ryan Burr,0.0,CHW,Reliever
Tanner Tully,0.0,CLE,Reliever
Mike Minor,19.0,CIN,Starter
Joe Kelly,1.0,CHW,Reliever
Trevor Kelley,0.0,MIL,Reliever
Adonis Medina,0.0,NYM,Reliever
Jeurys Familia,0.0,- - -,Reliever
Justin Dunn,7.0,CIN,Reliever
Dinelson Lamet,0.0,- - -,Reliever
Anderson Severino,0.0,CHW,Reliever
Robert Dugger,1.0,- - -,Reliever
Silvino Bracho,0.0,ATL,Reliever
Jesus Cruz,0.0,ATL,Reliever
Paul Fry,0.0,- - -,Reliever
Andrew Vasquez,0.0,- - -,Reliever
Adrian Martinez,12.0,OAK,Starter
Louis Head,0.0,- - -,Reliever
Adam Oller,14.0,OAK,Starter
Patrick Corbin,31.0,WSN,Starter
Reiver Sanmartin,4.0,CIN,Reliever
Elieser Hernandez,10.0,MIA,Reliever
Arodys Vizcaino,0.0,KCR,Reliever
Patrick Murphy,0.0,WSN,Reliever
Kaleb Ort,0.0,BOS,Reliever
Joel Kuhnel,0.0,CIN,Reliever
Chase Anderson,7.0,CIN,Reliever
Josh Fleming,3.0,TBR,Reliever
Shelby Miller,0.0,SFG,Reliever
Josh Sborz,1.0,TEX,Reliever
Josh Staumont,0.0,KCR,Reliever
Janson Junk,2.0,LAA,Reliever
Chasen Shreve,0.0,NYM,Reliever
Art Warren,0.0,CIN,Reliever
Collin Snider,0.0,KCR,Reliever
Luke Weaver,1.0,- - -,Reliever
Chase Silseth,7.0,LAA,Reliever
Aaron Sanchez,10.0,- - -,Reliever
T.J. McFarland,0.0,STL,Reliever
Anthony DeSclafani,5.0,SFG,Reliever
Drew VerHagen,0.0,STL,Reliever
Tucker Davidson,11.0,- - -,Reliever
Tayler Scott,0.0,SDP,Reliever
David McKay,0.0,- - -,Reliever
Reed Garrett,0.0,WSN,Reliever
Julian Merryweather,1.0,TOR,Reliever
Matt Reynolds,0.0,CIN,Reliever
Ian Hamilton,0.0,MIN,Reliever
Alejo Lopez,0.0,CIN,Reliever
Anthony Banda,1.0,- - -,Reliever
Rob Zastryzny,0.0,- - -,Reliever
Zach Logue,10.0,OAK,Reliever
Jake McGee,0.0,- - -,Reliever
Aaron Fletcher,0.0,PIT,Reliever
Jake Reed,0.0,- - -,Reliever
Ashton Goudeau,0.0,COL,Reliever
Joan Adon,14.0,WSN,Starter
Ethan Small,2.0,MIL,Reliever
Norge Ruiz,0.0,OAK,Reliever
Ronel Blanco,0.0,HOU,Reliever
Tyler Clippard,0.0,WSN,Reliever
Francisco Morales,0.0,PHI,Reliever
Thomas Szapucki,1.0,- - -,Reliever
Francisco Perez,0.0,WSN,Reliever
Elvis Peguero,0.0,LAA,Reliever
Kolby Allard,0.0,TEX,Reliever
Wil Myers,0.0,SDP,Reliever
Jose Marte,0.0,LAA,Reliever
Heath Hembree,0.0,- - -,Reliever
Carlos Hernandez,7.0,KCR,Reliever
Spencer Howard,8.0,TEX,Reliever
Anthony Castro,0.0,CLE,Reliever
Casey Lawrence,0.0,TOR,Reliever
Max Meyer,2.0,MIA,Reliever
Sergio Romo,0.0,- - -,Reliever
Chad Smith,0.0,COL,Reliever
Jhoulys Chacin,0.0,COL,Reliever
Vladimir Gutierrez,8.0,CIN,Reliever
Greg Holland,0.0,TEX,Reliever
Jake Hager,0.0,ARI,Reliever
Aaron Brooks,0.0,STL,Reliever
Carson Kelly,0.0,ARI,Reliever
Kevin Herget,0.0,TBR,Reliever
Raynel Espinal,0.0,CIN,Reliever
Gavin Hollowell,0.0,COL,Reliever
Jake Lemoine,0.0,OAK,Reliever
Sam Coonrod,0.0,PHI,Reliever
Kyle Muller,3.0,ATL,Reliever
Luis Patino,6.0,TBR,Reliever
Ethan Roberts,0.0,CHC,Reliever
Matt Koch,0.0,SEA,Reliever
James Norwood,0.0,PHI,Reliever
Jimmy Yacabonis,1.0,- - -,Reliever
Bennett Sousa,0.0,CHW,Reliever
Zac Lowther,0.0,BAL,Reliever
Sam Clay,0.0,- - -,Reliever
Domingo Tapia,0.0,OAK,Reliever
Foster Griffin,0.0,- - -,Reliever
Chris Devenski,0.0,- - -,Reliever
Sean Newcomb,1.0,- - -,Reliever
Miguel Yajure,1.0,PIT,Reliever
Cesar Valdez,0.0,LAA,Reliever
Chris Owings,0.0,BAL,Reliever
Tucker Barnhart,0.0,DET,Reliever
Robbie Erlin,0.0,LAD,Reliever
Michael A. Taylor,0.0,KCR,Reliever
Yolmer Sanchez,0.0,BOS,Reliever
Jackie Bradley Jr.,0.0,BOS,Reliever
Connor Sadzeck,0.0,MIL,Reliever
Jose Castillo,0.0,SDP,Reliever
Luis Gil,1.0,NYY,Reliever
Ray Kerr,0.0,SDP,Reliever
Sam Howard,0.0,PIT,Reliever
Dallas Keuchel,14.0,- - -,Starter
Kohei Arihara,4.0,TEX,Reliever
Lucas Sims,0.0,CIN,Reliever
Travis Lakins Sr.,0.0,BAL,Reliever
Damon Jones,0.0,PHI,Reliever
Alec Mills,2.0,CHC,Reliever
Jackson Kowar,0.0,KCR,Reliever
Ryan Weathers,1.0,SDP,Reliever
Andrew Nardi,0.0,MIA,Reliever
Daniel Duarte,0.0,CIN,Reliever
Kervin Castro,0.0,- - -,Reliever
Caleb Kilian,3.0,CHC,Reliever
Chris Ellis,2.0,BAL,Reliever
Cam Vieaux,0.0,PIT,Reliever
Luis Frias,0.0,ARI,Reliever
Elvin Rodriguez,5.0,DET,Reliever
A.J. Ladwig,0.0,MIA,Reliever
Jared Solomon,0.0,CIN,Reliever
Tommy Romero,2.0,- - -,Reliever
Alcides Escobar,0.0,WSN,Reliever
Bryce Montes de Oca,0.0,NYM,Reliever
Tyson Miller,2.0,TEX,Reliever
Phillip Diehl,0.0,CIN,Reliever
Luke Barker,0.0,MIL,Reliever
Connor Seabold,5.0,BOS,Reliever
Yennier Cano,0.0,- - -,Reliever
R.J. Alvarez,0.0,NYM,Reliever
A.J. Alexy,0.0,TEX,Reliever
Pedro Baez,0.0,HOU,Reliever
Chris Mazza,0.0,TBR,Reliever
Bryan Hoeing,1.0,MIA,Reliever
Yu Chang,0.0,TBR,Reliever
Austin Wynns,0.0,SFG,Reliever
Locke St. John,0.0,CHC,Reliever
Huascar Ynoa,2.0,ATL,Reliever
Stephen Strasburg,1.0,WSN,Reliever
Ryan McKenna,0.0,BAL,Reliever
Jake Walsh,0.0,STL,Reliever
Tayler Saucedo,0.0,TOR,Reliever
Zack Britton,0.0,NYY,Reliever
Cade Cavalli,1.0,WSN,Reliever
Cody Sedlock,0.0,BAL,Reliever
T.J. Zeuch,3.0,CIN,Reliever
Jose Butto,1.0,NYM,Reliever
Oliver Perez,0.0,ARI,Reliever
Garrett Stubbs,0.0,PHI,Reliever
Yadier Molina,0.0,STL,Reliever
Josh Harrison,0.0,CHW,Reliever
Whit Merrifield,0.0,TOR,Reliever
Brett Phillips,0.0,TBR,Reliever
Matt Dermody,0.0,CHC,Reliever
Hunter Dozier,0.0,KCR,Reliever
Frank Schwindel,0.0,CHC,Reliever
Mike Ford,0.0,ATL,Reliever
Bubby Rossman,0.0,PHI,Reliever
Nicky Lopez,0.0,KCR,Reliever
Shaun Anderson,0.0,TOR,Reliever
Ernie Clement,0.0,CLE,Reliever
Nicklaus Snyder,0.0,TEX,Reliever
Frank German,0.0,BOS,Reliever
Noah Davis,0.0,COL,Reliever
Hunter Gaddis,2.0,CLE,Reliever
Thomas Hatch,1.0,TOR,Reliever
Nick Maton,0.0,PHI,Reliever
Jerad Eickhoff,1.0,PIT,Reliever
Darwinzon Hernandez,0.0,BOS,Reliever
Nick Gordon,0.0,MIN,Reliever
JC Mejia,0.0,MIL,Reliever
Jake Brentz,0.0,KCR,Reliever
Dee Strange-Gordon,0.0,WSN,Reliever
Victor Caratini,0.0,MIL,Reliever
Chad Pinder,0.0,OAK,Reliever
Donovan Walton,0.0,SFG,Reliever
Albert Pujols,0.0,STL,Reliever
Diego Castillo,0.0,PIT,Reliever
Josh VanMeter,0.0,PIT,Reliever
Brendon Little,0.0,CHC,Reliever
Andrelton Simmons,0.0,CHC,Reliever
Max Schrock,0.0,CIN,Reliever
Brian Moran,0.0,LAA,Reliever
