Name,GS,Team,Type
Andres Munoz,0.0,SEA,Reliever
Hunter Harvey,0.0,WSN,Reliever
Camilo Doval,0.0,SFG,Reliever
Jorge Lopez,0.0,- - -,Reliever
Scott Effross,1.0,- - -,Reliever
Cristian Javier,25.0,HOU,Starter
Shane McClanahan,28.0,TBR,Starter
Zac Gallen,31.0,ARI,Starter
Clay Holmes,0.0,NYY,Reliever
Tyler Anderson,28.0,LAD,Starter
Wily Peralta,1.0,DET,Reliever
Collin McHugh,0.0,ATL,Reliever
Jaime Barria,1.0,LAA,Reliever
David Bednar,0.0,PIT,Reliever
Chase De Jong,0.0,PIT,Reliever
Spencer Strider,20.0,ATL,Starter
Lucas Luetge,0.0,NYY,Reliever
Paul Sewald,0.0,SEA,Reliever
Brooks Raley,0.0,TBR,Reliever
Trevor Stephan,0.0,CLE,Reliever
Michael Feliz,0.0,BOS,Reliever
Jake Cousins,0.0,MIL,Reliever
Cooper Criswell,1.0,TBR,Reliever
Tyler Cyr,0.0,- - -,Reliever
Wandy Peralta,0.0,NYY,Reliever
Connor Overton,4.0,CIN,Reliever
Eduard Bazardo,0.0,BOS,Reliever
Reynaldo Lopez,1.0,CHW,Reliever
Carl Edwards Jr.,0.0,WSN,Reliever
Zach Pop,0.0,- - -,Reliever
Dylan Coleman,0.0,KCR,Reliever
Brad Hand,0.0,PHI,Reliever
Adam Cimber,0.0,TOR,Reliever
Jalen Beeks,7.0,TBR,Reliever
Steven Okert,0.0,MIA,Reliever
Liam Hendriks,0.0,CHW,Reliever
Framber Valdez,31.0,HOU,Starter
Zack Wheeler,26.0,PHI,Starter
Andrew Chafin,0.0,DET,Reliever
David Phelps,1.0,TOR,Reliever
Peter Strzelecki,0.0,MIL,Reliever
Jose Leclerc,0.0,TEX,Reliever
Drew Rasmussen,28.0,TBR,Starter
Tommy Kahnle,0.0,LAD,Reliever
Joe Mantiply,0.0,ARI,Reliever
Shane Bieber,31.0,CLE,Starter
Carlos Rodon,31.0,SFG,Starter
Martin Perez,32.0,TEX,Starter
Logan Webb,32.0,SFG,Starter
Patrick Sandoval,27.0,LAA,Starter
Sam Moll,0.0,OAK,Reliever
Erasmo Ramirez,2.0,WSN,Reliever
Mason Thompson,0.0,WSN,Reliever
Jose Quintana,32.0,- - -,Starter
Joe Musgrove,30.0,SDP,Starter
Jhonathan Diaz,3.0,LAA,Reliever
Corbin Burnes,33.0,MIL,Starter
Nabil Crismatt,1.0,SDP,Reliever
Brad Boxberger,0.0,MIL,Reliever
Triston McKenzie,30.0,CLE,Starter
Jonathan Hernandez,0.0,TEX,Reliever
Ryan Pressly,0.0,HOU,Reliever
Penn Murfee,1.0,SEA,Reliever
Luis Castillo,25.0,- - -,Starter
Enoli Paredes,0.0,HOU,Reliever
Kyle Barraclough,0.0,LAA,Reliever
Chad Green,0.0,NYY,Reliever
Tyler Holton,0.0,ARI,Reliever
Seranthony Dominguez,0.0,PHI,Reliever
Zach Jackson,0.0,OAK,Reliever
Steven Brault,0.0,CHC,Reliever
Edward Cabrera,14.0,MIA,Starter
Ross Stripling,24.0,TOR,Starter
Dylan Floro,0.0,MIA,Reliever
Joey Wentz,7.0,DET,Reliever
Enyel De Los Santos,0.0,CLE,Reliever
Giovanny Gallegos,0.0,STL,Reliever
Brandon Woodruff,27.0,MIL,Starter
Chris Martin,0.0,- - -,Reliever
Dillon Tate,0.0,BAL,Reliever
Tanner Banks,0.0,CHW,Reliever
Steven Wilson,1.0,SDP,Reliever
Phoenix Sanders,0.0,TBR,Reliever
Jacob deGrom,11.0,NYM,Reliever
Sonny Gray,24.0,MIN,Starter
Huascar Brazoban,0.0,MIA,Reliever
Andrew Heaney,14.0,LAD,Starter
Yu Darvish,30.0,SDP,Starter
Yimi Garcia,0.0,TOR,Reliever
Adrian Sampson,19.0,CHC,Starter
Javier Assad,8.0,CHC,Reliever
Logan Gillaspie,0.0,BAL,Reliever
A.J. Puk,0.0,OAK,Reliever
Clarke Schmidt,3.0,NYY,Reliever
Brandon Hughes,0.0,CHC,Reliever
Tim Mayza,0.0,TOR,Reliever
Tanner Houck,4.0,BOS,Reliever
Andrew Kittredge,0.0,TBR,Reliever
Wade Miley,8.0,CHC,Reliever
Bryce Elder,9.0,ATL,Reliever
Andre Pallante,10.0,STL,Reliever
Luis Severino,19.0,NYY,Starter
Justin Steele,24.0,CHC,Starter
Chris Sale,2.0,BOS,Reliever
Jeremiah Estrada,0.0,CHC,Reliever
Cole Waites,0.0,SFG,Reliever
John Brebbia,11.0,SFG,Reliever
Jose Alvarado,0.0,PHI,Reliever
Kendall Graveman,0.0,CHW,Reliever
Kyle Wright,30.0,ATL,Starter
Keegan Akin,1.0,BAL,Reliever
Logan Gilbert,32.0,SEA,Starter
Trevor Williams,9.0,NYM,Reliever
Bailey Ober,11.0,MIN,Reliever
Johan Oviedo,8.0,- - -,Reliever
Andrew Wantz,1.0,LAA,Reliever
Brady Singer,24.0,KCR,Starter
Dean Kremer,21.0,BAL,Starter
Joel Payamps,0.0,- - -,Reliever
Aaron Nola,32.0,PHI,Starter
Jimmy Lambert,2.0,CHW,Reliever
Albert Abreu,0.0,- - -,Reliever
Anthony Bender,0.0,MIA,Reliever
Brusdar Graterol,1.0,LAD,Reliever
Connor Brogdon,0.0,PHI,Reliever
Gregory Soto,0.0,DET,Reliever
Miles Mikolas,32.0,STL,Starter
Manuel Rodriguez,0.0,CHC,Reliever
Tanner Rainey,0.0,WSN,Reliever
Andrew Bellatti,1.0,PHI,Reliever
Tyler Thornburg,0.0,- - -,Reliever
Jesus Luzardo,18.0,MIA,Starter
Michael Wacha,23.0,BOS,Starter
Domingo Acevedo,0.0,OAK,Reliever
Drew Smith,0.0,NYM,Reliever
Andres Machado,0.0,WSN,Reliever
Ralph Garza,0.0,TBR,Reliever
Kevin Gausman,31.0,TOR,Starter
Johnny Cueto,24.0,CHW,Starter
Griffin Jax,0.0,MIN,Reliever
Merrill Kelly,33.0,ARI,Starter
Blake Snell,24.0,SDP,Starter
John Means,2.0,BAL,Reliever
Adbert Alzolay,0.0,CHC,Reliever
Kenley Jansen,0.0,ATL,Reliever
Eli Morgan,1.0,CLE,Reliever
Jeff Brigham,0.0,MIA,Reliever
Zack Weiss,0.0,LAA,Reliever
Kevin Ginkel,0.0,ARI,Reliever
Mychal Givens,1.0,- - -,Reliever
Jordan Holloway,0.0,MIA,Reliever
Cal Quantrill,32.0,CLE,Starter
George Kirby,25.0,SEA,Starter
Michael Fulmer,0.0,- - -,Reliever
Luis Garcia,0.0,SDP,Reliever
Dany Jimenez,0.0,OAK,Reliever
Chris Bassitt,30.0,NYM,Starter
Corey Knebel,0.0,PHI,Reliever
Matt Manning,12.0,DET,Starter
Garrett Whitlock,9.0,BOS,Reliever
Ryan Pepiot,7.0,LAD,Reliever
Matt Bush,6.0,- - -,Reliever
Drew Smyly,22.0,CHC,Starter
Nick Martinez,10.0,SDP,Reliever
Carlos Estevez,0.0,COL,Reliever
Jordan Montgomery,32.0,- - -,Starter
Bryan Baker,2.0,BAL,Reliever
Caleb Thielbar,0.0,MIN,Reliever
Taijuan Walker,29.0,NYM,Starter
Joe Jimenez,0.0,DET,Reliever
Gerrit Cole,33.0,NYY,Starter
Tyler Matzek,0.0,ATL,Reliever
Marcus Stroman,25.0,CHC,Starter
Kyle Finnegan,0.0,WSN,Reliever
Tarik Skubal,21.0,DET,Starter
Roenis Elias,0.0,SEA,Reliever
Dereck Rodriguez,0.0,MIN,Reliever
Bryan Garcia,4.0,DET,Reliever
Michael Kopech,25.0,CHW,Starter
Joe Ryan,27.0,MIN,Starter
Richard Bleier,1.0,MIA,Reliever
Jharel Cotton,0.0,- - -,Reliever
Tim Hill,0.0,SDP,Reliever
Tyler Rogers,0.0,SFG,Reliever
Freddy Peralta,17.0,MIL,Starter
Braxton Garrett,17.0,MIA,Starter
Jose Cuas,0.0,KCR,Reliever
Nick Neidert,1.0,MIA,Reliever
Jhon Romero,0.0,MIN,Reliever
Simeon Woods Richardson,1.0,MIN,Reliever
Seth Lugo,0.0,NYM,Reliever
Domingo German,14.0,NYY,Starter
Ryan Tepera,0.0,LAA,Reliever
Sammy Long,6.0,SFG,Reliever
Beau Sulser,0.0,- - -,Reliever
Taylor Widener,0.0,ARI,Reliever
Diego Castillo,0.0,SEA,Reliever
Brandon Bielak,0.0,HOU,Reliever
Ranger Suarez,29.0,PHI,Starter
Nick Lodolo,19.0,CIN,Starter
Zack Greinke,26.0,KCR,Starter
Michael Plassmeyer,0.0,PHI,Reliever
Parker Mushinski,0.0,HOU,Reliever
Eric Lauer,29.0,MIL,Starter
Jackson Stephens,1.0,ATL,Reliever
Alex Lange,0.0,DET,Reliever
Oliver Ortega,0.0,LAA,Reliever
Adam Wainwright,32.0,STL,Starter
Devin Smeltzer,12.0,MIN,Starter
Robbie Ray,32.0,SEA,Starter
Luis Garcia,28.0,HOU,Starter
