#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
295,Vince Velasquez,CHW,3,3,0,27,9,75.1,8.24,2.99,1.31,.269,66.6%,35.7%,10.2%,93.3,4.78,4.65,4.25,4.48,0.4
198,Scott Barlow,KCR,7,4,24,69,0,74.1,9.32,2.66,1.09,.240,83.9%,47.6%,13.0%,93.7,2.18,2.96,3.62,3.42,0.9
871,Adam Oller,OAK,2,8,0,19,14,74.1,5.57,4.72,2.06,.279,68.5%,31.6%,13.4%,93.5,6.30,5.82,6.50,6.06,-1.1
131,Matt Moore,TEX,5,2,5,63,0,74.0,10.09,4.62,0.36,.257,81.1%,43.9%,4.2%,94.0,1.95,2.83,2.98,3.87,1.3
277,Dillon Tate,BAL,4,4,5,67,0,73.2,7.33,1.95,0.73,.251,71.2%,57.4%,12.2%, ,3.05,3.15,3.48,3.41,0.5
863,Bruce Zimmermann,BAL,2,5,0,15,13,73.2,5.99,1.47,2.57,.322,72.3%,39.8%,20.4%,90.8,5.99,6.53,6.06,4.42,-0.8
56,Emmanuel Clase,CLE,3,4,42,77,0,72.2,9.54,1.24,0.37,.222,72.3%,63.9%,8.3%, ,1.36,1.97,1.98,2.18,2.4
147,Andrew Heaney,LAD,4,4,0,16,14,72.2,13.62,2.35,1.73,.291,78.9%,34.5%,17.9%,93.0,3.10,3.39,3.75,2.83,1.1
193,Griffin Jax,MIN,7,4,1,65,0,72.1,9.71,2.49,0.87,.269,72.3%,47.3%,10.1%,95.4,3.36,3.17,3.17,3.32,0.9
237,Domingo German,NYY,2,5,0,15,14,72.1,7.22,2.36,1.37,.262,78.5%,39.8%,12.1%,92.7,3.61,3.78,4.44,4.33,0.7
334,Edward Cabrera,MIA,6,4,0,14,14,71.2,9.42,4.14,1.26,.207,86.1%,45.3%,15.4%,96.0,3.01,4.05,4.59,4.12,0.3
751,Chase De Jong,PIT,6,3,1,42,0,71.2,7.41,3.77,1.26,.222,86.3%,33.5%,10.2%,93.0,2.64,3.89,4.75,4.96,-0.2
798,Jason Alexander,MIL,2,3,0,18,11,71.2,5.78,3.52,1.51,.329,70.7%,50.6%,18.2%,93.1,5.40,5.49,5.35,4.53,-0.3
203,Jorge Lopez,- - -,4,7,23,67,0,71.0,9.13,3.93,0.51,.266,76.1%,57.8%,8.3%,97.3,2.54,3.31,3.42,3.69,0.8
190,Adam Cimber,TOR,10,6,4,77,0,70.2,7.39,1.66,0.76,.288,75.1%,41.8%,8.3%,86.4,2.80,3.64,3.47,3.87,0.9
136,Anthony Bass,- - -,4,3,0,73,0,70.1,9.34,2.56,0.77,.256,89.5%,41.2%,8.7%,95.0,1.54,3.03,3.00,3.34,1.3
580,Josh Winckowski,BOS,5,7,0,15,14,70.1,5.63,3.45,1.28,.322,67.0%,51.9%,13.9%,93.8,5.89,4.84,4.95,4.61,0.0
683,Devin Smeltzer,MIN,5,2,0,15,12,70.1,5.12,2.43,1.66,.252,82.8%,38.6%,12.7%,89.4,3.71,4.34,5.23,4.98,-0.1
72,A.J. Minter,ATL,5,4,5,75,0,70.0,12.09,1.93,0.64,.286,76.7%,38.5%,7.1%,96.6,2.06,2.39,2.13,2.68,2.1
204,MacKenzie Gore,SDP,4,4,0,16,13,70.0,9.26,4.76,0.90,.312,74.1%,37.6%,9.2%,94.8,4.50,5.21,4.11,4.42,0.8
264,JP Sears,- - -,6,3,0,17,11,70.0,6.56,2.96,1.03,.289,75.5%,40.5%,9.2%,93.2,3.86,4.49,4.21,4.57,0.5
860,Caleb Smith,ARI,1,3,0,44,1,70.0,8.36,5.01,1.80,.235,80.1%,30.9%,13.6%,91.8,4.11,3.86,5.57,5.15,-0.8
129,Bryan Baker,BAL,4,3,1,66,2,69.2,9.82,3.36,0.39,.311,70.8%,42.4%,4.6%,96.4,3.49,3.22,2.74,3.56,1.4
122,Collin McHugh,ATL,3,2,0,58,0,69.1,9.74,1.82,0.65,.266,79.4%,39.9%,7.2%,91.3,2.60,3.05,2.71,3.25,1.4
214,Jesse Chavez,- - -,4,3,0,60,1,69.1,9.61,2.60,1.04,.333,71.8%,38.8%,11.9%,91.0,3.76,4.31,3.39,3.32,0.7
226,Penn Murfee,SEA,4,0,0,64,1,69.1,9.87,2.34,0.91,.243,77.3%,34.3%,8.2%,89.0,2.99,2.64,3.10,3.60,0.7
737,Anibal Sanchez,WSN,4,6,0,14,14,69.1,6.23,4.28,1.69,.216,78.6%,37.9%,14.3%,89.4,4.28,4.65,5.77,5.27,-0.2
101,Jimmy Herget,LAA,1,1,9,49,1,69.0,8.22,1.96,0.52,.243,76.2%,40.1%,6.1%,92.3,2.48,2.92,2.82,3.49,1.6
166,Nick Nelson,PHI,3,2,1,47,2,68.2,9.04,4.72,0.13,.332,65.0%,39.8%,1.3%,96.5,4.85,3.64,3.04,4.47,1.0
106,Rafael Montero,HOU,5,2,14,71,0,68.1,9.61,3.03,0.40,.260,73.7%,52.9%,5.7%,96.5,2.37,2.70,2.64,3.22,1.5
191,John Brebbia,SFG,6,2,0,76,11,68.0,7.15,2.38,0.66,.314,75.9%,36.3%,5.2%,94.3,3.18,3.49,3.32,4.48,0.9
309,Dylan Coleman,KCR,5,2,0,68,0,68.0,9.40,4.90,0.66,.247,77.1%,41.4%,7.5%,97.7,2.78,3.78,3.88,4.38,0.4
108,Jhoan Duran,MIN,2,4,8,57,0,67.2,11.84,2.13,0.80,.291,89.3%,61.0%,17.6%,100.9,1.86,2.20,2.52,2.11,1.5
143,Camilo Doval,SFG,6,6,27,68,0,67.2,10.64,3.99,0.53,.296,73.7%,56.4%,10.5%, ,2.53,2.90,2.98,3.04,1.2
