#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
71,Luis Garcia,HOU,15,8,0,28,28,157.1,8.98,2.69,1.32,.260,74.3%,37.6%,12.1%,94.1,3.72,3.59,3.93,3.82,2.1
59,Ranger Suarez,PHI,10,7,0,29,29,155.1,7.47,3.36,0.87,.293,71.8%,55.4%,11.8%,93.3,3.65,3.78,3.87,3.82,2.3
30,Brandon Woodruff,MIL,13,4,0,27,27,153.1,11.15,2.47,1.06,.285,78.6%,37.6%,11.0%,96.4,3.05,3.15,3.08,3.14,3.5
45,Brady Singer,KCR,10,5,0,27,24,153.1,8.80,2.05,1.06,.300,79.6%,49.0%,14.0%,92.4,3.23,3.97,3.58,3.30,2.9
199,Dane Dunning,TEX,4,8,0,29,29,153.1,8.04,3.64,1.17,.313,74.4%,53.3%,15.2%,89.0,4.46,4.49,4.45,4.03,0.9
17,Zack Wheeler,PHI,12,7,0,26,26,153.0,9.59,2.00,0.76,.287,77.1%,45.9%,9.8%,96.1,2.82,3.10,2.89,3.06,4.1
200,Patrick Corbin,WSN,6,19,0,31,31,152.2,7.55,2.89,1.59,.365,64.4%,44.2%,15.6%,92.1,6.31,6.41,4.84,4.21,0.8
57,Carlos Carrasco,NYM,15,7,0,29,29,152.0,9.00,2.43,1.01,.337,74.7%,46.0%,12.1%,93.3,3.97,4.08,3.53,3.45,2.4
24,Luis Castillo,- - -,8,6,0,25,25,150.1,10.00,2.69,0.78,.275,75.3%,46.9%,10.0%,97.1,2.99,3.31,3.07,3.23,3.7
25,Alex Cobb,SFG,7,8,0,28,28,149.2,9.08,2.59,0.54,.336,68.0%,61.5%,10.2%,95.3,3.73,3.17,2.80,2.89,3.7
23,Patrick Sandoval,LAA,6,9,0,27,27,148.2,9.14,3.63,0.48,.316,76.8%,47.4%,6.3%,93.2,2.91,3.91,3.09,3.67,3.8
32,Cristian Javier,HOU,11,9,0,30,25,148.2,11.74,3.15,1.03,.228,83.6%,26.0%,9.1%,93.9,2.54,2.43,3.16,3.53,3.4
845,Josiah Gray,WSN,7,10,0,28,28,148.2,9.32,4.00,2.30,.256,80.4%,33.0%,18.6%,94.4,5.02,4.25,5.86,4.57,-0.6
70,Joe Ryan,MIN,13,8,0,27,27,147.0,9.24,2.88,1.22,.253,77.8%,27.7%,9.5%,92.0,3.55,3.57,3.99,4.35,2.1
42,Drew Rasmussen,TBR,11,7,0,28,28,146.0,7.71,1.91,0.80,.262,76.0%,46.6%,9.0%,95.7,2.84,3.46,3.26,3.56,2.9
