Name,Team,Type,NewTeamoffSeason21,NewTeamDeadline22,NewTeam,OldTeam
Michael King,NYY,Reliever,No,No,No,
Ronny Henriquez,MIN,Reliever,No,No,No,
Sam Hentges,CLE,Reliever,No,No,No,
Gabe Speier,KCR,Reliever,No,No,No,
Shohei Ohtani,LAA,Starter,No,No,No,
Denyi Reyes,BAL,Reliever,No,No,No,
Aaron Bummer,CHW,Reliever,No,No,No,
Alex Young,SFG,Reliever,No,Yes,Yes,CLE
Rafael Montero,HOU,Reliever,No,No,No,
David Robertson,PHI,Reliever,No,Yes,Yes,CHC
Junior Fernandez,PIT,Reliever,No,Yes,Yes,STL
Tommy Hunter,NYM,Reliever,No,No,No,
JT Chargois,TBR,Reliever,No,No,No,
Nestor Cortes,NYY,Starter,No,No,No,
David Price,LAD,Reliever,No,No,No,
Miguel Diaz,DET,Reliever,No,No,No,
Stephen Nogosek,NYM,Reliever,No,No,No,
Justin Wilson,CIN,Reliever,No,No,No,
Jeffrey Springs,TBR,Starter,No,No,No,
Raisel Iglesias,ATL,Reliever,No,Yes,Yes,LAA
Max Fried,ATL,Starter,No,No,No,
Jimmy Herget,LAA,Reliever,No,No,No,
Andres Munoz,SEA,Reliever,No,No,No,
Hunter Harvey,WSN,Reliever,No,No,No,
Camilo Doval,SFG,Reliever,No,No,No,
Jorge Lopez,MIN,Reliever,No,Yes,Yes,BAL
Scott Effross,NYY,Reliever,No,Yes,Yes,CHC
Cristian Javier,HOU,Starter,No,No,No,
Shane McClanahan,TBR,Starter,No,No,No,
Zac Gallen,ARI,Starter,No,No,No,
Clay Holmes,NYY,Reliever,No,No,No,
Tyler Anderson,LAD,Starter,Yes,No,Yes,
Wily Peralta,DET,Reliever,No,No,No,
Collin McHugh,ATL,Reliever,No,No,No,
Jaime Barria,LAA,Reliever,No,No,No,
David Bednar,PIT,Reliever,No,No,No,
Chase De Jong,PIT,Reliever,No,No,No,
Spencer Strider,ATL,Starter,No,No,No,
Lucas Luetge,NYY,Reliever,No,No,No,
Paul Sewald,SEA,Reliever,No,No,No,
Brooks Raley,TBR,Reliever,No,No,No,
Trevor Stephan,CLE,Reliever,No,No,No,
Michael Feliz,BOS,Reliever,No,No,No,
Jake Cousins,MIL,Reliever,No,No,No,
Cooper Criswell,TBR,Reliever,No,No,No,
Tyler Cyr,OAK,Reliever,No,Yes,Yes,PHI
Wandy Peralta,NYY,Reliever,No,No,No,
Connor Overton,CIN,Reliever,No,No,No,
Eduard Bazardo,BOS,Reliever,No,No,No,
Reynaldo Lopez,CHW,Reliever,No,No,No,
Carl Edwards Jr.,WSN,Reliever,No,No,No,
Zach Pop,TOR,Reliever,No,Yes,Yes,MIA
Dylan Coleman,KCR,Reliever,No,No,No,
Brad Hand,PHI,Reliever,No,No,No,
Adam Cimber,TOR,Reliever,No,No,No,
Jalen Beeks,TBR,Reliever,No,No,No,
Steven Okert,MIA,Reliever,No,No,No,
Liam Hendriks,CHW,Reliever,No,No,No,
Framber Valdez,HOU,Starter,No,No,No,
Zack Wheeler,PHI,Starter,No,No,No,
Andrew Chafin,DET,Reliever,No,No,No,
David Phelps,TOR,Reliever,No,No,No,
Peter Strzelecki,MIL,Reliever,No,No,No,
Jose Leclerc,TEX,Reliever,No,No,No,
Drew Rasmussen,TBR,Starter,No,No,No,
Tommy Kahnle,LAD,Reliever,No,No,No,
Joe Mantiply,ARI,Reliever,No,No,No,
Shane Bieber,CLE,Starter,No,No,No,
Carlos Rodon,SFG,Starter,No,No,No,
Martin Perez,TEX,Starter,No,No,No,
Logan Webb,SFG,Starter,No,No,No,
Patrick Sandoval,LAA,Starter,No,No,No,
Sam Moll,OAK,Reliever,No,No,No,
Erasmo Ramirez,WSN,Reliever,No,No,No,
Mason Thompson,WSN,Reliever,No,No,No,
Jose Quintana,STL,Starter,No,Yes,Yes,PIT
Joe Musgrove,SDP,Starter,No,No,No,
Jhonathan Diaz,LAA,Reliever,No,No,No,
Corbin Burnes,MIL,Starter,No,No,No,
Nabil Crismatt,SDP,Reliever,No,No,No,
Brad Boxberger,MIL,Reliever,No,No,No,
Triston McKenzie,CLE,Starter,No,No,No,
Jonathan Hernandez,TEX,Reliever,No,No,No,
Ryan Pressly,HOU,Reliever,No,No,No,
Penn Murfee,SEA,Reliever,No,No,No,
Luis Castillo,SEA,Starter,No,Yes,Yes,CIN
Enoli Paredes,HOU,Reliever,No,No,No,
Kyle Barraclough,LAA,Reliever,No,No,No,
Chad Green,NYY,Reliever,No,No,No,
Tyler Holton,ARI,Reliever,No,No,No,
Seranthony Dominguez,PHI,Reliever,No,No,No,
Zach Jackson,OAK,Reliever,No,No,No,
Steven Brault,CHC,Reliever,Yes,No,Yes,
Edward Cabrera,MIA,Starter,No,No,No,
Ross Stripling,TOR,Starter,No,No,No,
Dylan Floro,MIA,Reliever,No,No,No,
Joey Wentz,DET,Reliever,No,No,No,
Enyel De Los Santos,CLE,Reliever,No,No,No,
Giovanny Gallegos,STL,Reliever,No,No,No,
Brandon Woodruff,MIL,Starter,No,No,No,
Chris Martin,LAD,Reliever,No,Yes,Yes,CHC
Dillon Tate,BAL,Reliever,No,No,No,
Tanner Banks,CHW,Reliever,No,No,No,
Steven Wilson,SDP,Reliever,No,No,No,
Phoenix Sanders,TBR,Reliever,No,No,No,
Jacob deGrom,NYM,Reliever,No,No,No,
Sonny Gray,MIN,Starter,No,No,No,
Huascar Brazoban,MIA,Reliever,No,No,No,
Andrew Heaney,LAD,Starter,Yes,No,Yes,
Yu Darvish,SDP,Starter,No,No,No,
Yimi Garcia,TOR,Reliever,No,No,No,
Adrian Sampson,CHC,Starter,No,No,No,
Javier Assad,CHC,Reliever,No,No,No,
Logan Gillaspie,BAL,Reliever,No,No,No,
A.J. Puk,OAK,Reliever,No,No,No,
Clarke Schmidt,NYY,Reliever,No,No,No,
Brandon Hughes,CHC,Reliever,No,No,No,
Tim Mayza,TOR,Reliever,No,No,No,
Tanner Houck,BOS,Reliever,No,No,No,
Andrew Kittredge,TBR,Reliever,No,No,No,
Wade Miley,CHC,Reliever,No,No,No,
Bryce Elder,ATL,Reliever,No,No,No,
Andre Pallante,STL,Reliever,No,No,No,
Luis Severino,NYY,Starter,No,No,No,
Justin Steele,CHC,Starter,No,No,No,
Chris Sale,BOS,Reliever,No,No,No,
Jeremiah Estrada,CHC,Reliever,No,No,No,
Cole Waites,SFG,Reliever,No,No,No,
John Brebbia,SFG,Reliever,No,No,No,
Jose Alvarado,PHI,Reliever,No,No,No,
Kendall Graveman,CHW,Reliever,No,No,No,
Kyle Wright,ATL,Starter,No,No,No,
Keegan Akin,BAL,Reliever,No,No,No,
Logan Gilbert,SEA,Starter,No,No,No,
Trevor Williams,NYM,Reliever,No,No,No,
Bailey Ober,MIN,Reliever,No,No,No,
Johan Oviedo,PIT,Reliever,No,Yes,Yes,STL
Andrew Wantz,LAA,Reliever,No,No,No,
Brady Singer,KCR,Starter,No,No,No,
Dean Kremer,BAL,Starter,No,No,No,
Joel Payamps,OAK,Reliever,No,Yes,Yes,KCR
Aaron Nola,PHI,Starter,No,No,No,
Jimmy Lambert,CHW,Reliever,No,No,No,
Albert Abreu,NYY,Reliever,No,Yes,Yes,KCR
Anthony Bender,MIA,Reliever,No,No,No,
Brusdar Graterol,LAD,Reliever,No,No,No,
Connor Brogdon,PHI,Reliever,No,No,No,
Gregory Soto,DET,Reliever,No,No,No,
Miles Mikolas,STL,Starter,No,No,No,
Manuel Rodriguez,CHC,Reliever,No,No,No,
Tanner Rainey,WSN,Reliever,No,No,No,
Andrew Bellatti,PHI,Reliever,No,No,No,
Tyler Thornburg,MIN,Reliever,No,Yes,Yes,ATL
Jesus Luzardo,MIA,Starter,No,No,No,
Michael Wacha,BOS,Starter,Yes,No,Yes,
Domingo Acevedo,OAK,Reliever,No,No,No,
Drew Smith,NYM,Reliever,No,No,No,
Andres Machado,WSN,Reliever,No,No,No,
Ralph Garza,TBR,Reliever,No,No,No,
Kevin Gausman,TOR,Starter,Yes,No,Yes,
Johnny Cueto,CHW,Starter,Yes,No,Yes,
Griffin Jax,MIN,Reliever,No,No,No,
Merrill Kelly,ARI,Starter,No,No,No,
Blake Snell,SDP,Starter,No,No,No,
John Means,BAL,Reliever,No,No,No,
Adbert Alzolay,CHC,Reliever,No,No,No,
Kenley Jansen,ATL,Reliever,No,No,No,
Eli Morgan,CLE,Reliever,No,No,No,
Jeff Brigham,MIA,Reliever,No,No,No,
Zack Weiss,LAA,Reliever,No,No,No,
Kevin Ginkel,ARI,Reliever,No,No,No,
Mychal Givens,NYM,Reliever,No,Yes,Yes,CHC
Jordan Holloway,MIA,Reliever,No,No,No,
Cal Quantrill,CLE,Starter,No,No,No,
George Kirby,SEA,Starter,No,No,No,
Michael Fulmer,MIN,Reliever,No,Yes,Yes,DET
Luis Garcia (SDP),SDP,Reliever,Yes,No,Yes,
Dany Jimenez,OAK,Reliever,No,No,No,
Chris Bassitt,NYM,Starter,No,No,No,
Corey Knebel,PHI,Reliever,No,No,No,
Matt Manning,DET,Starter,No,No,No,
Garrett Whitlock,BOS,Reliever,No,No,No,
Ryan Pepiot,LAD,Reliever,No,No,No,
Matt Bush,MIL,Reliever,No,Yes,Yes,TEX
Drew Smyly,CHC,Starter,Yes,No,Yes,
Nick Martinez,SDP,Reliever,No,No,No,
Carlos Estevez,COL,Reliever,No,No,No,
Jordan Montgomery,STL,Starter,No,Yes,Yes,NYY
Bryan Baker,BAL,Reliever,No,No,No,
Caleb Thielbar,MIN,Reliever,No,No,No,
Taijuan Walker,NYM,Starter,No,No,No,
Joe Jimenez,DET,Reliever,No,No,No,
Gerrit Cole,NYY,Starter,No,No,No,
Tyler Matzek,ATL,Reliever,No,No,No,
Marcus Stroman,CHC,Starter,Yes,No,Yes,
Kyle Finnegan,WSN,Reliever,No,No,No,
Tarik Skubal,DET,Starter,No,No,No,
Roenis Elias,SEA,Reliever,No,No,No,
Dereck Rodriguez,MIN,Reliever,No,No,No,
Bryan Garcia,DET,Reliever,No,No,No,
Michael Kopech,CHW,Starter,No,No,No,
Joe Ryan,MIN,Starter,No,No,No,
Richard Bleier,MIA,Reliever,No,No,No,
Jharel Cotton,SFG,Reliever,No,Yes,Yes,MIN
Tim Hill,SDP,Reliever,No,No,No,
Tyler Rogers,SFG,Reliever,No,No,No,
Freddy Peralta,MIL,Starter,No,No,No,
Braxton Garrett,MIA,Starter,No,No,No,
Jose Cuas,KCR,Reliever,No,No,No,
Nick Neidert,MIA,Reliever,No,No,No,
Jhon Romero,MIN,Reliever,No,No,No,
Simeon Woods Richardson,MIN,Reliever,No,No,No,
Seth Lugo,NYM,Reliever,No,No,No,
Domingo German,NYY,Starter,No,No,No,
Ryan Tepera,LAA,Reliever,No,No,No,
Sammy Long,SFG,Reliever,No,No,No,
Beau Sulser,BAL,Reliever,No,Yes,Yes,PIT
Taylor Widener,ARI,Reliever,No,No,No,
Diego Castillo,SEA,Reliever,No,Yes,Yes,
Brandon Bielak,HOU,Reliever,No,No,No,
Ranger Suarez,PHI,Starter,No,No,No,
Nick Lodolo,CIN,Starter,No,No,No,
Zack Greinke,KCR,Starter,Yes,No,Yes,
Michael Plassmeyer,PHI,Reliever,No,No,No,
Parker Mushinski,HOU,Reliever,No,No,No,
Eric Lauer,MIL,Starter,No,No,No,
Jackson Stephens,ATL,Reliever,No,No,No,
Alex Lange,DET,Reliever,No,No,No,
Oliver Ortega,LAA,Reliever,No,No,No,
Adam Wainwright,STL,Starter,No,No,No,
Devin Smeltzer,MIN,Starter,No,No,No,
Robbie Ray,SEA,Starter,Yes,No,Yes,
Luis Garcia,HOU,Starter,No,Yes,Yes,
Hector Neris,HOU,Reliever,No,No,No,
Chris Flexen,SEA,Starter,No,No,No,
Alex Cobb,SFG,Starter,Yes,No,Yes,
Hirokazu Sawamura,BOS,Reliever,No,No,No,
Jarlin Garcia,SFG,Reliever,No,No,No,
Pablo Lopez,MIA,Starter,No,No,No,
Craig Kimbrel,LAD,Reliever,No,No,No,
Keegan Thompson,CHC,Starter,No,No,No,
Hoby Milner,MIL,Reliever,No,No,No,
Jesse Chavez,LAA,Reliever,No,Yes,Yes,ATL
Reid Detmers,LAA,Starter,No,No,No,
Brent Suter,MIL,Reliever,No,No,No,
Roansy Contreras,PIT,Starter,No,No,No,
Ryan Thompson,TBR,Reliever,No,No,No,
Luis Perdomo,MIL,Reliever,No,No,No,
Justin Bruihl,LAD,Reliever,No,No,No,
Louie Varland,MIN,Reliever,No,No,No,
Colin Holderman,PIT,Reliever,No,Yes,Yes,NYM
Jeff Hoffman,CIN,Reliever,No,No,No,
Matt Strahm,BOS,Reliever,No,No,No,
Buck Farmer,CIN,Reliever,No,No,No,
David Peterson,NYM,Starter,No,No,No,
Aaron Loup,LAA,Reliever,No,No,No,
Phil Maton,HOU,Reliever,No,No,No,
Kody Clemens,DET,Reliever,No,No,No,
Joe Barlow,TEX,Reliever,No,No,No,
JP Sears,OAK,Reliever,No,Yes,Yes,NYY
Bailey Falter,PHI,Starter,No,No,No,
Justus Sheffield,SEA,Reliever,No,No,No,
Cody Poteet,MIA,Reliever,No,No,No,
Jandel Gustave,MIL,Reliever,No,No,No,
Brennan Bernardino,SEA,Reliever,No,No,No,
Cody Stashak,MIN,Reliever,No,No,No,
Spencer Patton,TEX,Reliever,No,No,No,
Nathan Eovaldi,BOS,Starter,No,No,No,
Jason Foley,DET,Reliever,No,No,No,
Konnor Pilkington,CLE,Reliever,No,No,No,
Joey Krehbiel,BAL,Reliever,No,No,No,
Mitch Keller,PIT,Starter,No,No,No,
Jameson Taillon,NYY,Starter,No,No,No,
Garrett Cleavinger,TBR,Reliever,No,Yes,Yes,LAD
Blake Taylor,HOU,Reliever,No,No,No,
Noah Syndergaard,PHI,Starter,Yes,Yes,Yes,LAA
Jose Urquidy,HOU,Starter,No,No,No,
Zack Kelly,BOS,Reliever,No,No,No,
Michael Rucker,CHC,Reliever,No,No,No,
Reiss Knehr,SDP,Reliever,No,No,No,
Jon Gray,TEX,Starter,Yes,No,Yes,
Jose Suarez,LAA,Starter,No,No,No,
Will Smith,HOU,Reliever,No,Yes,Yes,ATL
Carlos Carrasco,NYM,Starter,No,No,No,
Cole Irvin,OAK,Starter,No,No,No,
Jose Quijada,LAA,Reliever,No,No,No,
Colin Poche,TBR,Reliever,No,No,No,
Mark Leiter,CHC,Reliever,No,No,No,
Lance Lynn,CHW,Starter,No,No,No,
Will Vest,DET,Reliever,No,No,No,
Dominic Leone,SFG,Reliever,No,No,No,
Walker Buehler,LAD,Starter,No,No,No,
Kyle Crick,CHW,Reliever,No,No,No,
Garrett Hill,DET,Reliever,No,No,No,
Chris Paddack,MIN,Reliever,No,No,No,
John King,TEX,Reliever,No,No,No,
Miguel Castro,NYY,Reliever,No,No,No,
Daniel Castano,MIA,Reliever,No,No,No,
Taylor Clarke,KCR,Reliever,No,No,No,
Zach Eflin,PHI,Starter,No,No,No,
Austin Brice,PIT,Reliever,No,No,No,
Miguel Sanchez,MIL,Reliever,No,No,No,
Frankie Montas,NYY,Starter,No,Yes,Yes,OAK
Eduardo Rodriguez,DET,Starter,Yes,No,Yes,
Zach Davies,ARI,Starter,Yes,No,Yes,
Hanser Alberto,LAD,Reliever,No,No,No,
Jake Fishman,MIA,Reliever,No,No,No,
Nick Vespi,BAL,Reliever,No,No,No,
Trent Thornton,TOR,Reliever,No,No,No,
Justin Grimm,OAK,Reliever,No,No,No,
Caleb Smith,ARI,Reliever,No,No,No,
Derek Law,CIN,Reliever,No,Yes,Yes,DET
Jonathan Loaisiga,NYY,Reliever,No,No,No,
Marco Gonzales,SEA,Starter,No,No,No,
Trevor Gott,MIL,Reliever,No,No,No,
Brett Martin,TEX,Reliever,No,No,No,
Cristofer Ogando,TBR,Reliever,No,No,No,
Evan Lee,WSN,Reliever,No,No,No,
Darren O'Day,ATL,Reliever,No,No,No,
Matthew Festa,SEA,Reliever,No,No,No,
Lucas Gilbreath,COL,Reliever,No,No,No,
Beau Brieske,DET,Starter,No,No,No,
Steve Cishek,WSN,Reliever,No,No,No,
Kenny Rosenberg,LAA,Reliever,No,No,No,
Rowan Wick,CHC,Reliever,No,No,No,
Austin Pruitt,OAK,Reliever,No,No,No,
James Kaprielian,OAK,Starter,No,No,No,
Adrian Morejon,SDP,Reliever,No,No,No,
Michael Lorenzen,LAA,Starter,No,No,No,
Jack Flaherty,STL,Reliever,No,No,No,
Tyler Wells,BAL,Starter,No,No,No,
Danny Young,ATL,Reliever,No,Yes,Yes,SEA
Chris Stratton,STL,Reliever,No,Yes,Yes,PIT
Rich Hill,BOS,Starter,Yes,No,Yes,
Anibal Sanchez,WSN,Starter,No,No,No,
Paul Blackburn,OAK,Starter,No,No,No,
Reyes Moronta,ARI,Reliever,No,Yes,Yes,LAD
Zach Plesac,CLE,Starter,No,No,No,
Tanner Scott,MIA,Reliever,No,No,No,
Matt Barnes,BOS,Reliever,No,No,No,
Tommy Nance,MIA,Reliever,No,No,No,
Mike Clevinger,SDP,Starter,No,No,No,
Corey Kluber,TBR,Starter,Yes,No,Yes,
Austin Voth,BAL,Starter,No,Yes,Yes,WSN
Charlie Morton,ATL,Starter,No,No,No,
Anthony Misiewicz,KCR,Reliever,No,Yes,Yes,SEA
Shawn Armstrong,TBR,Reliever,No,Yes,Yes,MIA
Wil Crowe,PIT,Reliever,No,No,No,
Manny Banuelos,CHC,Reliever,No,Yes,Yes,NYY
Duane Underwood Jr.,PIT,Reliever,No,No,No,
Sean Poppen,ARI,Reliever,No,No,No,
Matt Foster,CHW,Reliever,No,No,No,
Tyler Mahle,MIN,Starter,No,Yes,Yes,CIN
Jake Odorizzi,ATL,Starter,No,Yes,Yes,HOU
Phillips Valdez,BOS,Reliever,No,No,No,
Mauricio Llovera,SFG,Reliever,No,No,No,
Rony Garcia,DET,Reliever,No,No,No,
Ronald Bolanos,KCR,Reliever,No,No,No,
Jakob Junis,SFG,Starter,No,No,No,
Jordan Lyles,BAL,Starter,Yes,No,Yes,
Craig Stammen,SDP,Reliever,No,No,No,
Emilio Pagan,MIN,Reliever,No,No,No,
Hunter Greene,CIN,Starter,No,No,No,
Matt Brash,SEA,Reliever,No,No,No,
Ross Detwiler,CIN,Reliever,No,No,No,
Aaron Ashby,MIL,Starter,No,No,No,
Dakota Hudson,STL,Starter,No,No,No,
Aroldis Chapman,NYY,Reliever,No,No,No,
Dane Dunning,TEX,Starter,No,No,No,
Joely Rodriguez,NYM,Reliever,No,No,No,
Harold Castro,DET,Reliever,No,No,No,
Luis Torrens,SEA,Reliever,No,No,No,
Gerardo Reyes,LAA,Reliever,No,No,No,
Pedro Avila,SDP,Reliever,No,No,No,
Dustin May,LAD,Reliever,No,No,No,
Matt Batten,SDP,Reliever,No,No,No,
Anthony Kay,TOR,Reliever,No,No,No,
MacKenzie Gore,SDP,Starter,No,No,No,
Ryan Yarbrough,TBR,Reliever,No,No,No,
Rico Garcia,BAL,Reliever,No,No,No,
Luis Ortiz,PIT,Reliever,No,Yes,Yes,
Victor Arano,WSN,Reliever,No,No,No,
Ian Gibaut,CIN,Reliever,No,Yes,Yes,CLE
Lou Trivino,NYY,Reliever,No,Yes,Yes,OAK
Drew Hutchison,DET,Starter,No,No,No,
Kyle Freeland,COL,Starter,No,No,No,
Kirk McCarty,CLE,Reliever,No,No,No,
Chris Archer,MIN,Starter,Yes,No,Yes,
Nick Pivetta,BOS,Starter,No,No,No,
Luis Cessa,CIN,Reliever,No,No,No,
Dillon Peters,PIT,Reliever,No,No,No,
Yohan Ramirez,PIT,Reliever,No,Yes,Yes,CLE
Adam Kolarek,OAK,Reliever,No,No,No,
Jose Ruiz,CHW,Reliever,No,No,No,
Michael Grove,LAD,Reliever,No,No,No,
Wyatt Mills,KCR,Reliever,No,Yes,Yes,SEA
Joe Smith,MIN,Reliever,No,No,No,
Touki Toussaint,LAA,Reliever,No,No,No,
Genesis Cabrera,STL,Reliever,No,No,No,
Glenn Otto,TEX,Starter,No,No,No,
Collin Wiles,OAK,Reliever,No,No,No,
Mark Melancon,ARI,Reliever,No,No,No,
Erich Uelmen,CHC,Reliever,No,No,No,
JT Brubaker,PIT,Starter,No,No,No,
Robert Gsellman,CHC,Reliever,No,No,No,
Spenser Watkins,BAL,Starter,No,No,No,
Josh Winder,MIN,Reliever,No,No,No,
Brayan Bello,BOS,Reliever,No,No,No,
Anthony Gose,CLE,Reliever,No,No,No,
Mike Baumann,BAL,Reliever,No,No,No,
Phil Bickford,LAD,Reliever,No,No,No,
Adrian Houser,MIL,Starter,No,No,No,
Taylor Rogers,MIL,Reliever,No,Yes,Yes,SDP
Vince Velasquez,CHW,Reliever,Yes,No,Yes,
Packy Naughton,STL,Reliever,No,No,No,
Jeremy Beasley,TOR,Reliever,No,No,No,
Trevor Megill,MIN,Reliever,No,No,No,
Kyle Hendricks,CHC,Starter,No,No,No,
Tyler Alexander,DET,Starter,No,No,No,
Archie Bradley,LAA,Reliever,No,No,No,
Davis Martin,CHW,Reliever,No,No,No,
Corbin Martin,ARI,Reliever,No,No,No,
Jordan Hicks,STL,Reliever,No,No,No,
Paolo Espino,WSN,Starter,No,No,No,
Nick Nelson,PHI,Reliever,No,No,No,
Madison Bumgarner,ARI,Starter,No,No,No,
Dylan Bundy,MIN,Starter,Yes,No,Yes,
