Name,Team,Type,ChangedTeaminOffSeason
Sean Doolittle,WSN,Reliever,Yes
Sean Manaea,SDP,Starter,Yes
Sean Poppen,ARI,Reliever,Yes
Shaun Anderson,TOR,Reliever,Yes
Shelby Miller,SFG,Reliever,Yes
Sonny Gray,MIN,Starter,Yes
Spencer Howard,TEX,Reliever,Yes
Steve Cishek,WSN,Reliever,Yes
Steven Brault,CHC,Reliever,Yes
Steven Matz,STL,Reliever,Yes
T.J. Zeuch,CIN,Reliever,Yes
Tanner Scott,MIA,Reliever,Yes
Taylor Clarke,KCR,Reliever,Yes
Tommy Milone,SEA,Reliever,Yes
Tommy Nance,MIA,Reliever,Yes
Touki Toussaint,LAA,Reliever,Yes
Trevor Megill,MIN,Reliever,Yes
Trevor Richards,TOR,Reliever,Yes
Trevor Williams,NYM,Reliever,Yes
Tyler Anderson,LAD,Starter,Yes
Tyler Clippard,WSN,Reliever,Yes
Vince Velasquez,CHW,Reliever,Yes
Vinny Nittoli,PHI,Reliever,Yes
Wade Miley,CHC,Reliever,Yes
Wandy Peralta,NYY,Reliever,Yes
Will Vest,DET,Reliever,Yes
Willians Astudillo,MIA,Reliever,Yes
Yency Almonte,LAD,Reliever,Yes
Yimi Garcia,TOR,Reliever,Yes
Yoan Lopez,NYM,Reliever,Yes
Yusei Kikuchi,TOR,Starter,Yes
Zach Davies,ARI,Starter,Yes
Zach Thompson,PIT,Starter,Yes
Zack Greinke,KCR,Starter,Yes
