Name,Type,Team,CSW%,diff
JP Sears,Reliever,NYY,0.3089999999999999,-0.0
JP Sears,Reliever,OAK,0.255,-0.05075000000000002
Junior Fernandez,Reliever,PIT,0.181,-0.0
Junior Fernandez,Reliever,STL,0.282,0.10099999999999998
Kervin Castro,Reliever,CHC,0.271,-0.0
Kervin Castro,Reliever,SFG,0.255,-0.016000000000000014
Logan Allen,Reliever,BAL,0.179,-0.0
Logan Allen,Reliever,CLE,0.296,0.11699999999999999
Lou Trivino,Reliever,NYY,0.283,-0.0
Lou Trivino,Reliever,OAK,0.26675,-0.016249999999999987
Louis Head,Reliever,BAL,0.232,-0.0
Louis Head,Reliever,MIA,0.239,0.0069999999999999785
Luis Castillo,Reliever,CIN,0.2763333333333333,-0.0
Luis Castillo,Reliever,DET,0.2465,0.016666666666666663
Luis Castillo,Reliever,SEA,0.293,0.046499999999999986
Luis Garcia,Reliever,HOU,0.286,-0.0
Luis Garcia,Reliever,SDP,0.2965,0.01050000000000001
Luis Ortiz,Reliever,PIT,0.316,-0.0
Luis Ortiz,Reliever,SFG,0.28,-0.035999999999999976
Luke Bard,Reliever,NYY,0.25,-0.0
Luke Bard,Reliever,TBR,0.263,0.013000000000000012
Luke Farrell,Reliever,'- - -,0.281,-0.0
Luke Farrell,Reliever,CHC,0.248,-0.03300000000000003
Luke Weaver,Reliever,ARI,0.2516666666666666,-0.0
Luke Weaver,Reliever,KCR,0.211,-0.0406666666666666
Manny Banuelos,Reliever,NYY,0.243,-0.0
Manny Banuelos,Reliever,PIT,0.2713333333333333,0.02833333333333332
Matt Bush,Reliever,MIL,0.33,-0.0
Matt Bush,Reliever,TEX,0.341,0.01100000000000001
Matt Peacock,Reliever,ARI,0.311,-0.0
Matt Peacock,Reliever,KCR,0.25,-0.061
Max Castillo,Reliever,KCR,0.2445,-0.0
Max Castillo,Reliever,TOR,0.2965,0.05199999999999999
Michael Fulmer,Reliever,'- - -,0.275,-0.0
Michael Fulmer,Reliever,DET,0.2925,-0.05700000000000002
Michael Fulmer,Reliever,MIN,0.218,-0.07449999999999998
Mitch White,Starter,LAD,0.247,-0.0
Mitch White,Starter,TOR,0.235,-0.01200000000000001
Mychal Givens,Reliever,CHC,0.2855,-0.0
Mychal Givens,Reliever,NYM,0.294,0.008500000000000008
Noah Syndergaard,Starter,LAA,0.2777499999999999,-0.0
Noah Syndergaard,Starter,PHI,0.238,-0.039749999999999897
Paul Fry,Reliever,ARI,0.296,-0.0
Paul Fry,Reliever,BAL,0.307,0.01100000000000001
Raisel Iglesias,Reliever,ATL,0.3149999999999999,-0.0
Raisel Iglesias,Reliever,LAA,0.3334999999999999,0.018500000000000016
Reyes Moronta,Reliever,'- - -,0.287,-0.0
Reyes Moronta,Reliever,ARI,0.289,0.0030000000000000027
Reyes Moronta,Reliever,LAD,0.29,0.0010000000000000009
Rob Zastryzny,Reliever,LAA,0.216,-0.0
Rob Zastryzny,Reliever,NYM,0.238,0.021999999999999992
Robert Dugger,Reliever,'- - -,0.288,-0.0
Robert Dugger,Reliever,CIN,0.296,0.008000000000000007
Robert Stephenson,Reliever,'- - -,0.304,-0.0
Robert Stephenson,Reliever,COL,0.26125,0.07900000000000001
Robert Stephenson,Reliever,PIT,0.383,0.12175000000000002
Ryan Borucki,Reliever,SEA,0.2356666666666666,-0.0
Ryan Borucki,Reliever,TOR,0.291,0.05533333333333337
Sam Clay,Reliever,NYM,0.48,-0.0
Sam Clay,Reliever,WSN,0.255,-0.22499999999999998
