#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
61,Dean Kremer,BAL,32.0,-5.3,2.7, ,-9.0,-8.3, ,6.6, , , ,5,8
62,Edward Cabrera,MIA,28.1,-5.6, , ,-8.9,-9.2,2.3,5.2, , , ,5,8
63,Kevin Gausman,TOR,36.2,-5.6, ,-8.3, , ,0.8, , , , ,5,8
64,Corey Kluber,TBR,29.2,-5.6,1.3, ,-9.3,-7.5,9.4, , , , ,5,8
65,Jose Urena,COL,29.0,-5.6, , ,-8.4,-6.2,0.7, , , , ,5,8
66,Justin Verlander,HOU,28.0,-5.6, , , ,-8.9,2.5,4.2, , , ,5,8
67,Gerrit Cole,NYY,39.1,-5.8, , , ,-7.9,3.0,5.8, , , ,5,8
68,Kyle Wright,ATL,32.0,-5.9, , ,-9.2,-8.9,-0.7,4.0, , , ,5,8
69,Logan Webb,SFG,35.0,-6.0,0.7, ,-8.1,-3.5,6.1, , , , ,5,8
70,Adam Oller,OAK,29.2,-6.0,-0.4, ,-8.4,-7.4,2.5, , , , ,5,8
71,Alex Cobb,SFG,29.0,-6.0, ,-6.9,-8.7, , ,2.4, , , ,5,8
72,Joe Ryan,MIN,32.2,-6.1, , , ,-9.6,1.9,6.5, , , ,5,8
73,Charlie Morton,ATL,30.1,-6.1, , ,-9.6,-9.8,0.8,8.8, , , ,5,8
74,Kutter Crawford,BOS,29.2,-6.2,2.3,-6.1, , ,3.1,5.7, , , ,5,8
75,Domingo German,NYY,34.2,-6.2, , ,-9.8,-10.0, ,0.7, , , ,5,8
76,Max Scherzer,NYM,40.2,-6.4,0.3, , ,-8.1,1.8,10.2, , , ,5,8
77,Luis Castillo,SEA,31.2,-6.8, , ,-10.4,-10.1,0.8, , , , ,5,8
78,Sandy Alcantara,MIA,36.1,-7.3, , ,-10.1,-9.5,0.0, , , , ,5,8
79,Johnny Cueto,CHW,35.2,-7.4,-3.3, ,-9.8,-7.0,0.3,1.8, , , ,5,8
80,Aaron Nola,PHI,32.0,-7.7,0.6, ,-9.8,-8.6, ,8.5, , , ,5,8
81,Drew Smyly,CHC,30.0, ,1.9, ,4.7, , ,1.6, , , ,5,8
82,Zach Davies,ARI,28.1, ,-1.8, ,-7.9,-7.3,9.9,6.9, , , ,5,8
83,Kyle Bradish,BAL,28.2, ,0.8, , ,-6.5,5.8,2.9, , , ,5,8
