#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Nick Lodolo,CIN,36.1,9.6, , ,11.2,9.9, ,-8.7, , , ,6,9
2,Jesus Luzardo,MIA,35.0,8.5, , ,10.4,9.4,-0.7, , , , ,6,9
3,Jeffrey Springs,TBR,34.1,7.3, , , ,8.4,-2.0, , , , ,6,9
4,Marco Gonzales,SEA,36.1,6.4,1.4, ,7.8,10.0, ,-2.9, , , ,6,9
5,Ken Waldichuk,OAK,34.2,6.2, , , ,9.1,-10.0,-8.6, , , ,6,9
6,Cole Irvin,OAK,33.1,6.0, , ,8.6,7.9,-6.2,-2.9, , , ,6,9
7,Martin Perez,TEX,37.1,6.0,1.4, ,9.9,8.7,-1.9,-2.6, , , ,6,9
8,Tyler Alexander,DET,33.0,4.7,-2.0, ,8.8,8.0,-8.7, , , , ,6,9
9,Jordan Montgomery,STL,33.0,4.6,-0.9, ,9.2,5.8, ,-1.9, , , ,6,9
10,Rich Hill,BOS,34.2,4.5,-1.4, ,10.3,9.5,-13.0,-9.8, , , ,6,9
11,Robbie Ray,SEA,33.1,4.2, , ,8.9,6.2,-0.2,-0.8, , , ,6,9
12,Eduardo Rodriguez,DET,41.0,4.1,-0.5, ,8.1,9.5,-1.5, , , , ,6,9
13,Ranger Suarez,PHI,31.2,4.0,-0.1, ,9.1,8.6,-2.2,-6.7, , , ,6,9
14,Kyle Freeland,COL,32.2,3.7,-0.6, ,7.5,6.5,-1.8, , , , ,6,9
15,Framber Valdez,HOU,37.1,3.7, , ,8.4,9.2,-2.1,-6.5, , , ,6,9
16,Blake Snell,SDP,35.0,3.3, , , ,8.4,-1.8,-7.8, , , ,6,9
17,Julio Urias,LAD,35.1,2.2, , , ,9.0, ,-9.2, , , ,6,9
18,Jose Quintana,STL,33.1,1.7, , ,7.7,7.3, ,-5.3, , , ,6,9
19,Clayton Kershaw,LAD,41.0,0.0, , , , ,-3.2,-2.7, , , ,6,9
20,Triston McKenzie,CLE,38.2,-1.6, , , , ,3.1,4.9, , , ,6,9
21,Glenn Otto,TEX,36.0,-1.7,0.3, ,-6.3, ,9.6,4.0, , , ,6,9
22,Joe Musgrove,SDP,31.2,-2.0,1.1, ,-6.5,-7.0,6.9,6.6, , , ,6,9
23,Dylan Cease,CHW,37.0,-2.2, ,-6.1, , ,1.3,1.8, , , ,6,9
24,Zac Gallen,ARI,38.1,-2.3,2.5, , ,-6.4, ,3.9, , , ,6,9
25,Lance Lynn,CHW,37.1,-2.5,1.1, ,-6.7,-7.0,7.3,4.4, , , ,6,9
26,Marcus Stroman,CHC,37.0,-2.7,1.0, ,-5.3,-8.2,7.7, , , , ,6,9
27,Chris Bassitt,NYM,33.1,-2.8,1.4, ,-9.1,-9.3,6.3,8.6, , , ,6,9
28,Corbin Burnes,MIL,43.2,-2.9,2.8, ,-6.4,-8.4,4.5,6.2, , , ,6,9
29,Shohei Ohtani,LAA,38.0,-2.9,1.7,-3.2,-9.4, ,7.3,6.1, , , ,6,9
30,Miles Mikolas,STL,34.0,-3.0, , ,-8.3,-6.7,1.9,4.4,2.7, , ,6,9
