#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Nick Lodolo,CIN,28.2,9.4, , ,10.9,10.0, ,-8.7, , , ,5,2022-08-01
2,Jesus Luzardo,MIA,36.1,7.6, , ,9.5,8.7,-0.7, , , , ,5,2022-08-01
3,Alex Wood,SFG,30.0,7.1, , ,8.8,7.9,-2.2, , , , ,5,2022-08-01
4,Jeffrey Springs,TBR,27.2,6.9, , , ,7.6,-2.7, , , , ,5,2022-08-01
5,Marco Gonzales,SEA,33.2,6.5,0.4, ,7.5,9.9, ,-4.2, , , ,5,2022-08-01
6,Martin Perez,TEX,34.0,6.1,1.1, ,9.2,7.9,-1.7,-3.1, , , ,5,2022-08-01
7,Cole Irvin,OAK,38.1,5.8, , ,8.2,8.0,-4.6,-2.3, , , ,5,2022-08-01
8,Eric Lauer,MIL,30.0,5.0,-1.1, , ,9.4,-2.8,-4.3, , , ,5,2022-08-01
9,Jordan Montgomery,STL,30.2,4.9, , ,9.1,6.2, ,-1.7, , , ,5,2022-08-01
10,Framber Valdez,HOU,35.1,4.7, , ,8.3,9.1,-2.2,-6.7, , , ,5,2022-08-01
11,Tyler Anderson,LAD,37.1,4.7,-1.7, ,10.1,7.8, ,-2.5, , , ,5,2022-08-01
12,Tyler Alexander,DET,30.2,4.2,-2.1, ,8.2,7.4,-7.9, , , , ,5,2022-08-01
13,Kris Bubic,KCR,31.0,4.2, , , ,8.6, ,-4.2, , , ,5,2022-08-01
14,Tommy Henry,ARI,31.2,4.2, , , ,8.3,0.6,-3.8, , , ,5,2022-08-01
15,Daniel Lynch,KCR,32.0,4.1, , ,7.7,7.1,-0.2,-0.9, , , ,5,2022-08-01
16,Robbie Ray,SEA,33.0,3.9, , ,8.7, ,-0.9,-1.0, , , ,5,2022-08-01
17,Carlos Rodon,SFG,28.1,3.8, , , ,8.5,-4.3,-3.6, , , ,5,2022-08-01
18,Blake Snell,SDP,32.0,3.3, , , ,7.9,-2.1,-7.1, , , ,5,2022-08-01
19,Patrick Sandoval,LAA,32.1,2.5, , ,7.6,8.0,-3.5,-4.2, , , ,5,2022-08-01
20,Julio Urias,LAD,30.0,2.5, , , ,8.7, ,-9.0, , , ,5,2022-08-01
21,Mike Minor,CIN,33.0,2.0, , ,8.1,9.8,-1.8,-4.5, , , ,5,2022-08-01
22,Jose Quintana,STL,29.1,1.5, , ,6.8,6.5, ,-3.5, , , ,5,2022-08-01
23,Adam Wainwright,STL,39.2,-0.5,3.9, ,-7.1,-7.4, ,8.9, , , ,5,2022-08-01
24,Dylan Cease,CHW,30.1,-1.3, ,-3.1, , ,2.0,2.3, , , ,5,2022-08-01
25,Spenser Watkins,BAL,30.2,-1.4,3.0, , ,-6.2,7.6,2.8, , , ,5,2022-08-01
26,Zac Gallen,ARI,40.0,-1.6,2.9, , ,-6.3,3.3,4.2, , , ,5,2022-08-01
27,Drew Rasmussen,TBR,34.1,-1.8,1.0, ,-7.5, ,7.4,2.2, , , ,5,2022-08-01
28,Triston McKenzie,CLE,38.2,-1.9, , , , ,2.7,4.3, , , ,5,2022-08-01
29,Matt Manning,DET,32.1,-2.0, , ,-5.9,-7.1,4.6,4.9, , , ,5,2022-08-01
30,Lance Lynn,CHW,36.2,-2.0,1.2, ,-6.2,-7.0,7.9, , , , ,5,2022-08-01
